"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:16 AM","6:50 AM","7:37 AM","12:35 PM","12:55 PM","3:50 PM","4:20 PM","5:33 PM","6:55 PM","7:40 PM","12:55 PM","2:40 PM"
"2","6:15 AM","6:50 AM","7:36 AM","12:35 PM","12:55 PM","3:52 PM","4:20 PM","5:35 PM","6:56 PM","7:40 PM","12:55 PM","2:40 PM"
"3","6:14 AM","6:50 AM","7:35 AM","12:35 PM","12:55 PM","3:53 PM","4:20 PM","5:36 PM","6:57 PM","7:40 PM","12:55 PM","2:40 PM"
"4","6:13 AM","6:50 AM","7:33 AM","12:35 PM","12:55 PM","3:54 PM","4:20 PM","5:38 PM","6:58 PM","7:40 PM","12:55 PM","2:40 PM"
"5","6:12 AM","6:50 AM","7:32 AM","12:35 PM","12:55 PM","3:56 PM","4:20 PM","5:39 PM","6:59 PM","7:40 PM","12:55 PM","2:40 PM"
"6","6:11 AM","6:50 AM","7:31 AM","12:35 PM","12:55 PM","3:57 PM","4:20 PM","5:40 PM","7:01 PM","7:40 PM","12:55 PM","2:40 PM"
"7","6:09 AM","6:50 AM","7:30 AM","12:35 PM","12:55 PM","3:58 PM","4:20 PM","5:42 PM","7:02 PM","7:40 PM","12:55 PM","2:40 PM"
"8","6:08 AM","6:50 AM","7:29 AM","12:35 PM","12:55 PM","4:00 PM","4:20 PM","5:43 PM","7:03 PM","7:40 PM","12:55 PM","2:40 PM"
"9","6:07 AM","6:50 AM","7:27 AM","12:35 PM","12:55 PM","4:01 PM","4:20 PM","5:44 PM","7:04 PM","7:40 PM","12:55 PM","2:40 PM"
"10","6:06 AM","6:40 AM","7:26 AM","12:35 PM","12:55 PM","4:02 PM","4:30 PM","5:46 PM","7:05 PM","7:40 PM","12:55 PM","2:40 PM"
"11","6:05 AM","6:40 AM","7:25 AM","12:35 PM","12:55 PM","4:03 PM","4:30 PM","5:47 PM","7:07 PM","7:40 PM","12:55 PM","2:40 PM"
"12","6:04 AM","6:40 AM","7:23 AM","12:35 PM","12:55 PM","4:05 PM","4:30 PM","5:48 PM","7:08 PM","7:40 PM","12:55 PM","2:40 PM"
"13","6:02 AM","6:40 AM","7:22 AM","12:35 PM","12:55 PM","4:06 PM","4:30 PM","5:50 PM","7:09 PM","7:40 PM","12:55 PM","2:40 PM"
"14","6:01 AM","6:40 AM","7:20 AM","12:35 PM","12:55 PM","4:07 PM","4:30 PM","5:51 PM","7:10 PM","7:40 PM","12:55 PM","2:40 PM"
"15","6:00 AM","6:40 AM","7:19 AM","12:35 PM","12:55 PM","4:08 PM","4:30 PM","5:52 PM","7:12 PM","7:40 PM","12:55 PM","2:40 PM"
"16","5:58 AM","6:40 AM","7:18 AM","12:35 PM","12:55 PM","4:10 PM","4:30 PM","5:54 PM","7:13 PM","7:40 PM","12:55 PM","2:40 PM"
"17","5:57 AM","6:40 AM","7:16 AM","12:35 PM","12:55 PM","4:11 PM","4:30 PM","5:55 PM","7:14 PM","7:40 PM","12:55 PM","2:40 PM"
"18","5:56 AM","6:40 AM","7:15 AM","12:35 PM","12:55 PM","4:12 PM","4:30 PM","5:56 PM","7:15 PM","7:40 PM","12:55 PM","2:40 PM"
"19","5:54 AM","6:40 AM","7:13 AM","12:35 PM","12:55 PM","4:13 PM","4:30 PM","5:58 PM","7:16 PM","7:40 PM","12:55 PM","2:40 PM"
"20","5:53 AM","6:30 AM","7:12 AM","12:35 PM","12:55 PM","4:14 PM","5:00 PM","5:59 PM","7:18 PM","7:45 PM","12:55 PM","2:40 PM"
"21","5:51 AM","6:30 AM","7:10 AM","12:35 PM","12:55 PM","4:16 PM","5:00 PM","6:00 PM","7:19 PM","7:45 PM","12:55 PM","2:40 PM"
"22","5:50 AM","6:30 AM","7:08 AM","12:35 PM","12:55 PM","4:17 PM","5:00 PM","6:02 PM","7:20 PM","7:45 PM","12:55 PM","2:40 PM"
"23","5:48 AM","6:30 AM","7:07 AM","12:34 PM","12:55 PM","4:18 PM","5:00 PM","6:03 PM","7:21 PM","7:45 PM","12:55 PM","2:40 PM"
"24","5:47 AM","6:30 AM","7:05 AM","12:34 PM","12:55 PM","4:19 PM","5:00 PM","6:04 PM","7:23 PM","7:45 PM","12:55 PM","2:40 PM"
"25","5:45 AM","6:30 AM","7:04 AM","12:34 PM","12:55 PM","4:20 PM","5:00 PM","6:05 PM","7:24 PM","7:45 PM","12:55 PM","2:40 PM"
"26","5:44 AM","6:30 AM","7:02 AM","12:34 PM","12:55 PM","4:21 PM","5:00 PM","6:07 PM","7:25 PM","7:45 PM","12:55 PM","2:40 PM"
"27","5:42 AM","6:30 AM","7:00 AM","12:34 PM","12:55 PM","4:23 PM","5:00 PM","6:08 PM","7:26 PM","7:45 PM","12:55 PM","2:40 PM"
"28","5:41 AM","6:30 AM","6:59 AM","12:34 PM","12:55 PM","4:24 PM","5:00 PM","6:09 PM","7:28 PM","7:45 PM","12:55 PM","2:40 PM"
