"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:58 AM","4:13 AM","5:43 AM","1:19 PM","1:40 PM","6:36 PM","7:15 PM","8:55 PM","10:15 PM","10:40 PM","1:40 PM","3:10 PM"
"2","3:57 AM","4:12 AM","5:43 AM","1:19 PM","1:40 PM","6:36 PM","7:15 PM","8:56 PM","10:16 PM","10:40 PM","1:40 PM","3:10 PM"
"3","3:57 AM","4:11 AM","5:42 AM","1:19 PM","1:40 PM","6:37 PM","7:15 PM","8:57 PM","10:17 PM","10:40 PM","1:40 PM","3:10 PM"
"4","3:56 AM","4:11 AM","5:42 AM","1:20 PM","1:40 PM","6:37 PM","7:15 PM","8:57 PM","10:18 PM","10:40 PM","1:40 PM","3:10 PM"
"5","3:55 AM","5:05 AM","5:42 AM","1:20 PM","1:40 PM","6:37 PM","7:25 PM","8:58 PM","10:19 PM","10:40 PM","1:40 PM","3:10 PM"
"6","3:55 AM","5:05 AM","5:41 AM","1:20 PM","1:40 PM","6:38 PM","7:25 PM","8:59 PM","10:20 PM","10:40 PM","1:40 PM","3:10 PM"
"7","3:54 AM","5:05 AM","5:41 AM","1:20 PM","1:40 PM","6:38 PM","7:25 PM","8:59 PM","10:21 PM","10:40 PM","1:40 PM","3:10 PM"
"8","3:53 AM","5:05 AM","5:41 AM","1:20 PM","1:40 PM","6:39 PM","7:25 PM","9:00 PM","10:21 PM","10:40 PM","1:40 PM","3:10 PM"
"9","3:53 AM","5:05 AM","5:41 AM","1:21 PM","1:40 PM","6:39 PM","7:25 PM","9:01 PM","10:22 PM","10:40 PM","1:40 PM","3:10 PM"
"10","3:52 AM","5:05 AM","5:40 AM","1:21 PM","1:40 PM","6:40 PM","7:25 PM","9:01 PM","10:23 PM","10:40 PM","1:40 PM","3:10 PM"
"11","3:52 AM","5:05 AM","5:40 AM","1:21 PM","1:40 PM","6:40 PM","7:25 PM","9:02 PM","10:24 PM","10:40 PM","1:40 PM","3:10 PM"
"12","3:52 AM","5:05 AM","5:40 AM","1:21 PM","1:40 PM","6:40 PM","7:25 PM","9:02 PM","10:24 PM","10:40 PM","1:40 PM","3:10 PM"
"13","3:51 AM","5:05 AM","5:40 AM","1:21 PM","1:40 PM","6:41 PM","7:25 PM","9:03 PM","10:25 PM","10:40 PM","1:40 PM","3:10 PM"
"14","3:51 AM","5:05 AM","5:40 AM","1:22 PM","1:40 PM","6:41 PM","7:25 PM","9:03 PM","10:25 PM","10:40 PM","1:40 PM","3:10 PM"
"15","3:51 AM","5:05 AM","5:40 AM","1:22 PM","1:40 PM","6:41 PM","7:25 PM","9:04 PM","10:26 PM","10:40 PM","1:40 PM","3:10 PM"
"16","3:51 AM","5:05 AM","5:40 AM","1:22 PM","1:40 PM","6:42 PM","7:25 PM","9:04 PM","10:26 PM","10:40 PM","1:40 PM","3:10 PM"
"17","3:51 AM","5:05 AM","5:40 AM","1:22 PM","1:40 PM","6:42 PM","7:25 PM","9:04 PM","10:27 PM","10:40 PM","1:40 PM","3:10 PM"
"18","3:51 AM","5:05 AM","5:40 AM","1:22 PM","1:40 PM","6:42 PM","7:25 PM","9:05 PM","10:27 PM","10:40 PM","1:40 PM","3:10 PM"
"19","3:51 AM","5:05 AM","5:40 AM","1:23 PM","1:40 PM","6:42 PM","7:25 PM","9:05 PM","10:27 PM","10:40 PM","1:40 PM","3:10 PM"
"20","3:51 AM","5:05 AM","5:41 AM","1:23 PM","1:40 PM","6:43 PM","7:25 PM","9:05 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"21","3:51 AM","5:05 AM","5:41 AM","1:23 PM","1:40 PM","6:43 PM","7:25 PM","9:05 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"22","3:52 AM","5:05 AM","5:41 AM","1:23 PM","1:40 PM","6:43 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"23","3:52 AM","5:05 AM","5:41 AM","1:24 PM","1:40 PM","6:43 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"24","3:52 AM","5:05 AM","5:42 AM","1:24 PM","1:40 PM","6:43 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"25","3:53 AM","5:05 AM","5:42 AM","1:24 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"26","3:53 AM","5:05 AM","5:42 AM","1:24 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"27","3:54 AM","5:05 AM","5:43 AM","1:24 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"28","3:54 AM","5:05 AM","5:43 AM","1:25 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"29","3:55 AM","5:05 AM","5:44 AM","1:25 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:28 PM","10:40 PM","1:40 PM","3:10 PM"
"30","3:56 AM","5:05 AM","5:44 AM","1:25 PM","1:40 PM","6:44 PM","7:25 PM","9:06 PM","10:27 PM","10:40 PM","1:40 PM","3:10 PM"
