"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:26 AM","6:45 AM","7:52 AM","12:23 PM","1:00 PM","3:12 PM","3:30 PM","4:54 PM","6:20 PM","6:45 PM","2:00 PM"
"2","6:26 AM","6:45 AM","7:52 AM","12:23 PM","1:00 PM","3:13 PM","3:30 PM","4:55 PM","6:21 PM","6:45 PM","2:00 PM"
"3","6:26 AM","6:45 AM","7:52 AM","12:24 PM","1:00 PM","3:14 PM","3:30 PM","4:56 PM","6:22 PM","6:45 PM","2:00 PM"
"4","6:26 AM","6:45 AM","7:52 AM","12:24 PM","1:00 PM","3:15 PM","3:30 PM","4:57 PM","6:22 PM","6:45 PM","2:00 PM"
"5","6:26 AM","6:45 AM","7:52 AM","12:25 PM","1:00 PM","3:16 PM","3:30 PM","4:58 PM","6:23 PM","6:45 PM","2:00 PM"
"6","6:26 AM","6:45 AM","7:52 AM","12:25 PM","1:00 PM","3:17 PM","3:30 PM","4:59 PM","6:24 PM","6:45 PM","2:00 PM"
"7","6:26 AM","6:45 AM","7:51 AM","12:26 PM","1:00 PM","3:18 PM","3:30 PM","5:00 PM","6:25 PM","6:45 PM","2:00 PM"
"8","6:26 AM","6:45 AM","7:51 AM","12:26 PM","1:00 PM","3:19 PM","3:45 PM","5:01 PM","6:26 PM","6:45 PM","2:00 PM"
"9","6:26 AM","6:45 AM","7:51 AM","12:26 PM","1:00 PM","3:20 PM","3:45 PM","5:02 PM","6:27 PM","6:45 PM","2:00 PM"
"10","6:26 AM","6:45 AM","7:51 AM","12:27 PM","1:00 PM","3:21 PM","3:45 PM","5:03 PM","6:28 PM","6:45 PM","2:00 PM"
"11","6:26 AM","6:45 AM","7:50 AM","12:27 PM","1:00 PM","3:22 PM","3:45 PM","5:04 PM","6:29 PM","6:45 PM","2:00 PM"
"12","6:26 AM","6:45 AM","7:50 AM","12:28 PM","1:00 PM","3:23 PM","3:45 PM","5:05 PM","6:30 PM","6:45 PM","2:00 PM"
"13","6:25 AM","6:45 AM","7:50 AM","12:28 PM","1:00 PM","3:24 PM","3:45 PM","5:07 PM","6:31 PM","6:45 PM","2:00 PM"
"14","6:25 AM","6:45 AM","7:49 AM","12:28 PM","1:00 PM","3:25 PM","3:45 PM","5:08 PM","6:32 PM","6:45 PM","2:00 PM"
"15","6:25 AM","6:45 AM","7:49 AM","12:29 PM","1:00 PM","3:27 PM","3:45 PM","5:09 PM","6:33 PM","6:45 PM","2:00 PM"
"16","6:24 AM","6:45 AM","7:48 AM","12:29 PM","1:00 PM","3:28 PM","3:45 PM","5:10 PM","6:34 PM","7:00 PM","2:00 PM"
"17","6:24 AM","6:45 AM","7:48 AM","12:29 PM","1:00 PM","3:29 PM","3:45 PM","5:11 PM","6:35 PM","7:00 PM","2:00 PM"
"18","6:24 AM","6:45 AM","7:47 AM","12:30 PM","1:00 PM","3:30 PM","3:45 PM","5:13 PM","6:36 PM","7:00 PM","2:00 PM"
"19","6:23 AM","6:45 AM","7:47 AM","12:30 PM","1:00 PM","3:31 PM","3:45 PM","5:14 PM","6:37 PM","7:00 PM","2:00 PM"
"20","6:23 AM","6:45 AM","7:46 AM","12:30 PM","1:00 PM","3:33 PM","3:45 PM","5:15 PM","6:38 PM","7:00 PM","2:00 PM"
"21","6:22 AM","6:45 AM","7:45 AM","12:31 PM","1:00 PM","3:34 PM","3:45 PM","5:16 PM","6:39 PM","7:00 PM","2:00 PM"
"22","6:22 AM","6:45 AM","7:45 AM","12:31 PM","1:00 PM","3:35 PM","3:45 PM","5:18 PM","6:41 PM","7:00 PM","2:00 PM"
"23","6:21 AM","6:45 AM","7:44 AM","12:31 PM","1:00 PM","3:36 PM","3:45 PM","5:19 PM","6:42 PM","7:00 PM","2:00 PM"
"24","6:20 AM","6:45 AM","7:43 AM","12:31 PM","1:00 PM","3:38 PM","3:45 PM","5:20 PM","6:43 PM","7:00 PM","2:00 PM"
"25","6:20 AM","6:45 AM","7:42 AM","12:32 PM","1:00 PM","3:39 PM","3:45 PM","5:22 PM","6:44 PM","7:00 PM","2:00 PM"
"26","6:19 AM","6:45 AM","7:41 AM","12:32 PM","1:00 PM","3:40 PM","4:00 PM","5:23 PM","6:45 PM","7:00 PM","2:00 PM"
"27","6:18 AM","6:45 AM","7:40 AM","12:32 PM","1:00 PM","3:42 PM","4:00 PM","5:24 PM","6:46 PM","7:00 PM","2:00 PM"
"28","6:18 AM","6:45 AM","7:40 AM","12:32 PM","1:00 PM","3:43 PM","4:00 PM","5:26 PM","6:47 PM","7:00 PM","2:00 PM"
"29","6:17 AM","6:45 AM","7:39 AM","12:32 PM","1:00 PM","3:44 PM","4:00 PM","5:27 PM","6:49 PM","7:00 PM","2:00 PM"
"30","6:16 AM","6:45 AM","7:38 AM","12:33 PM","1:00 PM","3:45 PM","4:00 PM","5:28 PM","6:50 PM","7:00 PM","2:00 PM"
"31","6:15 AM","6:45 AM","7:37 AM","12:33 PM","1:00 PM","3:47 PM","4:00 PM","5:30 PM","6:51 PM","7:00 PM","2:00 PM"
