"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","4:32 AM","5:30 am","6:08 AM","1:25 PM","1:40 PM","6:30 PM","6:40 PM","8:41 PM","10:16 PM","10:20 Pm","2:00 PM"
"2","4:34 AM","5:30 am","6:09 AM","1:24 PM","1:40 PM","6:29 PM","6:40 PM","8:39 PM","10:15 PM","10:20 Pm","2:00 PM"
"3","4:35 AM","5:30 am","6:10 AM","1:24 PM","1:40 PM","6:28 PM","6:40 PM","8:38 PM","10:13 PM","10:20 Pm","2:00 PM"
"4","4:37 AM","5:30 am","6:11 AM","1:24 PM","1:40 PM","6:28 PM","6:40 PM","8:37 PM","10:11 PM","10:20 Pm","2:00 PM"
"5","4:38 AM","5:15 am","6:12 AM","1:24 PM","1:40 PM","6:27 PM","6:30 PM","8:36 PM","10:09 PM","10:10 Pm","2:00 PM"
"6","4:40 AM","5:15 am","6:13 AM","1:24 PM","1:40 PM","6:26 PM","6:30 PM","8:34 PM","10:07 PM","10:10 Pm","2:00 PM"
"7","4:41 AM","5:15 am","6:14 AM","1:24 PM","1:40 PM","6:25 PM","6:30 PM","8:33 PM","10:06 PM","10:10 Pm","2:00 PM"
"8","4:43 AM","5:15 am","6:15 AM","1:24 PM","1:40 PM","6:24 PM","6:30 PM","8:32 PM","10:04 PM","10:10 Pm","2:00 PM"
"9","4:45 AM","5:15 am","6:17 AM","1:24 PM","1:40 PM","6:23 PM","6:30 PM","8:30 PM","10:02 PM","10:10 Pm","2:00 PM"
"10","4:46 AM","5:15 am","6:18 AM","1:24 PM","1:40 PM","6:22 PM","6:30 PM","8:29 PM","10:00 PM","10:10 Pm","2:00 PM"
"11","4:48 AM","5:15 am","6:19 AM","1:23 PM","1:40 PM","6:21 PM","6:30 PM","8:27 PM","9:58 PM","10:10 Pm","2:00 PM"
"12","4:49 AM","5:15 am","6:20 AM","1:23 PM","1:40 PM","6:20 PM","6:30 PM","8:26 PM","9:56 PM","10:10 Pm","2:00 PM"
"13","4:51 AM","5:15 am","6:21 AM","1:23 PM","1:40 PM","6:19 PM","6:30 PM","8:24 PM","9:54 PM","10:10 Pm","2:00 PM"
"14","4:52 AM","5:15 am","6:22 AM","1:23 PM","1:40 PM","6:18 PM","6:30 PM","8:23 PM","9:52 PM","10:10 Pm","2:00 PM"
"15","4:54 AM","5:15 am","6:23 AM","1:23 PM","1:40 PM","6:17 PM","6:30 PM","8:21 PM","9:50 PM","10:10 Pm","2:00 PM"
"16","4:55 AM","5:15 am","6:24 AM","1:22 PM","1:40 PM","6:16 PM","6:30 PM","8:20 PM","9:48 PM","10:10 Pm","2:00 PM"
"17","4:57 AM","5:15 am","6:26 AM","1:22 PM","1:40 PM","6:15 PM","6:30 PM","8:18 PM","9:46 PM","10:10 Pm","2:00 PM"
"18","4:59 AM","5:15 am","6:27 AM","1:22 PM","1:40 PM","6:14 PM","6:30 PM","8:17 PM","9:44 PM","10:10 Pm","2:00 PM"
"19","5:00 AM","5:15 am","6:28 AM","1:22 PM","1:40 PM","6:13 PM","6:30 PM","8:15 PM","9:42 PM","10:10 Pm","2:00 PM"
"20","5:02 AM","5:15 am","6:29 AM","1:21 PM","1:40 PM","6:12 PM","6:30 PM","8:13 PM","9:40 PM","10:10 Pm","2:00 PM"
"21","5:03 AM","5:30 am","6:30 AM","1:21 PM","1:40 PM","6:10 PM","6:30 PM","8:12 PM","9:38 PM","10:00 Pm","2:00 PM"
"22","5:05 AM","5:30 am","6:31 AM","1:21 PM","1:40 PM","6:09 PM","6:30 PM","8:10 PM","9:36 PM","10:00 Pm","2:00 PM"
"23","5:06 AM","5:30 am","6:32 AM","1:21 PM","1:40 PM","6:08 PM","6:30 PM","8:08 PM","9:34 PM","10:00 Pm","2:00 PM"
"24","5:07 AM","5:30 am","6:33 AM","1:20 PM","1:40 PM","6:07 PM","6:30 PM","8:07 PM","9:32 PM","10:00 Pm","2:00 PM"
"25","5:09 AM","5:30 am","6:35 AM","1:20 PM","1:40 PM","6:06 PM","6:30 PM","8:05 PM","9:30 PM","10:00 Pm","2:00 PM"
"26","5:10 AM","5:30 am","6:36 AM","1:20 PM","1:40 PM","6:04 PM","6:30 PM","8:03 PM","9:28 PM","10:00 Pm","2:00 PM"
"27","5:12 AM","5:30 am","6:37 AM","1:20 PM","1:40 PM","6:03 PM","6:30 PM","8:02 PM","9:26 PM","10:00 Pm","2:00 PM"
"28","5:13 AM","5:30 am","6:38 AM","1:19 PM","1:40 PM","6:02 PM","6:00 PM","8:00 PM","9:24 PM","9:40 Pm","2:00 PM"
"29","5:15 AM","5:30 am","6:39 AM","1:19 PM","1:40 PM","6:00 PM","6:00 PM","7:58 PM","9:22 PM","9:40 Pm","2:00 PM"
"30","5:16 AM","5:30 am","6:40 AM","1:19 PM","1:40 PM","5:59 PM","6:00 PM","7:56 PM","9:20 PM","9:40 Pm","2:00 PM"
"31","5:18 AM","5:30 am","6:41 AM","1:18 PM","1:40 PM","5:58 PM","6:00 PM","7:55 PM","9:18 PM","9:40 Pm","2:00 PM"
