"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:14 AM","6:45 am","7:35 AM","12:32 PM","12:40 AM","3:46 PM","3:30 PM","5:29 PM","6:50 PM","7:00 PM","1:30 PM"
"2","6:13 AM","6:45 am","7:34 AM","12:32 PM","12:40 AM","3:47 PM","3:30 PM","5:30 PM","6:52 PM","7:00 PM","1:30 PM"
"3","6:12 AM","6:45 am","7:33 AM","12:32 PM","12:40 AM","3:48 PM","3:30 PM","5:31 PM","6:53 PM","7:00 PM","1:30 PM"
"4","6:11 AM","6:45 am","7:32 AM","12:32 PM","12:40 AM","3:49 PM","3:30 PM","5:33 PM","6:54 PM","7:00 PM","1:30 PM"
"5","6:10 AM","6:45 am","7:31 AM","12:32 PM","12:40 AM","3:51 PM","3:30 PM","5:34 PM","6:55 PM","7:00 PM","1:30 PM"
"6","6:09 AM","6:45 am","7:30 AM","12:32 PM","12:40 AM","3:52 PM","3:30 PM","5:36 PM","6:57 PM","7:00 PM","1:30 PM"
"7","6:08 AM","6:45 am","7:28 AM","12:32 PM","12:40 AM","3:53 PM","3:30 PM","5:37 PM","6:58 PM","7:00 PM","1:30 PM"
"8","6:06 AM","6:45 am","7:27 AM","12:32 PM","12:40 AM","3:55 PM","3:50 PM","5:38 PM","6:59 PM","7:20 PM","1:30 PM"
"9","6:05 AM","6:45 am","7:26 AM","12:32 PM","12:40 AM","3:56 PM","3:50 PM","5:40 PM","7:00 PM","7:20 PM","1:30 PM"
"10","6:04 AM","6:45 am","7:25 AM","12:32 PM","12:40 AM","3:57 PM","3:50 PM","5:41 PM","7:01 PM","7:20 PM","1:30 PM"
"11","6:03 AM","6:45 am","7:23 AM","12:32 PM","12:40 AM","3:59 PM","3:50 PM","5:42 PM","7:03 PM","7:20 PM","1:30 PM"
"12","6:02 AM","6:45 am","7:22 AM","12:32 PM","12:40 AM","4:00 PM","3:50 PM","5:44 PM","7:04 PM","7:20 PM","1:30 PM"
"13","6:00 AM","6:45 am","7:20 AM","12:32 PM","12:40 AM","4:01 PM","3:50 PM","5:45 PM","7:05 PM","7:20 PM","1:30 PM"
"14","5:59 AM","6:45 am","7:19 AM","12:32 PM","12:40 AM","4:02 PM","3:50 PM","5:46 PM","7:06 PM","7:20 PM","1:30 PM"
"15","5:58 AM","6:45 am","7:18 AM","12:32 PM","12:40 AM","4:04 PM","3:50 PM","5:48 PM","7:08 PM","7:20 PM","1:30 PM"
"16","5:57 AM","6:45 am","7:16 AM","12:32 PM","12:40 AM","4:05 PM","3:50 PM","5:49 PM","7:09 PM","7:20 PM","1:30 PM"
"17","5:55 AM","6:45 am","7:15 AM","12:32 PM","12:40 AM","4:06 PM","3:50 PM","5:50 PM","7:10 PM","7:20 PM","1:30 PM"
"18","5:54 AM","6:45 am","7:13 AM","12:32 PM","12:40 AM","4:07 PM","3:50 PM","5:52 PM","7:11 PM","7:30 PM","1:30 PM"
"19","5:52 AM","6:45 am","7:12 AM","12:32 PM","12:40 AM","4:09 PM","3:50 PM","5:53 PM","7:13 PM","7:30 PM","1:30 PM"
"20","5:51 AM","6:45 am","7:10 AM","12:32 PM","12:40 AM","4:10 PM","3:50 PM","5:54 PM","7:14 PM","7:30 PM","1:30 PM"
"21","5:50 AM","6:45 am","7:09 AM","12:32 PM","12:40 AM","4:11 PM","3:50 PM","5:56 PM","7:15 PM","7:30 PM","1:30 PM"
"22","5:48 AM","6:45 am","7:07 AM","12:32 PM","12:40 AM","4:12 PM","3:50 PM","5:57 PM","7:16 PM","7:30 PM","1:30 PM"
"23","5:47 AM","6:45 am","7:06 AM","12:32 PM","12:40 AM","4:13 PM","3:50 PM","5:58 PM","7:17 PM","7:30 PM","1:30 PM"
"24","5:45 AM","6:45 am","7:04 AM","12:31 PM","12:40 AM","4:15 PM","3:50 PM","6:00 PM","7:19 PM","7:30 PM","1:30 PM"
"25","5:43 AM","6:45 am","7:02 AM","12:31 PM","12:40 AM","4:16 PM","3:50 PM","6:01 PM","7:20 PM","7:30 PM","1:30 PM"
"26","5:42 AM","6:30 am","7:01 AM","12:31 PM","12:40 AM","4:17 PM","4:20 PM","6:02 PM","7:21 PM","7:30 PM","1:30 PM"
"27","5:40 AM","6:30 am","6:59 AM","12:31 PM","12:40 AM","4:18 PM","4:20 PM","6:04 PM","7:22 PM","7:30 PM","1:30 PM"
"28","5:39 AM","6:30 am","6:57 AM","12:31 PM","12:40 AM","4:19 PM","4:20 PM","6:05 PM","7:24 PM","7:30 PM","1:30 PM"
"29","5:37 AM","6:30 am","6:56 AM","12:31 PM","12:40 AM","4:20 PM","4:20 PM","6:06 PM","7:25 PM","7:30 PM","1:30 PM"
