"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:08 AM","6:50 AM","7:51 AM","12:21 PM","1:00 PM","3:09 PM","3:45 PM","4:51 PM","6:18 PM","8:00 PM","1:30 PM"
"2","6:08 AM","6:50 AM","7:51 AM","12:22 PM","1:00 PM","3:10 PM","3:45 PM","4:52 PM","6:19 PM","8:00 PM","1:30 PM"
"3","6:08 AM","6:50 AM","7:51 AM","12:22 PM","1:00 PM","3:11 PM","3:45 PM","4:53 PM","6:19 PM","8:00 PM","1:30 PM"
"4","6:08 AM","6:50 AM","7:51 AM","12:23 PM","1:00 PM","3:12 PM","3:45 PM","4:54 PM","6:20 PM","8:00 PM","1:30 PM"
"5","6:08 AM","6:50 AM","7:51 AM","12:23 PM","1:00 PM","3:13 PM","3:45 PM","4:55 PM","6:21 PM","8:00 PM","1:30 PM"
"6","6:08 AM","6:50 AM","7:51 AM","12:23 PM","1:00 PM","3:14 PM","3:45 PM","4:56 PM","6:22 PM","8:00 PM","1:30 PM"
"7","6:08 AM","6:50 AM","7:51 AM","12:24 PM","1:00 PM","3:15 PM","3:45 PM","4:57 PM","6:23 PM","8:00 PM","1:30 PM"
"8","6:08 AM","6:50 AM","7:51 AM","12:24 PM","1:00 PM","3:16 PM","3:45 PM","4:58 PM","6:24 PM","8:00 PM","1:30 PM"
"9","6:08 AM","6:50 AM","7:50 AM","12:25 PM","1:00 PM","3:17 PM","3:45 PM","4:59 PM","6:25 PM","8:00 PM","1:30 PM"
"10","6:08 AM","6:50 AM","7:50 AM","12:25 PM","1:00 PM","3:18 PM","3:45 PM","5:00 PM","6:26 PM","8:00 PM","1:30 PM"
"11","6:07 AM","6:50 AM","7:50 AM","12:26 PM","1:00 PM","3:19 PM","3:45 PM","5:02 PM","6:27 PM","8:00 PM","1:30 PM"
"12","6:07 AM","6:50 AM","7:49 AM","12:26 PM","1:00 PM","3:21 PM","3:45 PM","5:03 PM","6:28 PM","8:00 PM","1:30 PM"
"13","6:07 AM","6:50 AM","7:49 AM","12:26 PM","1:00 PM","3:22 PM","3:45 PM","5:04 PM","6:29 PM","8:00 PM","1:30 PM"
"14","6:07 AM","6:50 AM","7:49 AM","12:27 PM","1:00 PM","3:23 PM","3:45 PM","5:05 PM","6:30 PM","8:00 PM","1:30 PM"
"15","6:06 AM","6:50 AM","7:48 AM","12:27 PM","1:00 PM","3:24 PM","3:45 PM","5:06 PM","6:31 PM","8:00 PM","1:30 PM"
"16","6:06 AM","6:50 AM","7:48 AM","12:27 PM","1:00 PM","3:25 PM","3:45 PM","5:08 PM","6:32 PM","8:00 PM","1:30 PM"
"17","6:06 AM","6:50 AM","7:47 AM","12:28 PM","1:00 PM","3:26 PM","3:45 PM","5:09 PM","6:33 PM","8:00 PM","1:30 PM"
"18","6:05 AM","6:50 AM","7:46 AM","12:28 PM","1:00 PM","3:28 PM","3:45 PM","5:10 PM","6:34 PM","8:00 PM","1:30 PM"
"19","6:05 AM","6:50 AM","7:46 AM","12:28 PM","1:00 PM","3:29 PM","3:45 PM","5:11 PM","6:35 PM","8:00 PM","1:30 PM"
"20","6:04 AM","6:50 AM","7:45 AM","12:29 PM","1:00 PM","3:30 PM","3:45 PM","5:13 PM","6:36 PM","8:00 PM","1:30 PM"
"21","6:04 AM","6:35 AM","7:44 AM","12:29 PM","1:00 PM","3:31 PM","4:00 PM","5:14 PM","6:38 PM","8:00 PM","1:30 PM"
"22","6:03 AM","6:35 AM","7:44 AM","12:29 PM","1:00 PM","3:33 PM","4:00 PM","5:15 PM","6:39 PM","8:00 PM","1:30 PM"
"23","6:03 AM","6:35 AM","7:43 AM","12:29 PM","1:00 PM","3:34 PM","4:00 PM","5:17 PM","6:40 PM","8:00 PM","1:30 PM"
"24","6:02 AM","6:35 AM","7:42 AM","12:30 PM","1:00 PM","3:35 PM","4:00 PM","5:18 PM","6:41 PM","8:00 PM","1:30 PM"
"25","6:01 AM","6:35 AM","7:41 AM","12:30 PM","1:00 PM","3:37 PM","4:00 PM","5:19 PM","6:42 PM","8:00 PM","1:30 PM"
"26","6:01 AM","6:35 AM","7:40 AM","12:30 PM","1:00 PM","3:38 PM","4:00 PM","5:21 PM","6:43 PM","8:00 PM","1:30 PM"
"27","6:00 AM","6:35 AM","7:40 AM","12:30 PM","1:00 PM","3:39 PM","4:00 PM","5:22 PM","6:44 PM","8:00 PM","1:30 PM"
"28","5:59 AM","6:35 AM","7:39 AM","12:31 PM","1:00 PM","3:41 PM","4:00 PM","5:23 PM","6:46 PM","8:00 PM","1:30 PM"
"29","5:58 AM","6:35 AM","7:38 AM","12:31 PM","1:00 PM","3:42 PM","4:00 PM","5:25 PM","6:47 PM","8:00 PM","1:30 PM"
"30","5:58 AM","6:35 AM","7:37 AM","12:31 PM","1:00 PM","3:43 PM","4:00 PM","5:26 PM","6:48 PM","8:00 PM","1:30 PM"
"31","5:57 AM","6:35 AM","7:36 AM","12:31 PM","1:00 PM","3:45 PM","4:00 PM","5:27 PM","6:49 PM","8:00 PM","1:30 PM"
