"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:19 AM","6:00 AM","6:54 AM","12:30 PM","1:00 PM","4:21 PM","5:00 PM","6:06 PM","7:25 PM","8:00 PM","1:30 PM"
"2","5:17 AM","6:00 AM","6:53 AM","12:30 PM","1:00 PM","4:22 PM","5:00 PM","6:07 PM","7:26 PM","8:00 PM","1:30 PM"
"3","5:16 AM","6:00 AM","6:51 AM","12:29 PM","1:00 PM","4:23 PM","5:00 PM","6:09 PM","7:27 PM","8:00 PM","1:30 PM"
"4","5:14 AM","6:00 AM","6:49 AM","12:29 PM","1:00 PM","4:24 PM","5:00 PM","6:10 PM","7:29 PM","8:00 PM","1:30 PM"
"5","5:12 AM","6:00 AM","6:47 AM","12:29 PM","1:00 PM","4:25 PM","5:00 PM","6:11 PM","7:30 PM","8:00 PM","1:30 PM"
"6","5:11 AM","6:00 AM","6:46 AM","12:29 PM","1:00 PM","4:26 PM","5:00 PM","6:13 PM","7:31 PM","8:00 PM","1:30 PM"
"7","5:09 AM","6:00 AM","6:44 AM","12:29 PM","1:00 PM","4:27 PM","5:00 PM","6:14 PM","7:32 PM","8:00 PM","1:30 PM"
"8","5:07 AM","6:00 AM","6:42 AM","12:28 PM","1:00 PM","4:28 PM","5:00 PM","6:15 PM","7:34 PM","8:00 PM","1:30 PM"
"9","5:05 AM","6:00 AM","6:41 AM","12:28 PM","1:00 PM","4:29 PM","5:00 PM","6:16 PM","7:35 PM","8:00 PM","1:30 PM"
"10","6:03 AM","6:30 AM","7:39 AM","1:28 PM","1:45 PM","5:30 PM","6:00 PM","7:18 PM","8:36 PM","9:00 PM","2:00 PM"
"11","6:02 AM","6:45 AM","6:36 AM","1:28 PM","1:45 PM","5:31 PM","6:00 PM","7:19 PM","8:37 PM","9:00 PM","2:00 PM"
"12","6:00 AM","6:45 AM","7:35 AM","1:27 PM","1:45 PM","5:32 PM","6:00 PM","7:20 PM","8:39 PM","9:00 PM","2:00 PM"
"13","5:58 AM","6:45 AM","7:33 AM","1:27 PM","1:45 PM","5:33 PM","6:00 PM","7:21 PM","8:40 PM","9:00 PM","2:00 PM"
"14","5:56 AM","6:45 AM","7:32 AM","1:27 PM","1:45 PM","5:34 PM","6:00 PM","7:23 PM","8:41 PM","9:00 PM","2:00 PM"
"15","5:54 AM","6:45 AM","7:30 AM","1:26 PM","1:45 PM","5:35 PM","6:00 PM","7:24 PM","8:43 PM","9:00 PM","2:00 PM"
"16","5:52 AM","6:45 AM","7:28 AM","1:26 PM","1:45 PM","5:36 PM","6:00 PM","7:25 PM","8:44 PM","9:00 PM","2:00 PM"
"17","5:50 AM","6:45 AM","7:26 AM","1:26 PM","1:45 PM","5:37 PM","6:00 PM","7:26 PM","8:45 PM","9:00 PM","2:00 PM"
"18","5:48 AM","6:45 AM","7:25 AM","1:26 PM","1:45 PM","5:38 PM","6:00 PM","7:27 PM","8:47 PM","9:00 PM","2:00 PM"
"19","5:47 AM","6:45 AM","7:23 AM","1:25 PM","1:45 PM","5:39 PM","6:00 PM","7:29 PM","8:48 PM","9:00 PM","2:00 PM"
"20","5:45 AM","6:45 AM","7:21 AM","1:25 PM","1:45 PM","5:40 PM","6:00 PM","7:30 PM","8:49 PM","9:00 PM","2:00 PM"
"21","5:43 AM","6:30 AM","7:19 AM","1:25 PM","1:45 PM","5:41 PM","6:15 PM","7:31 PM","8:50 PM","9:15 PM","2:00 PM"
"22","5:41 AM","6:30 AM","7:17 AM","1:24 PM","1:45 PM","5:42 PM","6:15 PM","7:32 PM","8:52 PM","9:15 PM","2:00 PM"
"23","5:39 AM","6:30 AM","7:16 AM","1:24 PM","1:45 PM","5:43 PM","6:15 PM","7:33 PM","8:53 PM","9:15 PM","2:00 PM"
"24","5:37 AM","6:30 AM","7:14 AM","1:24 PM","1:45 PM","5:44 PM","6:15 PM","7:35 PM","8:55 PM","9:15 PM","2:00 PM"
"25","5:35 AM","6:30 AM","7:12 AM","1:24 PM","1:45 PM","5:45 PM","6:15 PM","7:36 PM","8:56 PM","9:15 PM","2:00 PM"
"26","5:33 AM","6:30 AM","7:10 AM","1:23 PM","1:45 PM","5:45 PM","6:15 PM","7:37 PM","8:57 PM","9:15 PM","2:00 PM"
"27","5:31 AM","6:30 AM","7:08 AM","1:23 PM","1:45 PM","5:46 PM","6:15 PM","7:38 PM","8:59 PM","9:15 PM","2:00 PM"
"28","5:29 AM","6:30 AM","7:07 AM","1:23 PM","1:45 PM","5:47 PM","6:15 PM","7:39 PM","9:00 PM","9:15 PM","2:00 PM"
"29","5:27 AM","6:30 AM","7:05 AM","1:22 PM","1:45 PM","5:48 PM","6:15 PM","7:41 PM","9:01 PM","9:15 PM","2:00 PM"
"30","5:24 AM","6:30 AM","7:03 AM","1:22 PM","1:45 PM","5:49 PM","6:15 PM","7:44 PM","9:03 PM","9:15 PM","2:00 PM"
"31","5:22 AM","6:30 AM","7:01 AM","1:22 PM","1:45 PM","5:50 PM","6:15 PM","7:44 PM","9:04 PM","9:15 PM","2:00 PM"
