"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:59 AM","6:00 AM","6:41 AM","1:18 PM","1:45 PM","5:56 PM","6:15 PM","7:53 PM","9:16 PM","9:30 PM","2:00 PM"
"2","5:00 AM","6:00 AM","6:42 AM","1:17 PM","1:45 PM","5:55 PM","6:15 PM","7:51 PM","9:14 PM","9:30 PM","2:00 PM"
"3","5:02 AM","6:00 AM","6:43 AM","1:17 PM","1:45 PM","5:53 PM","6:15 PM","7:50 PM","9:12 PM","9:30 PM","2:00 PM"
"4","5:03 AM","6:00 AM","6:44 AM","1:17 PM","1:45 PM","5:52 PM","6:15 PM","7:48 PM","9:10 PM","9:30 PM","2:00 PM"
"5","5:04 AM","6:00 AM","6:45 AM","1:16 PM","1:45 PM","5:51 PM","6:15 PM","7:46 PM","9:08 PM","9:30 PM","2:00 PM"
"6","5:06 AM","6:00 AM","6:47 AM","1:16 PM","1:45 PM","5:49 PM","6:15 PM","7:44 PM","9:06 PM","9:30 PM","2:00 PM"
"7","5:07 AM","6:00 AM","6:48 AM","1:16 PM","1:45 PM","5:48 PM","6:15 PM","7:42 PM","9:04 PM","9:30 PM","2:00 PM"
"8","5:09 AM","6:00 AM","6:49 AM","1:15 PM","1:45 PM","5:46 PM","6:15 PM","7:41 PM","9:02 PM","9:30 PM","2:00 PM"
"9","5:10 AM","6:00 AM","6:50 AM","1:15 PM","1:45 PM","5:45 PM","6:15 PM","7:39 PM","9:00 PM","9:30 PM","2:00 PM"
"10","5:12 AM","6:00 AM","6:51 AM","1:14 PM","1:45 PM","5:43 PM","6:15 PM","7:37 PM","8:58 PM","9:30 PM","2:00 PM"
"11","5:13 AM","6:00 AM","6:52 AM","1:14 PM","1:45 PM","5:42 PM","6:00 PM","7:35 PM","8:56 PM","9:15 PM","2:00 PM"
"12","5:14 AM","6:00 AM","6:53 AM","1:14 PM","1:45 PM","5:40 PM","6:00 PM","7:33 PM","8:54 PM","9:15 PM","2:00 PM"
"13","5:16 AM","6:00 AM","6:54 AM","1:13 PM","1:45 PM","5:39 PM","6:00 PM","7:32 PM","8:52 PM","9:15 PM","2:00 PM"
"14","5:17 AM","6:00 AM","6:56 AM","1:13 PM","1:45 PM","5:37 PM","6:00 PM","7:30 PM","8:50 PM","9:15 PM","2:00 PM"
"15","5:19 AM","6:00 AM","6:57 AM","1:13 PM","1:45 PM","5:36 PM","6:00 PM","7:28 PM","8:48 PM","9:15 PM","2:00 PM"
"16","5:20 AM","6:00 AM","6:58 AM","1:12 PM","1:45 PM","5:34 PM","6:00 PM","7:26 PM","8:46 PM","9:15 PM","2:00 PM"
"17","5:21 AM","6:00 AM","6:59 AM","1:12 PM","1:45 PM","5:33 PM","6:00 PM","7:24 PM","8:44 PM","9:15 PM","2:00 PM"
"18","5:23 AM","6:00 AM","7:00 AM","1:12 PM","1:45 PM","5:31 PM","6:00 PM","7:22 PM","8:42 PM","9:15 PM","2:00 PM"
"19","5:24 AM","6:00 AM","7:01 AM","1:11 PM","1:45 PM","5:30 PM","6:00 PM","7:21 PM","8:40 PM","9:15 PM","2:00 PM"
"20","5:25 AM","6:00 AM","7:02 AM","1:11 PM","1:45 PM","5:28 PM","6:00 PM","7:19 PM","8:38 PM","9:15 PM","2:00 PM"
"21","5:27 AM","6:15 AM","7:04 AM","1:11 PM","1:45 PM","5:27 PM","5:45 PM","7:17 PM","8:36 PM","9:00 PM","2:00 PM"
"22","5:28 AM","6:15 AM","7:05 AM","1:10 PM","1:45 PM","5:25 PM","5:45 PM","7:15 PM","8:34 PM","9:00 PM","2:00 PM"
"23","5:29 AM","6:15 AM","7:06 AM","1:10 PM","1:45 PM","5:24 PM","5:45 PM","7:13 PM","8:32 PM","9:00 PM","2:00 PM"
"24","5:31 AM","6:15 AM","7:07 AM","1:10 PM","1:45 PM","5:22 PM","5:45 PM","7:11 PM","8:30 PM","9:00 PM","2:00 PM"
"25","5:32 AM","6:15 AM","7:08 AM","1:09 PM","1:45 PM","5:21 PM","5:45 PM","7:10 PM","8:28 PM","9:00 PM","2:00 PM"
"26","5:33 AM","6:15 AM","7:09 AM","1:09 PM","1:45 PM","5:19 PM","5:45 PM","7:08 PM","8:27 PM","9:00 PM","2:00 PM"
"27","5:34 AM","6:15 AM","7:10 AM","1:09 PM","1:45 PM","5:17 PM","5:45 PM","7:06 PM","8:25 PM","9:00 PM","2:00 PM"
"28","5:36 AM","6:15 AM","7:12 AM","1:08 PM","1:45 PM","5:16 PM","5:45 PM","7:04 PM","8:23 PM","9:00 PM","2:00 PM"
"29","5:37 AM","6:15 AM","7:13 AM","1:08 PM","1:45 PM","5:14 PM","5:45 PM","7:02 PM","8:21 PM","9:00 PM","2:00 PM"
"30","5:38 AM","6:15 AM","7:14 AM","1:08 PM","1:45 PM","5:13 PM","5:45 PM","7:00 PM","8:19 PM","9:00 PM","2:00 PM"
