"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:12 AM","6:45 AM","7:34 AM","12:30 PM","1:00 PM","3:04 PM","4:00 PM","5:27 PM","6:49 PM","7:00 PM","1:00 PM"
"2","6:11 AM","6:45 AM","7:33 AM","12:31 PM","1:00 PM","3:06 PM","4:00 PM","5:29 PM","6:51 PM","7:00 PM","1:00 PM"
"3","6:10 AM","6:45 AM","7:32 AM","12:31 PM","1:00 PM","3:07 PM","4:00 PM","5:30 PM","6:52 PM","7:00 PM","1:00 PM"
"4","6:09 AM","6:30 AM","7:31 AM","12:31 PM","1:00 PM","3:08 PM","4:00 PM","5:32 PM","6:53 PM","7:00 PM","1:00 PM"
"5","6:08 AM","6:30 AM","7:30 AM","12:31 PM","1:00 PM","3:09 PM","4:00 PM","5:33 PM","6:54 PM","7:00 PM","1:00 PM"
"6","6:07 AM","6:30 AM","7:28 AM","12:31 PM","1:00 PM","3:10 PM","4:00 PM","5:34 PM","6:55 PM","7:00 PM","1:00 PM"
"7","6:06 AM","6:30 AM","7:27 AM","12:31 PM","1:00 PM","3:11 PM","4:00 PM","5:36 PM","6:57 PM","7:00 PM","1:00 PM"
"8","6:05 AM","6:30 AM","7:26 AM","12:31 PM","1:00 PM","3:12 PM","4:00 PM","5:37 PM","6:58 PM","7:00 PM","1:00 PM"
"9","6:04 AM","6:30 AM","7:24 AM","12:31 PM","1:00 PM","3:13 PM","4:00 PM","5:38 PM","6:59 PM","9:00 PM","1:00 PM"
"10","6:03 AM","6:30 AM","7:23 AM","12:31 PM","1:00 PM","3:15 PM","4:00 PM","5:40 PM","7:00 PM","9:00 PM","1:00 PM"
"11","6:01 AM","6:30 AM","7:22 AM","12:31 PM","1:00 PM","3:16 PM","4:00 PM","5:41 PM","7:02 PM","9:00 PM","1:00 PM"
"12","6:00 AM","6:30 AM","7:20 AM","12:31 PM","1:00 PM","3:17 PM","4:00 PM","5:43 PM","7:03 PM","9:00 PM","1:00 PM"
"13","5:59 AM","6:30 AM","7:19 AM","12:31 PM","1:00 PM","3:18 PM","4:00 PM","5:44 PM","7:04 PM","9:00 PM","1:00 PM"
"14","5:58 AM","6:30 AM","7:18 AM","12:31 PM","1:00 PM","3:19 PM","4:00 PM","5:45 PM","7:05 PM","9:00 PM","1:00 PM"
"15","5:56 AM","6:30 AM","7:16 AM","12:31 PM","1:00 PM","3:20 PM","4:00 PM","5:47 PM","7:07 PM","9:00 PM","1:00 PM"
"16","5:55 AM","6:30 AM","7:15 AM","12:31 PM","1:00 PM","3:21 PM","4:00 PM","5:48 PM","7:08 PM","9:00 PM","1:00 PM"
"17","5:54 AM","6:30 AM","7:13 AM","12:31 PM","1:00 PM","3:22 PM","4:00 PM","5:49 PM","7:09 PM","9:00 PM","1:00 PM"
"18","5:52 AM","6:15 AM","7:12 AM","12:31 PM","1:00 PM","3:23 PM","4:00 PM","5:51 PM","7:10 PM","9:00 PM","1:00 PM"
"19","5:51 AM","6:15 AM","7:10 AM","12:31 PM","1:00 PM","3:24 PM","4:00 PM","5:52 PM","7:11 PM","9:00 PM","1:00 PM"
"20","5:49 AM","6:15 AM","7:09 AM","12:31 PM","1:00 PM","3:25 PM","4:00 PM","5:53 PM","7:13 PM","9:00 PM","1:00 PM"
"21","5:48 AM","6:15 AM","7:07 AM","12:31 PM","1:00 PM","3:26 PM","4:00 PM","5:55 PM","7:14 PM","9:00 PM","1:00 PM"
"22","5:46 AM","6:15 AM","7:06 AM","12:30 PM","1:00 PM","3:27 PM","4:00 PM","5:56 PM","7:15 PM","9:00 PM","1:00 PM"
"23","5:45 AM","6:15 AM","7:04 AM","12:30 PM","1:00 PM","3:28 PM","4:00 PM","5:57 PM","7:16 PM","9:00 PM","1:00 PM"
"24","5:43 AM","6:15 AM","7:02 AM","12:30 PM","1:00 PM","3:29 PM","4:00 PM","5:59 PM","7:18 PM","9:00 PM","1:00 PM"
"25","5:42 AM","6:15 AM","7:01 AM","12:30 PM","1:00 PM","3:30 PM","4:00 PM","6:00 PM","7:19 PM","9:00 PM","1:00 PM"
"26","5:40 AM","6:15 AM","6:59 AM","12:30 PM","1:00 PM","3:31 PM","4:00 PM","6:01 PM","7:20 PM","9:00 PM","1:00 PM"
"27","5:39 AM","6:15 AM","6:57 AM","12:30 PM","1:00 PM","3:32 PM","4:00 PM","6:03 PM","7:21 PM","9:00 PM","1:00 PM"
"28","5:37 AM","6:15 AM","6:56 AM","12:29 PM","1:00 PM","3:32 PM","4:00 PM","6:04 PM","7:23 PM","9:00 PM","1:00 PM"
"29","","6:00 AM","","","1:00 PM","","4:30 PM","","","8:00 PM","1:00 PM"
