"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:32 AM","6:15 AM","6:53 AM","12:01 PM","1:45 PM","2:43 PM","5:30 PM","5:08 PM","6:28 PM","9:15 PM","1:30 PM"
"2","5:33 AM","6:15 AM","6:54 AM","12:00 PM","1:45 PM","2:42 PM","5:30 PM","5:06 PM","6:27 PM","9:15 PM","1:30 PM"
"3","5:34 AM","6:15 AM","6:55 AM","12:00 PM","1:45 PM","2:41 PM","5:30 PM","5:05 PM","6:26 PM","9:15 PM","1:30 PM"
"4","5:35 AM","6:15 AM","6:57 AM","12:00 PM","1:45 PM","2:40 PM","5:30 PM","5:04 PM","6:25 PM","9:15 PM","1:30 PM"
"5","5:37 AM","6:15 AM","6:58 AM","12:01 PM","1:45 PM","2:39 PM","5:30 PM","5:02 PM","6:24 PM","9:15 PM","1:30 PM"
"6","5:38 AM","6:15 AM","6:59 AM","12:01 PM","1:45 PM","2:38 PM","5:30 PM","5:01 PM","6:23 PM","9:15 PM","1:30 PM"
"7","5:39 AM","6:15 AM","7:01 AM","12:01 PM","1:45 PM","2:37 PM","5:30 PM","5:00 PM","6:22 PM","9:15 PM","1:30 PM"
"8","5:40 AM","6:15 AM","7:02 AM","12:01 PM","1:45 PM","2:36 PM","5:30 PM","4:59 PM","6:21 PM","9:15 PM","1:30 PM"
"9","5:41 AM","6:15 AM","7:03 AM","12:01 PM","1:45 PM","2:35 PM","5:30 PM","4:58 PM","6:20 PM","9:15 PM","1:30 PM"
"10","5:42 AM","6:15 AM","7:05 AM","12:01 PM","1:45 PM","2:34 PM","5:30 PM","4:57 PM","6:19 PM","9:15 PM","1:30 PM"
"11","5:44 AM","6:15 AM","7:06 AM","12:01 PM","1:45 PM","2:33 PM","5:30 PM","4:55 PM","6:18 PM","9:15 PM","1:30 PM"
"12","5:45 AM","6:15 AM","7:07 AM","12:01 PM","1:45 PM","2:33 PM","5:30 PM","4:54 PM","6:17 PM","9:15 PM","1:30 PM"
"13","5:46 AM","6:15 AM","7:08 AM","12:01 PM","1:45 PM","2:32 PM","5:30 PM","4:53 PM","6:16 PM","9:15 PM","1:30 PM"
"14","5:47 AM","6:15 AM","7:10 AM","12:01 PM","1:45 PM","2:31 PM","5:30 PM","4:52 PM","6:15 PM","9:15 PM","1:30 PM"
"15","5:48 AM","6:00 AM","7:11 AM","12:01 PM","1:00 PM","2:30 PM","5:30 PM","4:51 PM","6:14 PM","7:00 PM","1:00 PM"
"16","5:49 AM","6:00 AM","7:12 AM","12:02 PM","1:00 PM","2:29 PM","5:30 PM","4:50 PM","6:14 PM","7:00 PM","1:00 PM"
"17","5:50 AM","6:15 AM","7:14 AM","12:02 PM","1:00 PM","2:29 PM","5:30 PM","4:50 PM","6:13 PM","7:00 PM","1:00 PM"
"18","5:52 AM","6:15 AM","7:15 AM","12:02 PM","1:00 PM","2:28 PM","5:30 PM","4:49 PM","6:12 PM","7:00 PM","1:00 PM"
"19","5:53 AM","6:15 AM","7:16 AM","12:02 PM","1:00 PM","2:27 PM","5:30 PM","4:48 PM","6:11 PM","7:00 PM","1:00 PM"
"20","5:54 AM","6:15 AM","7:17 AM","12:03 PM","1:00 PM","2:27 PM","5:30 PM","4:47 PM","6:11 PM","7:00 PM","1:00 PM"
"21","5:55 AM","6:15 AM","7:19 AM","12:03 PM","1:00 PM","2:26 PM","5:30 PM","4:46 PM","6:10 PM","7:00 PM","1:00 PM"
"22","5:56 AM","6:15 AM","7:20 AM","12:03 PM","1:00 PM","2:26 PM","5:30 PM","4:46 PM","6:10 PM","7:00 PM","1:00 PM"
"23","5:57 AM","6:15 AM","7:21 AM","12:03 PM","1:00 PM","2:25 PM","5:30 PM","4:45 PM","6:09 PM","7:00 PM","1:00 PM"
"24","5:58 AM","6:15 AM","7:22 AM","12:04 PM","1:00 PM","2:25 PM","3:40 PM","4:44 PM","6:09 PM","7:00 PM","1:00 PM"
"25","5:59 AM","6:15 AM","7:24 AM","12:04 PM","1:00 PM","2:24 PM","3:40 PM","4:44 PM","6:08 PM","7:00 PM","1:00 PM"
"26","6:00 AM","6:15 AM","7:25 AM","12:04 PM","1:00 PM","2:24 PM","3:40 PM","4:43 PM","6:08 PM","7:00 PM","1:00 PM"
"27","6:01 AM","6:15 AM","7:26 AM","12:05 PM","1:00 PM","2:23 PM","3:40 PM","4:43 PM","6:07 PM","7:00 PM","1:00 PM"
"28","6:02 AM","6:15 AM","7:27 AM","12:05 PM","1:00 PM","2:23 PM","3:40 PM","4:42 PM","6:07 PM","7:00 PM","1:00 PM"
"29","6:03 AM","6:15 AM","7:28 AM","12:05 PM","1:00 PM","2:23 PM","3:40 PM","4:42 PM","6:07 PM","7:00 PM","1:00 PM"
"30","6:04 AM","6:30 AM","7:30 AM","12:06 PM","1:00 PM","2:22 PM","3:40 PM","4:41 PM","6:07 PM","7:00 PM","1:00 PM"
