"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:55 AM","6:15 AM","7:14 AM","1:07 PM","1:45 PM","4:22 PM","5:30 PM","6:58 PM","8:17 PM","9:15 PM","1:30 PM"
"2","5:56 AM","6:15 AM","7:15 AM","1:06 PM","1:45 PM","4:21 PM","5:30 PM","6:56 PM","8:15 PM","9:15 PM","1:30 PM"
"3","5:58 AM","6:15 AM","7:17 AM","1:06 PM","1:45 PM","4:20 PM","5:30 PM","6:55 PM","8:13 PM","9:15 PM","1:30 PM"
"4","5:59 AM","6:15 AM","7:18 AM","1:06 PM","1:45 PM","4:18 PM","5:30 PM","6:53 PM","8:12 PM","9:15 PM","1:30 PM"
"5","6:00 AM","6:15 AM","7:19 AM","1:05 PM","1:45 PM","4:17 PM","5:30 PM","6:51 PM","8:10 PM","9:15 PM","1:30 PM"
"6","6:01 AM","6:15 AM","7:20 AM","1:05 PM","1:45 PM","4:16 PM","5:30 PM","6:49 PM","8:08 PM","9:15 PM","1:30 PM"
"7","6:03 AM","6:15 AM","7:21 AM","1:05 PM","1:45 PM","4:14 PM","5:30 PM","6:48 PM","8:06 PM","9:15 PM","1:30 PM"
"8","6:04 AM","6:15 AM","7:22 AM","1:04 PM","1:45 PM","4:13 PM","5:30 PM","6:46 PM","8:04 PM","9:15 PM","1:30 PM"
"9","6:05 AM","6:15 AM","7:24 AM","1:04 PM","1:45 PM","4:12 PM","5:30 PM","6:44 PM","8:03 PM","9:15 PM","1:30 PM"
"10","6:06 AM","6:15 AM","7:25 AM","1:04 PM","1:45 PM","4:10 PM","5:30 PM","6:42 PM","8:01 PM","9:15 PM","1:30 PM"
"11","6:07 AM","6:15 AM","7:26 AM","1:04 PM","1:45 PM","4:09 PM","5:30 PM","6:41 PM","7:59 PM","9:15 PM","1:30 PM"
"12","6:08 AM","6:15 AM","7:27 AM","1:03 PM","1:45 PM","4:08 PM","5:30 PM","6:39 PM","7:58 PM","9:15 PM","1:30 PM"
"13","6:10 AM","6:15 AM","7:29 AM","1:03 PM","1:45 PM","4:06 PM","5:30 PM","6:37 PM","7:56 PM","9:15 PM","1:30 PM"
"14","6:11 AM","6:15 AM","7:30 AM","1:03 PM","1:45 PM","4:05 PM","5:30 PM","6:35 PM","7:54 PM","9:15 PM","1:30 PM"
"15","6:12 AM","6:15 AM","7:31 AM","1:03 PM","1:45 PM","4:04 PM","5:30 PM","6:34 PM","7:53 PM","9:15 PM","1:30 PM"
"16","6:13 AM","6:15 AM","7:32 AM","1:02 PM","1:45 PM","4:02 PM","5:30 PM","6:32 PM","7:51 PM","9:15 PM","1:30 PM"
"17","6:14 AM","6:15 AM","7:33 AM","1:02 PM","1:45 PM","4:01 PM","5:30 PM","6:30 PM","7:49 PM","9:15 PM","1:30 PM"
"18","6:16 AM","6:15 AM","7:35 AM","1:02 PM","1:45 PM","4:00 PM","5:30 PM","6:29 PM","7:48 PM","9:15 PM","1:30 PM"
"19","6:17 AM","6:15 AM","7:36 AM","1:02 PM","1:45 PM","3:59 PM","5:30 PM","6:27 PM","7:46 PM","9:15 PM","1:30 PM"
"20","6:18 AM","6:15 AM","7:37 AM","1:02 PM","1:45 PM","3:57 PM","5:30 PM","6:26 PM","7:45 PM","9:15 PM","1:30 PM"
"21","6:19 AM","6:15 AM","7:38 AM","1:02 PM","1:45 PM","3:56 PM","5:30 PM","6:24 PM","7:43 PM","9:15 PM","1:30 PM"
"22","6:20 AM","6:15 AM","7:40 AM","1:01 PM","1:45 PM","3:55 PM","5:30 PM","6:22 PM","7:42 PM","9:15 PM","1:30 PM"
"23","6:21 AM","6:15 AM","7:41 AM","1:01 PM","1:45 PM","3:54 PM","5:30 PM","6:21 PM","7:40 PM","9:15 PM","1:30 PM"
"24","6:23 AM","6:15 AM","7:42 AM","1:01 PM","1:45 PM","3:52 PM","5:30 PM","6:19 PM","7:39 PM","9:15 PM","1:30 PM"
"25","6:24 AM","6:15 AM","7:44 AM","1:01 PM","1:45 PM","3:51 PM","5:30 PM","6:18 PM","7:38 PM","9:15 PM","1:30 PM"
"26","6:25 AM","6:15 AM","7:45 AM","1:01 PM","1:45 PM","3:50 PM","5:30 PM","6:16 PM","7:36 PM","9:15 PM","1:30 PM"
"27","6:26 AM","6:15 AM","7:46 AM","1:01 PM","1:45 PM","3:49 PM","5:30 PM","6:15 PM","7:35 PM","9:15 PM","1:30 PM"
"28","6:27 AM","6:15 AM","7:47 AM","1:01 PM","1:45 PM","3:48 PM","5:30 PM","6:13 PM","7:33 PM","9:15 PM","1:30 PM"
"29","6:28 AM","6:15 AM","7:49 AM","1:01 PM","1:45 PM","3:46 PM","5:30 PM","6:12 PM","7:32 PM","9:15 PM","1:30 PM"
"30","6:30 AM","6:15 AM","7:50 AM","1:01 PM","1:45 PM","3:45 PM","5:30 PM","6:10 PM","7:31 PM","9:15 PM","1:30 PM"
"31","6:31 AM","6:15 AM","7:51 AM","1:01 PM","1:45 PM","3:44 PM","5:30 PM","6:09 PM","7:30 PM","9:15 PM","1:30 PM"
