"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:16 AM","5:45 AM","6:40 AM","1:17 PM","1:45 PM","4:59 PM","5:30 PM","7:53 PM","9:17 PM","9:45 PM","1:30 PM"
"2","5:18 AM","6:00 AM","6:41 AM","1:17 PM","1:45 PM","4:58 PM","5:30 PM","7:51 PM","9:15 PM","9:30 PM","1:30 PM"
"3","5:19 AM","6:00 AM","6:42 AM","1:16 PM","1:45 PM","4:57 PM","5:30 PM","7:50 PM","9:13 PM","9:30 PM","1:30 PM"
"4","5:21 AM","6:00 AM","6:43 AM","1:16 PM","1:45 PM","4:56 PM","5:30 PM","7:48 PM","9:11 PM","9:30 PM","1:30 PM"
"5","5:22 AM","6:00 AM","6:45 AM","1:16 PM","1:45 PM","4:55 PM","5:30 PM","7:46 PM","9:08 PM","9:30 PM","1:30 PM"
"6","5:23 AM","6:00 AM","6:46 AM","1:15 PM","1:45 PM","4:53 PM","5:30 PM","7:44 PM","9:06 PM","9:30 PM","1:30 PM"
"7","5:25 AM","6:00 AM","6:47 AM","1:15 PM","1:45 PM","4:52 PM","5:30 PM","7:42 PM","9:04 PM","9:30 PM","1:30 PM"
"8","5:26 AM","6:00 AM","6:48 AM","1:15 PM","1:45 PM","4:51 PM","5:30 PM","7:41 PM","9:02 PM","9:30 PM","1:30 PM"
"9","5:27 AM","6:00 AM","6:49 AM","1:14 PM","1:45 PM","4:50 PM","5:30 PM","7:39 PM","9:00 PM","9:15 PM","1:30 PM"
"10","5:29 AM","6:00 AM","6:50 AM","1:14 PM","1:45 PM","4:49 PM","5:30 PM","7:37 PM","8:58 PM","9:15 PM","1:30 PM"
"11","5:30 AM","6:00 AM","6:51 AM","1:14 PM","1:45 PM","4:48 PM","5:30 PM","7:35 PM","8:56 PM","9:15 PM","1:30 PM"
"12","5:31 AM","6:00 AM","6:52 AM","1:13 PM","1:45 PM","4:46 PM","5:30 PM","7:33 PM","8:54 PM","9:15 PM","1:30 PM"
"13","5:33 AM","6:00 AM","6:54 AM","1:13 PM","1:45 PM","4:45 PM","5:30 PM","7:31 PM","8:52 PM","9:15 PM","1:30 PM"
"14","5:34 AM","6:00 AM","6:55 AM","1:13 PM","1:45 PM","4:44 PM","5:30 PM","7:30 PM","8:50 PM","9:15 PM","1:30 PM"
"15","5:35 AM","6:00 AM","6:56 AM","1:12 PM","1:45 PM","4:43 PM","5:30 PM","7:28 PM","8:48 PM","9:15 PM","1:30 PM"
"16","5:37 AM","6:15 AM","6:57 AM","1:12 PM","1:45 PM","4:42 PM","5:30 PM","7:26 PM","8:46 PM","9:15 PM","1:30 PM"
"17","5:38 AM","6:15 AM","6:58 AM","1:11 PM","1:45 PM","4:40 PM","5:30 PM","7:24 PM","8:44 PM","9:15 PM","1:30 PM"
"18","5:39 AM","6:15 AM","6:59 AM","1:11 PM","1:45 PM","4:39 PM","5:30 PM","7:22 PM","8:42 PM","9:15 PM","1:30 PM"
"19","5:40 AM","6:15 AM","7:00 AM","1:11 PM","1:45 PM","4:38 PM","5:30 PM","7:20 PM","8:40 PM","9:15 PM","1:30 PM"
"20","5:42 AM","6:15 AM","7:02 AM","1:10 PM","1:45 PM","4:37 PM","5:30 PM","7:18 PM","8:38 PM","9:15 PM","1:30 PM"
"21","5:43 AM","6:15 AM","7:03 AM","1:10 PM","1:45 PM","4:35 PM","5:30 PM","7:17 PM","8:36 PM","9:15 PM","1:30 PM"
"22","5:44 AM","6:15 AM","7:04 AM","1:10 PM","1:45 PM","4:34 PM","5:30 PM","7:15 PM","8:34 PM","9:15 PM","1:30 PM"
"23","5:45 AM","6:15 AM","7:05 AM","1:09 PM","1:45 PM","4:33 PM","5:30 PM","7:13 PM","8:32 PM","9:15 PM","1:30 PM"
"24","5:47 AM","6:15 AM","7:06 AM","1:09 PM","1:45 PM","4:31 PM","5:30 PM","7:11 PM","8:30 PM","9:15 PM","1:30 PM"
"25","5:48 AM","6:15 AM","7:07 AM","1:09 PM","1:45 PM","4:30 PM","5:30 PM","7:09 PM","8:28 PM","9:15 PM","1:30 PM"
"26","5:49 AM","6:15 AM","7:08 AM","1:08 PM","1:45 PM","4:29 PM","5:30 PM","7:07 PM","8:27 PM","9:15 PM","1:30 PM"
"27","5:50 AM","6:15 AM","7:10 AM","1:08 PM","1:45 PM","4:27 PM","5:30 PM","7:06 PM","8:25 PM","9:15 PM","1:30 PM"
"28","5:52 AM","6:15 AM","7:11 AM","1:08 PM","1:45 PM","4:26 PM","5:30 PM","7:04 PM","8:23 PM","9:15 PM","1:30 PM"
"29","5:53 AM","6:15 AM","7:12 AM","1:07 PM","1:45 PM","4:25 PM","5:30 PM","7:02 PM","8:21 PM","9:15 PM","1:30 PM"
"30","5:54 AM","6:15 AM","7:13 AM","1:07 PM","1:45 PM","4:24 PM","5:30 PM","7:00 PM","8:19 PM","9:15 PM","1:30 PM"
