"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:06 AM","6:40 AM","7:32 AM","12:07 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"2","6:07 AM","6:40 AM","7:33 AM","12:07 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"3","6:08 AM","6:40 AM","7:34 AM","12:07 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"4","6:09 AM","6:40 AM","7:35 AM","12:08 PM","1:00 PM","2:58 PM","3:30 PM","4:43 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"5","6:10 AM","6:40 AM","7:36 AM","12:08 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"6","6:11 AM","6:40 AM","7:37 AM","12:09 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"7","6:12 AM","6:40 AM","7:38 AM","12:09 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"8","6:12 AM","6:40 AM","7:39 AM","12:10 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"9","6:13 AM","6:40 AM","7:40 AM","12:10 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"10","6:14 AM","6:40 AM","7:41 AM","12:10 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"11","6:15 AM","6:40 AM","7:41 AM","12:11 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"12","6:16 AM","6:40 AM","7:42 AM","12:11 PM","1:00 PM","2:58 PM","3:30 PM","4:42 PM","5:58 PM","8:00 PM","12:45 PM","2:15 PM"
"13","6:16 AM","6:40 AM","7:43 AM","12:12 PM","1:00 PM","2:58 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"14","6:17 AM","6:40 AM","7:44 AM","12:12 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"15","6:18 AM","6:40 AM","7:44 AM","12:13 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"16","6:18 AM","6:40 AM","7:45 AM","12:13 PM","1:00 PM","2:59 PM","3:30 PM","4:43 PM","5:59 PM","8:00 PM","12:45 PM","2:15 PM"
"17","6:19 AM","6:40 AM","7:46 AM","12:14 PM","1:00 PM","3:00 PM","3:30 PM","4:44 PM","6:00 PM","8:00 PM","12:45 PM","2:15 PM"
"18","6:20 AM","6:40 AM","7:46 AM","12:14 PM","1:00 PM","3:00 PM","3:30 PM","4:44 PM","6:00 PM","8:00 PM","12:45 PM","2:15 PM"
"19","6:20 AM","6:40 AM","7:47 AM","12:15 PM","1:00 PM","3:00 PM","3:30 PM","4:45 PM","6:01 PM","8:00 PM","12:45 PM","2:15 PM"
"20","6:21 AM","6:40 AM","7:48 AM","12:15 PM","1:00 PM","3:01 PM","3:30 PM","4:45 PM","6:01 PM","8:00 PM","12:45 PM","2:15 PM"
"21","6:21 AM","6:40 AM","7:48 AM","12:16 PM","1:00 PM","3:01 PM","3:30 PM","4:46 PM","6:02 PM","8:00 PM","12:45 PM","2:15 PM"
"22","6:22 AM","6:40 AM","7:49 AM","12:16 PM","1:00 PM","3:02 PM","3:30 PM","4:46 PM","6:02 PM","8:00 PM","12:45 PM","2:15 PM"
"23","6:22 AM","6:40 AM","7:49 AM","12:17 PM","1:00 PM","3:02 PM","3:30 PM","4:47 PM","6:03 PM","8:00 PM","12:45 PM","2:15 PM"
"24","6:23 AM","6:40 AM","7:49 AM","12:17 PM","1:00 PM","3:03 PM","3:30 PM","4:47 PM","6:03 PM","8:00 PM","12:45 PM","2:15 PM"
"25","6:23 AM","6:40 AM","7:50 AM","12:18 PM","1:00 PM","3:04 PM","3:30 PM","4:48 PM","6:04 PM","8:00 PM","12:45 PM","2:15 PM"
"26","6:23 AM","6:40 AM","7:50 AM","12:18 PM","1:00 PM","3:04 PM","3:30 PM","4:49 PM","6:04 PM","8:00 PM","12:45 PM","2:15 PM"
"27","6:24 AM","6:40 AM","7:50 AM","12:19 PM","1:00 PM","3:05 PM","3:30 PM","4:49 PM","6:05 PM","8:00 PM","12:45 PM","2:15 PM"
