"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:30 AM","5:30 AM","6:06 AM","1:27 PM","1:45 PM","6:29 PM","6:45 PM","8:41 PM","10:08 PM","10:15 PM","2:00 PM","3:20 PM"
"2","4:32 AM","5:30 AM","6:07 AM","1:27 PM","1:45 PM","6:28 PM","6:45 PM","8:40 PM","10:07 PM","10:15 PM","2:00 PM","3:20 PM"
"3","4:34 AM","5:30 AM","6:08 AM","1:27 PM","1:45 PM","6:28 PM","6:45 PM","8:38 PM","10:05 PM","10:15 PM","2:00 PM","3:20 PM"
"4","4:35 AM","5:30 AM","6:09 AM","1:27 PM","1:45 PM","6:27 PM","6:45 PM","8:37 PM","10:03 PM","10:15 PM","2:00 PM","3:20 PM"
"5","4:37 AM","5:30 AM","6:10 AM","1:26 PM","1:45 PM","6:26 PM","6:45 PM","8:36 PM","10:01 PM","10:15 PM","2:00 PM","3:20 PM"
"6","4:38 AM","5:30 AM","6:11 AM","1:26 PM","1:45 PM","6:25 PM","6:45 PM","8:34 PM","10:00 PM","10:00 PM","2:00 PM","3:20 PM"
"7","4:40 AM","5:30 AM","6:12 AM","1:26 PM","1:45 PM","6:24 PM","6:45 PM","8:33 PM","9:58 PM","10:00 PM","2:00 PM","3:20 PM"
"8","4:42 AM","5:30 AM","6:13 AM","1:26 PM","1:45 PM","6:23 PM","6:45 PM","8:32 PM","9:56 PM","10:00 PM","2:00 PM","3:20 PM"
"9","4:43 AM","5:45 AM","6:15 AM","1:26 PM","1:45 PM","6:22 PM","6:45 PM","8:30 PM","9:54 PM","10:00 PM","2:00 PM","3:20 PM"
"10","4:45 AM","5:45 AM","6:16 AM","1:26 PM","1:45 PM","6:21 PM","6:45 PM","8:29 PM","9:52 PM","10:00 PM","2:00 PM","3:20 PM"
"11","4:46 AM","5:45 AM","6:17 AM","1:26 PM","1:45 PM","6:20 PM","6:45 PM","8:27 PM","9:51 PM","10:00 PM","2:00 PM","3:20 PM"
"12","4:48 AM","5:45 AM","6:18 AM","1:25 PM","1:45 PM","6:19 PM","6:45 PM","8:26 PM","9:49 PM","10:00 PM","2:00 PM","3:20 PM"
"13","4:49 AM","5:45 AM","6:19 AM","1:25 PM","1:45 PM","6:18 PM","6:45 PM","8:24 PM","9:47 PM","10:00 PM","2:00 PM","3:20 PM"
"14","4:51 AM","5:45 AM","6:20 AM","1:25 PM","1:45 PM","6:17 PM","6:45 PM","8:23 PM","9:45 PM","10:00 PM","2:00 PM","3:20 PM"
"15","4:52 AM","5:45 AM","6:21 AM","1:25 PM","1:45 PM","6:16 PM","6:45 PM","8:21 PM","9:43 PM","9:45 PM","2:00 PM","3:20 PM"
