"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:13 AM","6:30 AM","7:35 AM","12:34 PM","1:00 PM","3:44 PM","4:15 PM","5:29 PM","6:43 PM","7:30 PM","1:00 PM","2:00 PM"
"2","6:12 AM","6:30 AM","7:33 AM","12:31 PM","1:00 PM","3:47 PM","4:15 PM","5:30 PM","6:51 PM","7:30 PM","1:00 PM","2:00 PM"
"3","6:10 AM","6:30 AM","7:32 AM","12:31 PM","1:00 PM","3:48 PM","4:15 PM","5:32 PM","6:53 PM","7:30 PM","1:00 PM","2:00 PM"
"4","6:09 AM","6:30 AM","7:31 AM","12:32 PM","1:00 PM","3:50 PM","4:15 PM","5:33 PM","6:54 PM","7:30 PM","1:00 PM","2:00 PM"
"5","6:08 AM","6:30 AM","7:30 AM","12:32 PM","1:00 PM","3:51 PM","4:15 PM","5:34 PM","6:55 PM","7:30 PM","1:00 PM","2:00 PM"
"6","6:07 AM","6:30 AM","7:29 AM","12:32 PM","1:00 PM","3:52 PM","4:15 PM","5:36 PM","6:56 PM","7:30 PM","1:00 PM","2:00 PM"
"7","6:06 AM","6:30 AM","7:27 AM","12:32 PM","1:00 PM","3:54 PM","4:15 PM","5:37 PM","6:58 PM","7:30 PM","1:00 PM","2:00 PM"
"8","6:05 AM","6:30 AM","7:26 AM","12:32 PM","1:00 PM","3:55 PM","4:15 PM","5:39 PM","6:59 PM","7:30 PM","1:00 PM","2:00 PM"
"9","6:04 AM","6:30 AM","7:25 AM","12:32 PM","1:00 PM","3:56 PM","4:15 PM","5:40 PM","7:00 PM","7:30 PM","1:00 PM","2:00 PM"
"10","6:03 AM","6:30 AM","7:23 AM","12:32 PM","1:00 PM","3:57 PM","4:15 PM","5:41 PM","7:01 PM","7:30 PM","1:00 PM","2:00 PM"
"11","6:01 AM","6:30 AM","7:22 AM","12:32 PM","1:00 PM","3:59 PM","4:15 PM","5:43 PM","7:02 PM","7:30 PM","1:00 PM","2:00 PM"
"12","6:00 AM","6:30 AM","7:21 AM","12:32 PM","1:00 PM","4:00 PM","4:30 PM","5:44 PM","7:04 PM","7:30 PM","1:00 PM","2:00 PM"
"13","5:59 AM","6:30 AM","7:19 AM","12:32 PM","1:00 PM","4:01 PM","4:30 PM","5:45 PM","7:05 PM","7:30 PM","1:00 PM","2:00 PM"
"14","5:58 AM","6:30 AM","7:18 AM","12:32 PM","1:00 PM","4:03 PM","4:30 PM","5:47 PM","7:06 PM","7:30 PM","1:00 PM","2:00 PM"
"15","5:56 AM","6:15 AM","7:17 AM","12:32 PM","1:00 PM","4:04 PM","4:30 PM","5:48 PM","7:07 PM","7:30 PM","1:00 PM","2:00 PM"
"16","5:56 AM","6:15 AM","7:15 AM","12:32 PM","1:00 PM","4:05 PM","4:30 PM","5:49 PM","7:09 PM","7:30 PM","1:00 PM","2:00 PM"
"17","5:55 AM","6:15 AM","7:14 AM","12:32 PM","1:00 PM","4:06 PM","4:30 PM","5:51 PM","7:10 PM","7:30 PM","1:00 PM","2:00 PM"
"18","5:52 AM","6:15 AM","7:12 AM","12:32 PM","1:00 PM","4:07 PM","4:30 PM","5:52 PM","7:11 PM","7:30 PM","1:00 PM","2:00 PM"
"19","5:51 AM","6:15 AM","7:11 AM","12:31 PM","1:00 PM","4:09 PM","4:30 PM","5:53 PM","7:12 PM","7:30 PM","1:00 PM","2:00 PM"
"20","5:49 AM","6:15 AM","7:09 AM","12:31 PM","1:00 PM","4:10 PM","4:30 PM","5:55 PM","7:14 PM","7:30 PM","1:00 PM","2:00 PM"
"21","5:48 AM","6:15 AM","7:08 AM","12:31 PM","1:00 PM","4:11 PM","4:30 PM","5:56 PM","7:15 PM","7:45 PM","1:00 PM","2:00 PM"
"22","5:46 AM","6:15 AM","7:06 AM","12:31 PM","1:00 PM","4:12 PM","4:30 PM","5:57 PM","7:16 PM","7:45 PM","1:00 PM","2:00 PM"
"23","5:45 AM","6:15 AM","7:04 AM","12:31 PM","1:00 PM","4:14 PM","4:30 PM","5:59 PM","7:17 PM","7:45 PM","1:00 PM","2:00 PM"
"24","5:43 AM","6:15 AM","7:03 AM","12:31 PM","1:00 PM","4:15 PM","4:45 PM","6:00 PM","7:18 PM","7:45 PM","1:00 PM","2:00 PM"
"25","5:42 AM","6:15 AM","7:01 AM","12:31 PM","1:00 PM","4:16 PM","4:45 PM","6:01 PM","7:20 PM","7:45 PM","1:00 PM","2:00 PM"
"26","5:40 AM","6:15 AM","7:00 AM","12:31 PM","1:00 PM","4:17 PM","4:45 PM","6:03 PM","7:21 PM","7:45 PM","1:00 PM","2:00 PM"
"27","5:38 AM","6:15 AM","6:58 AM","12:30 PM","1:00 PM","4:18 PM","4:45 PM","6:04 PM","7:22 PM","7:45 PM","1:00 PM","2:00 PM"
"28","5:37 AM","6:15 AM","6:56 AM","12:30 PM","1:00 PM","4:19 PM","4:45 PM","6:05 PM","7:23 PM","7:45 PM","1:00 PM","2:00 PM"
"29","5:35 AM","6:15 AM","6:55 AM","12:30 PM","1:00 PM","4:20 PM","4:45 PM","6:06 PM","7:25 PM","7:45 PM","1:00 PM","2:00 PM"
