"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:37 AM","","6:58 AM","1:21 PM","","5:50 PM","","7:44 PM","9:05 PM","",""
"2","5:35 AM","","6:57 AM","1:20 PM","","5:51 PM","","7:45 PM","9:07 PM","",""
"3","5:33 AM","","6:55 AM","1:20 PM","","5:51 PM","","7:46 PM","9:08 PM","",""
"4","5:31 AM","","6:53 AM","1:20 PM","","5:52 PM","","7:48 PM","9:10 PM","",""
"5","5:29 AM","","6:51 AM","1:20 PM","","5:53 PM","","7:49 PM","9:11 PM","",""
"6","5:27 AM","","6:49 AM","1:19 PM","","5:54 PM","","7:50 PM","9:13 PM","",""
"7","5:25 AM","","6:48 AM","1:19 PM","","5:55 PM","","7:51 PM","9:14 PM","",""
"8","5:23 AM","","6:46 AM","1:19 PM","","5:56 PM","","7:52 PM","9:16 PM","",""
"9","5:21 AM","","6:44 AM","1:19 PM","","5:56 PM","","7:54 PM","9:17 PM","",""
"10","5:19 AM","","6:42 AM","1:18 PM","","5:57 PM","","7:55 PM","9:19 PM","",""
"11","5:17 AM","","6:41 AM","1:18 PM","","5:58 PM","","7:56 PM","9:20 PM","",""
"12","5:15 AM","","6:39 AM","1:18 PM","","5:59 PM","","7:57 PM","9:22 PM","",""
"13","5:13 AM","","6:37 AM","1:17 PM","","6:00 PM","","7:58 PM","9:23 PM","",""
"14","5:11 AM","","6:36 AM","1:17 PM","","6:00 PM","","8:00 PM","9:25 PM","",""
"15","5:09 AM","","6:34 AM","1:17 PM","","6:01 PM","","8:01 PM","9:26 PM","",""
"16","5:07 AM","","6:32 AM","1:17 PM","","6:02 PM","","8:02 PM","9:28 PM","",""
"17","5:05 AM","","6:31 AM","1:16 PM","","6:03 PM","","8:03 PM","9:29 PM","",""
"18","5:03 AM","","6:29 AM","1:16 PM","","6:03 PM","","8:04 PM","9:31 PM","",""
"19","5:01 AM","","6:27 AM","1:16 PM","","6:04 PM","","8:06 PM","9:32 PM","",""
"20","4:59 AM","","6:26 AM","1:16 PM","","6:05 PM","","8:07 PM","9:34 PM","",""
"21","4:57 AM","","6:24 AM","1:16 PM","","6:06 PM","","8:08 PM","9:36 PM","",""
"22","4:55 AM","","6:22 AM","1:15 PM","","6:06 PM","","8:09 PM","9:37 PM","",""
"23","4:53 AM","","6:21 AM","1:15 PM","","6:07 PM","","8:10 PM","9:39 PM","",""
"24","4:51 AM","","6:19 AM","1:15 PM","","6:08 PM","","8:12 PM","9:40 PM","",""
"25","4:49 AM","","6:18 AM","1:15 PM","","6:09 PM","","8:13 PM","9:42 PM","",""
"26","4:47 AM","","6:16 AM","1:15 PM","","6:09 PM","","8:14 PM","9:44 PM","",""
"27","4:45 AM","","6:15 AM","1:15 PM","","6:10 PM","","8:15 PM","9:45 PM","",""
"28","4:43 AM","","6:13 AM","1:14 PM","","6:11 PM","","8:16 PM","9:47 PM","",""
"29","4:41 AM","","6:12 AM","1:14 PM","","6:11 PM","","8:18 PM","9:48 PM","",""
"30","4:39 AM","","6:10 AM","1:14 PM","","6:12 PM","","8:19 PM","9:50 PM","",""
