"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:17 AM","5:25 AM","6:40 AM","1:17 PM","1:45 PM","5:56 PM","6:45 PM","7:53 PM","9:16 PM","10:00 PM","2:00 PM"
"2","5:18 AM","5:25 AM","6:42 AM","1:17 PM","1:45 PM","5:54 PM","6:45 PM","7:51 PM","9:14 PM","10:00 PM","2:00 PM"
"3","5:19 AM","5:25 AM","6:43 AM","1:16 PM","1:45 PM","5:53 PM","6:45 PM","7:49 PM","9:12 PM","10:00 PM","2:00 PM"
"4","5:21 AM","5:25 AM","6:44 AM","1:16 PM","1:45 PM","5:52 PM","6:45 PM","7:47 PM","9:10 PM","10:00 PM","2:00 PM"
"5","5:22 AM","5:25 AM","6:45 AM","1:16 PM","1:45 PM","5:50 PM","6:45 PM","7:46 PM","9:08 PM","10:00 PM","2:00 PM"
"6","5:24 AM","5:25 AM","6:46 AM","1:15 PM","1:45 PM","5:49 PM","6:45 PM","7:44 PM","9:06 PM","10:00 PM","2:00 PM"
"7","5:25 AM","5:25 AM","6:47 AM","1:15 PM","1:45 PM","5:47 PM","6:45 PM","7:42 PM","9:04 PM","10:00 PM","2:00 PM"
"8","5:26 AM","5:25 AM","6:48 AM","1:15 PM","1:45 PM","5:46 PM","6:45 PM","7:40 PM","9:02 PM","10:00 PM","2:00 PM"
"9","5:28 AM","5:25 AM","6:49 AM","1:14 PM","1:45 PM","5:44 PM","6:45 PM","7:38 PM","9:00 PM","10:00 PM","2:00 PM"
"10","5:29 AM","5:25 AM","6:51 AM","1:14 PM","1:45 PM","5:43 PM","6:45 PM","7:36 PM","8:58 PM","10:00 PM","2:00 PM"
"11","5:30 AM","5:25 AM","6:52 AM","1:14 PM","1:45 PM","5:41 PM","6:45 PM","7:35 PM","8:56 PM","10:00 PM","2:00 PM"
"12","5:32 AM","5:25 AM","6:53 AM","1:13 PM","1:45 PM","5:40 PM","6:45 PM","7:33 PM","8:54 PM","10:00 PM","2:00 PM"
"13","5:33 AM","5:25 AM","6:54 AM","1:13 PM","1:45 PM","5:38 PM","6:45 PM","7:31 PM","8:52 PM","10:00 PM","2:00 PM"
"14","5:34 AM","5:25 AM","6:55 AM","1:12 PM","1:45 PM","5:37 PM","6:45 PM","7:29 PM","8:50 PM","10:00 PM","2:00 PM"
"15","5:36 AM","5:25 AM","6:56 AM","1:12 PM","1:45 PM","5:35 PM","6:45 PM","7:27 PM","8:48 PM","10:00 PM","2:00 PM"
"16","5:37 AM","5:25 AM","6:57 AM","1:12 PM","1:45 PM","5:34 PM","6:45 PM","7:25 PM","8:46 PM","10:00 PM","2:00 PM"
"17","5:38 AM","5:25 AM","6:58 AM","1:11 PM","1:45 PM","5:32 PM","6:45 PM","7:24 PM","8:44 PM","10:00 PM","2:00 PM"
"18","5:39 AM","5:25 AM","7:00 AM","1:11 PM","1:45 PM","5:31 PM","6:45 PM","7:22 PM","8:42 PM","10:00 PM","2:00 PM"
"19","5:41 AM","5:25 AM","7:01 AM","1:11 PM","1:45 PM","5:29 PM","6:45 PM","7:20 PM","8:40 PM","10:00 PM","2:00 PM"
"20","5:42 AM","5:25 AM","7:02 AM","1:10 PM","1:45 PM","5:28 PM","6:45 PM","7:18 PM","8:38 PM","10:00 PM","2:00 PM"
"21","5:43 AM","5:25 AM","7:03 AM","1:10 PM","1:45 PM","5:26 PM","6:45 PM","7:16 PM","8:36 PM","10:00 PM","2:00 PM"
"22","5:45 AM","5:25 AM","7:04 AM","1:10 PM","1:45 PM","5:25 PM","6:45 PM","7:14 PM","8:34 PM","10:00 PM","2:00 PM"
"23","5:46 AM","5:25 AM","7:05 AM","1:09 PM","1:45 PM","5:23 PM","6:45 PM","7:12 PM","8:32 PM","10:00 PM","2:00 PM"
"24","5:47 AM","5:25 AM","7:06 AM","1:09 PM","1:45 PM","5:21 PM","6:45 PM","7:11 PM","8:30 PM","10:00 PM","2:00 PM"
"25","5:48 AM","5:25 AM","7:08 AM","1:09 PM","1:45 PM","5:20 PM","6:45 PM","7:09 PM","8:28 PM","10:00 PM","2:00 PM"
"26","5:49 AM","","7:09 AM","1:08 PM","","5:18 PM","","7:07 PM","8:26 PM","",""
"27","5:51 AM","","7:10 AM","1:08 PM","","5:17 PM","","7:05 PM","8:24 PM","",""
"28","5:52 AM","","7:11 AM","1:08 PM","","5:15 PM","","7:03 PM","8:22 PM","",""
"29","5:53 AM","","7:12 AM","1:07 PM","","5:14 PM","","7:01 PM","8:20 PM","",""
"30","5:54 AM","","7:13 AM","1:07 PM","","5:12 PM","","7:00 PM","8:19 PM","",""
