"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:24 AM","","7:51 AM","12:20 PM","","3:08 PM","","4:50 PM","6:17 PM","",""
"2","6:24 AM","","7:51 AM","12:21 PM","","3:09 PM","","4:51 PM","6:18 PM","",""
"3","6:24 AM","","7:51 AM","12:21 PM","","3:10 PM","","4:52 PM","6:18 PM","",""
"4","6:24 AM","","7:51 AM","12:22 PM","","3:11 PM","","4:53 PM","6:19 PM","",""
"5","6:24 AM","","7:51 AM","12:22 PM","","3:12 PM","","4:54 PM","6:20 PM","",""
"6","6:24 AM","","7:50 AM","12:23 PM","","3:13 PM","","4:55 PM","6:21 PM","",""
"7","6:24 AM","06:40 am","7:50 AM","12:23 PM","1:00 PM","3:14 PM","3:40 PM","4:56 PM","6:22 PM","7:45 PM","01:00 pm"
"8","6:24 AM","06:40 am","7:50 AM","12:23 PM","1:00 PM","3:15 PM","3:40 PM","4:57 PM","6:23 PM","7:45 PM","01:00 pm"
"9","6:24 AM","06:40 am","7:50 AM","12:24 PM","1:00 PM","3:16 PM","3:40 PM","4:58 PM","6:24 PM","7:45 PM","01:00 pm"
"10","6:24 AM","06:40 am","7:50 AM","12:24 PM","1:00 PM","3:17 PM","3:40 PM","4:59 PM","6:25 PM","7:45 PM","01:00 pm"
"11","6:24 AM","06:40 am","7:49 AM","12:25 PM","1:00 PM","3:18 PM","3:40 PM","5:01 PM","6:26 PM","7:45 PM","01:00 pm"
"12","6:24 AM","06:40 am","7:49 AM","12:25 PM","1:00 PM","3:19 PM","3:40 PM","5:02 PM","6:27 PM","7:45 PM","01:00 pm"
"13","6:23 AM","06:40 am","7:48 AM","12:25 PM","1:00 PM","3:20 PM","3:40 PM","5:03 PM","6:28 PM","7:45 PM","01:00 pm"
"14","6:23 AM","06:40 am","7:48 AM","12:26 PM","1:00 PM","3:21 PM","3:40 PM","5:04 PM","6:29 PM","7:45 PM","01:00 pm"
"15","6:23 AM","06:40 am","7:48 AM","12:26 PM","1:00 PM","3:23 PM","3:40 PM","5:05 PM","6:30 PM","7:45 PM","01:00 pm"
"16","6:22 AM","06:40 am","7:47 AM","12:27 PM","1:00 PM","3:24 PM","3:40 PM","5:07 PM","6:31 PM","7:45 PM","01:00 pm"
"17","6:22 AM","06:40 am","7:46 AM","12:27 PM","1:00 PM","3:25 PM","3:40 PM","5:08 PM","6:32 PM","7:45 PM","01:00 pm"
"18","6:22 AM","06:40 am","7:46 AM","12:27 PM","1:00 PM","3:26 PM","3:40 PM","5:09 PM","6:33 PM","7:45 PM","01:00 pm"
"19","6:21 AM","06:40 am","7:45 AM","12:27 PM","1:00 PM","3:28 PM","3:50 PM","5:10 PM","6:34 PM","7:45 PM","01:00 pm"
"20","6:21 AM","06:40 am","7:44 AM","12:28 PM","1:00 PM","3:29 PM","3:50 PM","5:12 PM","6:35 PM","7:45 PM","01:00 pm"
"21","6:20 AM","06:40 am","7:44 AM","12:28 PM","1:00 PM","3:30 PM","3:50 PM","5:13 PM","6:37 PM","7:45 PM","01:00 pm"
"22","6:19 AM","06:40 am","7:43 AM","12:28 PM","1:00 PM","3:31 PM","3:50 PM","5:14 PM","6:38 PM","7:45 PM","01:00 pm"
"23","6:19 AM","06:40 am","7:42 AM","12:29 PM","1:00 PM","3:33 PM","3:50 PM","5:16 PM","6:39 PM","7:45 PM","01:00 pm"
"24","6:18 AM","06:40 am","7:41 AM","12:29 PM","1:00 PM","3:34 PM","3:50 PM","5:17 PM","6:40 PM","7:45 PM","01:00 pm"
"25","6:17 AM","06:40 am","7:41 AM","12:29 PM","1:00 PM","3:35 PM","3:50 PM","5:18 PM","6:41 PM","7:45 PM","01:00 pm"
"26","6:17 AM","06:30 am","7:40 AM","12:29 PM","1:00 PM","3:37 PM","4:00 PM","5:20 PM","6:42 PM","7:45 PM","01:00 pm"
"27","6:16 AM","06:30 am","7:39 AM","12:29 PM","1:00 PM","3:38 PM","4:00 PM","5:21 PM","6:44 PM","7:45 PM","01:00 pm"
"28","6:15 AM","06:30 am","7:38 AM","12:30 PM","1:00 PM","3:39 PM","4:00 PM","5:22 PM","6:45 PM","7:45 PM","01:00 pm"
"29","6:14 AM","06:30 am","7:37 AM","12:30 PM","1:00 PM","3:41 PM","4:00 PM","5:24 PM","6:46 PM","7:45 PM","01:00 pm"
"30","6:13 AM","06:30 am","7:36 AM","12:30 PM","1:00 PM","3:42 PM","4:00 PM","5:25 PM","6:47 PM","7:45 PM","01:00 pm"
"31","6:13 AM","06:30 am","7:35 AM","12:30 PM","1:00 PM","3:43 PM","4:00 PM","5:26 PM","6:48 PM","7:45 PM","01:00 pm"
