"Day","Fajr BEGINS","Fajr IQAMA","Sunrise","Dhuhr BEGINS","Dhuhr IQAMA","Asr BEGINS","Asr IQAMA","Sunset","Isha BEGINS","Isha IQAMA","Jumua IQAMA"
"1","5:39 AM","6:00 AM","7:00 AM","1:22 PM","1:30 PM","5:51 PM","6:15 PM","7:45 PM","9:06 PM","9:30 PM","2:00 PM"
"2","5:37 AM","6:00 AM","6:58 AM","1:22 PM","1:30 PM","5:52 PM","6:15 PM","7:46 PM","9:08 PM","9:30 PM","2:00 PM"
"3","5:35 AM","6:00 AM","6:56 AM","1:21 PM","1:30 PM","5:52 PM","6:15 PM","7:47 PM","9:09 PM","9:30 PM","2:00 PM"
"4","5:33 AM","6:00 AM","6:55 AM","1:21 PM","1:30 PM","5:53 PM","6:15 PM","7:48 PM","9:10 PM","9:30 PM","2:00 PM"
"5","5:31 AM","6:00 AM","6:53 AM","1:21 PM","1:30 PM","5:54 PM","6:15 PM","7:50 PM","9:12 PM","9:30 PM","2:00 PM"
"6","5:29 AM","6:00 AM","6:51 AM","1:20 PM","1:30 PM","5:55 PM","6:15 PM","7:51 PM","9:13 PM","9:30 PM","2:00 PM"
"7","5:27 AM","6:00 AM","6:49 AM","1:20 PM","1:30 PM","5:56 PM","6:15 PM","7:52 PM","9:15 PM","9:30 PM","2:00 PM"
"8","5:25 AM","6:00 AM","6:47 AM","1:20 PM","1:30 PM","5:56 PM","6:15 PM","7:53 PM","9:16 PM","9:30 PM","2:00 PM"
"9","5:23 AM","6:00 AM","6:46 AM","1:20 PM","1:30 PM","5:57 PM","6:15 PM","7:54 PM","9:18 PM","9:30 PM","2:00 PM"
"10","5:21 AM","6:00 AM","6:44 AM","1:19 PM","1:30 PM","5:58 PM","6:15 PM","7:56 PM","9:19 PM","9:30 PM","2:00 PM"
"11","5:18 AM","6:00 AM","6:42 AM","1:19 PM","1:30 PM","5:59 PM","6:15 PM","7:57 PM","9:21 PM","9:30 PM","2:00 PM"
"12","5:16 AM","6:00 AM","6:40 AM","1:19 PM","1:30 PM","6:00 PM","6:15 PM","7:58 PM","9:22 PM","9:30 PM","2:00 PM"
"13","5:14 AM","6:00 AM","6:39 AM","1:19 PM","1:30 PM","6:00 PM","6:15 PM","7:59 PM","9:24 PM","9:30 PM","2:00 PM"
"14","5:12 AM","6:00 AM","6:37 AM","1:18 PM","1:30 PM","6:01 PM","6:15 PM","8:00 PM","9:25 PM","9:30 PM","2:00 PM"
"15","5:10 AM","6:00 AM","6:35 AM","1:18 PM","1:30 PM","6:02 PM","6:15 PM","8:02 PM","9:27 PM","9:30 PM","2:00 PM"
"16","5:08 AM","5:30 AM","6:34 AM","1:18 PM","1:30 PM","6:03 PM","6:30 PM","8:03 PM","9:28 PM","10:00 PM","2:00 PM"
"17","5:06 AM","5:30 AM","6:32 AM","1:18 PM","1:30 PM","6:04 PM","6:30 PM","8:04 PM","9:30 PM","10:00 PM","2:00 PM"
"18","5:04 AM","5:30 AM","6:30 AM","1:17 PM","1:30 PM","6:04 PM","6:30 PM","8:05 PM","9:31 PM","10:00 PM","2:00 PM"
"19","5:02 AM","5:30 AM","6:29 AM","1:17 PM","1:30 PM","6:05 PM","6:30 PM","8:06 PM","9:33 PM","10:00 PM","2:00 PM"
"20","5:00 AM","5:30 AM","6:27 AM","1:17 PM","1:30 PM","6:06 PM","6:30 PM","8:08 PM","9:35 PM","10:00 PM","2:00 PM"
"21","4:58 AM","5:30 AM","6:25 AM","1:17 PM","1:30 PM","6:07 PM","6:30 PM","8:09 PM","9:36 PM","10:00 PM","2:00 PM"
"22","4:56 AM","5:30 AM","6:24 AM","1:17 PM","1:30 PM","6:07 PM","6:30 PM","8:10 PM","9:38 PM","10:00 PM","2:00 PM"
"23","4:54 AM","5:30 AM","6:22 AM","1:16 PM","1:30 PM","6:08 PM","6:30 PM","8:11 PM","9:39 PM","10:00 PM","2:00 PM"
"24","4:52 AM","5:30 AM","6:21 AM","1:16 PM","1:30 PM","6:09 PM","6:30 PM","8:12 PM","9:41 PM","10:00 PM","2:00 PM"
"25","4:51 AM","5:30 AM","6:19 AM","1:16 PM","1:30 PM","6:09 PM","6:30 PM","8:14 PM","9:43 PM","10:00 PM","2:00 PM"
"26","4:49 AM","5:30 AM","6:18 AM","1:16 PM","1:30 PM","6:10 PM","6:30 PM","8:15 PM","9:44 PM","10:00 PM","2:00 PM"
"27","4:47 AM","5:30 AM","6:16 AM","1:16 PM","1:30 PM","6:11 PM","6:30 PM","8:16 PM","9:46 PM","10:00 PM","2:00 PM"
"28","4:45 AM","5:30 AM","6:15 AM","1:16 PM","1:30 PM","6:12 PM","6:30 PM","8:17 PM","9:47 PM","10:00 PM","2:00 PM"
"29","4:43 AM","5:30 AM","6:13 AM","1:15 PM","1:30 PM","6:12 PM","6:30 PM","8:18 PM","9:49 PM","10:00 PM","2:00 PM"
"30","4:41 AM","5:30 AM","6:12 AM","1:15 PM","1:30 PM","6:13 PM","6:30 PM","8:20 PM","9:51 PM","10:00 PM","2:00 PM"
