"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:55 AM","6:45 AM","7:34 AM","12:30 PM","1:00 PM","3:44 PM","4:15 PM","5:29 PM","7:06 PM","7:30 PM","12:45 PM","2:00 PM"
"2","5:54 AM","6:45 AM","7:33 AM","12:30 PM","1:00 PM","3:45 PM","4:15 PM","5:31 PM","7:07 PM","7:30 PM","12:45 PM","2:00 PM"
"3","5:53 AM","6:45 AM","7:32 AM","12:30 PM","1:00 PM","3:47 PM","4:15 PM","5:32 PM","7:08 PM","7:30 PM","12:45 PM","2:00 PM"
"4","5:52 AM","6:45 AM","7:30 AM","12:31 PM","1:00 PM","3:48 PM","4:15 PM","5:33 PM","7:09 PM","7:30 PM","12:45 PM","2:00 PM"
"5","5:51 AM","6:45 AM","7:29 AM","12:31 PM","1:00 PM","3:49 PM","4:15 PM","5:35 PM","7:11 PM","7:30 PM","12:45 PM","2:00 PM"
"6","5:50 AM","6:45 AM","7:28 AM","12:31 PM","1:00 PM","3:51 PM","4:15 PM","5:36 PM","7:12 PM","7:30 PM","12:45 PM","2:00 PM"
"7","5:49 AM","6:45 AM","7:27 AM","12:31 PM","1:00 PM","3:52 PM","4:15 PM","5:37 PM","7:13 PM","7:30 PM","12:45 PM","2:00 PM"
"8","5:48 AM","6:45 AM","7:25 AM","12:31 PM","1:00 PM","3:53 PM","4:15 PM","5:39 PM","7:14 PM","7:30 PM","12:45 PM","2:00 PM"
"9","5:47 AM","6:45 AM","7:24 AM","12:31 PM","1:00 PM","3:54 PM","4:15 PM","5:40 PM","7:16 PM","7:30 PM","12:45 PM","2:00 PM"
"10","5:46 AM","6:45 AM","7:23 AM","12:31 PM","1:00 PM","3:56 PM","4:15 PM","5:42 PM","7:17 PM","7:30 PM","12:45 PM","2:00 PM"
"11","5:44 AM","6:25 AM","7:21 AM","12:31 PM","1:00 PM","3:57 PM","4:20 PM","5:43 PM","7:18 PM","7:45 PM","12:45 PM","2:00 PM"
"12","5:43 AM","6:25 AM","7:20 AM","12:31 PM","1:00 PM","3:58 PM","4:20 PM","5:44 PM","7:19 PM","7:45 PM","12:45 PM","2:00 PM"
"13","5:42 AM","6:25 AM","7:19 AM","12:31 PM","1:00 PM","4:00 PM","4:20 PM","5:46 PM","7:20 PM","7:45 PM","12:45 PM","2:00 PM"
"14","5:41 AM","6:25 AM","7:17 AM","12:31 PM","1:00 PM","4:01 PM","4:20 PM","5:47 PM","7:22 PM","7:45 PM","12:45 PM","2:00 PM"
"15","5:39 AM","6:25 AM","7:16 AM","12:31 PM","1:00 PM","4:02 PM","4:20 PM","5:48 PM","7:23 PM","7:45 PM","12:45 PM","2:00 PM"
"16","5:38 AM","6:25 AM","7:14 AM","12:31 PM","1:00 PM","4:03 PM","4:20 PM","5:50 PM","7:24 PM","7:45 PM","12:45 PM","2:00 PM"
"17","5:37 AM","6:25 AM","7:13 AM","12:31 PM","1:00 PM","4:05 PM","4:20 PM","5:51 PM","7:25 PM","7:45 PM","12:45 PM","2:00 PM"
"18","5:35 AM","6:25 AM","7:11 AM","12:31 PM","1:00 PM","4:06 PM","4:20 PM","5:52 PM","7:27 PM","7:45 PM","12:45 PM","2:00 PM"
"19","5:34 AM","6:25 AM","7:10 AM","12:30 PM","1:00 PM","4:07 PM","4:20 PM","5:54 PM","7:28 PM","7:45 PM","12:45 PM","2:00 PM"
"20","5:32 AM","6:25 AM","7:08 AM","12:30 PM","1:00 PM","4:08 PM","4:20 PM","5:55 PM","7:29 PM","7:45 PM","12:45 PM","2:00 PM"
"21","5:31 AM","6:25 AM","7:07 AM","12:30 PM","1:00 PM","4:10 PM","4:30 PM","5:56 PM","7:30 PM","8:00 PM","12:45 PM","2:00 PM"
"22","5:29 AM","6:25 AM","7:05 AM","12:30 PM","1:00 PM","4:11 PM","4:30 PM","5:58 PM","7:32 PM","8:00 PM","12:45 PM","2:00 PM"
"23","5:28 AM","6:25 AM","7:04 AM","12:30 PM","1:00 PM","4:12 PM","4:30 PM","5:59 PM","7:33 PM","8:00 PM","12:45 PM","2:00 PM"
"24","5:26 AM","6:25 AM","7:02 AM","12:30 PM","1:00 PM","4:13 PM","4:30 PM","6:00 PM","7:34 PM","8:00 PM","12:45 PM","2:00 PM"
"25","5:25 AM","6:25 AM","7:00 AM","12:30 PM","1:00 PM","4:14 PM","4:30 PM","6:02 PM","7:35 PM","8:00 PM","12:45 PM","2:00 PM"
"26","5:23 AM","6:25 AM","6:59 AM","12:29 PM","1:00 PM","4:16 PM","4:30 PM","6:03 PM","7:37 PM","8:00 PM","12:45 PM","2:00 PM"
"27","5:22 AM","6:25 AM","6:57 AM","12:29 PM","1:00 PM","4:17 PM","4:30 PM","6:04 PM","7:38 PM","8:00 PM","12:45 PM","2:00 PM"
"28","5:20 AM","6:25 AM","6:55 AM","12:29 PM","1:00 PM","4:18 PM","4:30 PM","6:06 PM","7:39 PM","8:00 PM","12:45 PM","2:00 PM"
