"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","6:14 AM","6:25 AM","7:35 AM","12:31 PM","12:50 PM","3:05 PM","4:20 PM","5:27 PM","6:32 PM","7:30 PM","1:10 PM"
"2","6:13 AM","6:25 AM","7:34 AM","12:32 PM","12:50 PM","3:06 PM","4:20 PM","5:29 PM","6:34 PM","7:30 PM","1:10 PM"
"3","6:11 AM","6:25 AM","7:32 AM","12:32 PM","12:50 PM","3:08 PM","4:20 PM","5:31 PM","6:36 PM","7:30 PM","1:10 PM"
"4","6:10 AM","6:25 AM","7:31 AM","12:32 PM","12:50 PM","3:10 PM","4:20 PM","5:33 PM","6:37 PM","7:30 PM","1:10 PM"
"5","6:09 AM","6:25 AM","7:30 AM","12:32 PM","12:50 PM","3:11 PM","4:20 PM","5:34 PM","6:39 PM","7:30 PM","1:10 PM"
"6","6:08 AM","6:20 AM","7:28 AM","12:32 PM","12:50 PM","3:12 PM","4:20 PM","5:35 PM","6:40 PM","7:30 PM","1:10 PM"
"7","6:07 AM","6:20 AM","7:27 AM","12:32 PM","12:50 PM","3:13 PM","4:20 PM","5:37 PM","6:41 PM","7:30 PM","1:10 PM"
"8","6:05 AM","6:20 AM","7:26 AM","12:32 PM","12:50 PM","3:14 PM","4:20 PM","5:38 PM","6:42 PM","7:30 PM","1:10 PM"
"9","6:04 AM","6:20 AM","7:25 AM","12:32 PM","12:50 PM","3:15 PM","4:20 PM","5:39 PM","6:44 PM","7:30 PM","1:10 PM"
"10","6:03 AM","6:20 AM","7:23 AM","12:32 PM","12:50 PM","3:16 PM","4:20 PM","5:41 PM","6:45 PM","7:30 PM","1:10 PM"
"11","6:02 AM","6:20 AM","7:22 AM","12:32 PM","12:50 PM","3:17 PM","4:30 PM","5:42 PM","6:46 PM","7:30 PM","1:10 PM"
"12","6:01 AM","6:20 AM","7:21 AM","12:32 PM","12:50 PM","3:18 PM","4:30 PM","5:44 PM","6:47 PM","7:30 PM","1:10 PM"
"13","5:59 AM","6:20 AM","7:19 AM","12:32 PM","12:50 PM","3:19 PM","4:30 PM","5:45 PM","6:49 PM","7:30 PM","1:10 PM"
"14","5:58 AM","6:20 AM","7:18 AM","12:32 PM","12:50 PM","3:20 PM","4:30 PM","5:46 PM","6:50 PM","7:30 PM","1:10 PM"
"15","5:57 AM","6:20 AM","7:16 AM","12:32 PM","12:50 PM","3:22 PM","4:30 PM","5:48 PM","6:51 PM","7:30 PM","1:10 PM"
"16","5:57 AM","6:20 AM","7:16 AM","12:32 PM","12:50 PM","3:22 PM","4:30 PM","5:48 PM","6:51 PM","7:30 PM","1:10 PM"
"17","5:55 AM","6:20 AM","7:15 AM","12:32 PM","12:50 PM","3:23 PM","4:30 PM","5:49 PM","6:52 PM","7:30 PM","1:10 PM"
"18","5:53 AM","6:20 AM","7:12 AM","12:32 PM","12:50 PM","3:25 PM","4:30 PM","5:52 PM","6:55 PM","7:30 PM","1:10 PM"
"19","5:51 AM","6:20 AM","7:11 AM","12:32 PM","12:50 PM","3:26 PM","4:30 PM","5:53 PM","6:56 PM","7:30 PM","1:10 PM"
"20","5:50 AM","6:20 AM","7:09 AM","12:32 PM","12:50 PM","3:27 PM","4:30 PM","5:54 PM","6:57 PM","7:30 PM","1:10 PM"
"21","5:48 AM","6:20 AM","7:07 AM","12:32 PM","12:50 PM","3:28 PM","4:40 PM","5:56 PM","6:59 PM","7:45 PM","1:10 PM"
"22","5:47 AM","6:20 AM","7:06 AM","12:32 PM","12:50 PM","3:29 PM","4:40 PM","5:57 PM","7:00 PM","7:45 PM","1:10 PM"
"23","5:45 AM","6:20 AM","7:04 AM","12:31 PM","12:50 PM","3:30 PM","4:40 PM","5:58 PM","7:01 PM","7:45 PM","1:10 PM"
"24","5:44 AM","6:20 AM","7:03 AM","12:31 PM","12:50 PM","3:30 PM","4:40 PM","6:00 PM","7:02 PM","7:45 PM","1:10 PM"
"25","5:42 AM","6:20 AM","7:01 AM","12:31 PM","12:50 PM","3:31 PM","4:40 PM","6:01 PM","7:04 PM","7:45 PM","1:10 PM"
"26","5:41 AM","6:20 AM","6:59 AM","12:31 PM","12:50 PM","3:32 PM","4:40 PM","6:02 PM","7:05 PM","7:45 PM","1:10 PM"
"27","5:39 AM","6:20 AM","6:58 AM","12:31 PM","12:50 PM","3:33 PM","4:40 PM","6:04 PM","7:06 PM","7:45 PM","1:10 PM"
"28","5:37 AM","6:20 AM","6:56 AM","12:31 PM","12:50 PM","3:34 PM","4:40 PM","6:05 PM","7:07 PM","7:45 PM","1:10 PM"
"29","5:36 AM","6:20 AM","6:55 AM","12:31 PM","12:50 PM","3:34 PM","4:40 PM","6:05 PM","7:07 PM","7:45 PM","1:10 PM"
