"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:36 AM","6:20 AM","6:55 AM","12:30 PM","12:50 PM","3:35 PM","4:40 PM","6:06 PM","7:09 PM","7:45 PM","1:10 PM"
"2","5:36 AM","6:05 AM","6:55 AM","12:30 PM","12:50 PM","3:35 PM","4:50 PM","6:06 PM","7:09 PM","8:00 PM","1:10 PM"
"3","5:34 AM","6:05 AM","6:53 AM","12:30 PM","12:50 PM","3:36 PM","4:50 PM","6:07 PM","7:10 PM","8:00 PM","1:10 PM"
"4","5:31 AM","6:05 AM","6:49 AM","12:30 PM","12:50 PM","3:38 PM","4:50 PM","6:10 PM","7:12 PM","8:00 PM","1:10 PM"
"5","5:29 AM","6:05 AM","6:48 AM","12:30 PM","12:50 PM","3:38 PM","4:50 PM","6:11 PM","7:14 PM","8:00 PM","1:10 PM"
"6","5:27 AM","6:05 AM","6:46 AM","12:29 PM","12:50 PM","3:39 PM","4:50 PM","6:13 PM","7:15 PM","8:00 PM","1:10 PM"
"7","5:26 AM","6:05 AM","6:44 AM","12:29 PM","12:50 PM","3:40 PM","4:50 PM","6:14 PM","7:16 PM","8:00 PM","1:10 PM"
"8","5:24 AM","6:05 AM","6:43 AM","12:29 PM","12:50 PM","3:41 PM","4:50 PM","6:15 PM","7:17 PM","8:00 PM","1:10 PM"
"9","5:22 AM","6:05 AM","6:41 AM","12:29 PM","12:50 PM","3:42 PM","4:50 PM","6:16 PM","7:19 PM","8:00 PM","1:10 PM"
"10","5:20 AM","6:05 AM","6:39 AM","12:28 PM","12:50 PM","3:42 PM","4:50 PM","6:18 PM","7:20 PM","8:00 PM","1:10 PM"
"11","5:18 AM","6:05 AM","6:37 AM","12:28 PM","12:50 PM","3:43 PM","4:50 PM","6:19 PM","7:21 PM","8:00 PM","1:10 PM"
"12","6:17 AM","6:30 AM","7:36 AM","1:28 PM","1:50 PM","4:44 PM","5:55 PM","7:20 PM","8:22 PM","9:00 PM","1:10 PM"
"13","6:15 AM","6:30 AM","7:34 AM","1:28 PM","1:50 PM","4:45 PM","5:55 PM","7:21 PM","8:24 PM","9:00 PM","1:10 PM"
"14","6:13 AM","6:30 AM","7:32 AM","1:27 PM","1:50 PM","4:45 PM","5:55 PM","7:23 PM","8:25 PM","9:05 PM","1:10 PM"
"15","6:11 AM","6:30 AM","7:30 AM","1:27 PM","1:50 PM","4:46 PM","5:55 PM","7:24 PM","8:26 PM","9:05 PM","1:10 PM"
"16","6:09 AM","6:30 AM","7:28 AM","1:27 PM","1:50 PM","4:47 PM","5:55 PM","7:25 PM","8:27 PM","9:05 PM","1:10 PM"
"17","6:07 AM","6:30 AM","7:27 AM","1:27 PM","1:50 PM","4:48 PM","5:55 PM","7:26 PM","8:29 PM","9:05 PM","1:10 PM"
"18","6:06 AM","6:30 AM","7:25 AM","1:26 PM","1:50 PM","4:48 PM","5:55 PM","7:27 PM","8:30 PM","9:05 PM","1:10 PM"
"19","6:04 AM","6:30 AM","7:23 AM","1:26 PM","1:50 PM","4:49 PM","5:55 PM","7:29 PM","8:31 PM","9:05 PM","1:10 PM"
"20","6:02 AM","6:30 AM","7:21 AM","1:26 PM","1:50 PM","4:50 PM","5:55 PM","7:30 PM","8:32 PM","9:05 PM","2:10 PM"
"21","6:00 AM","6:30 AM","7:19 AM","1:25 PM","1:50 PM","4:50 PM","5:55 PM","7:31 PM","8:34 PM","9:05 PM","2:10 PM"
"22","5:58 AM","6:20 AM","7:18 AM","1:25 PM","1:50 PM","4:51 PM","6:05 PM","7:32 PM","8:35 PM","9:20 PM","2:10 PM"
"23","5:56 AM","6:20 AM","7:16 AM","1:25 PM","1:50 PM","4:51 PM","6:05 PM","7:34 PM","8:36 PM","9:20 PM","2:10 PM"
"24","5:54 AM","6:20 AM","7:14 AM","1:24 PM","1:50 PM","4:52 PM","6:05 PM","7:35 PM","8:38 PM","9:20 PM","2:10 PM"
"25","5:52 AM","6:20 AM","7:12 AM","1:24 PM","1:50 PM","4:53 PM","6:05 PM","7:36 PM","8:39 PM","9:20 PM","2:10 PM"
"26","5:50 AM","6:20 AM","7:10 AM","1:24 PM","1:50 PM","4:53 PM","6:05 PM","7:37 PM","8:40 PM","9:20 PM","2:10 PM"
"27","5:48 AM","6:20 AM","7:09 AM","1:24 PM","1:50 PM","4:54 PM","6:05 PM","7:38 PM","8:42 PM","9:20 PM","2:10 PM"
"28","5:46 AM","6:20 AM","7:07 AM","1:23 PM","1:50 PM","4:54 PM","6:05 PM","7:40 PM","8:43 PM","9:20 PM","2:10 PM"
"29","5:44 AM","6:20 AM","7:05 AM","1:23 PM","1:50 PM","4:55 PM","6:05 PM","7:41 PM","8:44 PM","9:20 PM","2:10 PM"
"30","5:42 AM","6:20 AM","7:03 AM","1:23 PM","1:50 PM","4:56 PM","6:05 PM","7:42 PM","8:45 PM","9:20 PM","2:10 PM"
"31","5:40 AM","6:20 AM","7:01 AM","1:22 PM","1:50 PM","4:56 PM","6:05 PM","7:43 PM","8:47 PM","9:20 PM","2:10 PM"
