"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:57 AM","6:20 AM","7:14 AM","1:08 PM","1:50 PM","4:23 PM","5:40 PM","7:00 PM","8:02 PM","8:55 PM","2:10 PM"
"2","5:59 AM","6:20 AM","7:15 AM","1:08 PM","1:50 PM","4:22 PM","5:40 PM","6:58 PM","8:00 PM","8:55 PM","2:10 PM"
"3","6:00 AM","6:20 AM","7:16 AM","1:07 PM","1:50 PM","4:21 PM","5:40 PM","6:56 PM","7:58 PM","8:55 PM","2:10 PM"
"4","6:01 AM","6:20 AM","7:18 AM","1:07 PM","1:50 PM","4:19 PM","5:40 PM","6:55 PM","7:56 PM","8:55 PM","2:10 PM"
"5","6:02 AM","6:20 AM","7:19 AM","1:07 PM","1:50 PM","4:18 PM","5:40 PM","6:53 PM","7:54 PM","8:55 PM","2:10 PM"
"6","6:03 AM","6:30 AM","7:20 AM","1:06 PM","1:50 PM","4:17 PM","5:30 PM","6:51 PM","7:53 PM","8:40 PM","1:10 PM"
"7","6:04 AM","6:30 AM","7:21 AM","1:06 PM","1:50 PM","4:15 PM","5:30 PM","6:49 PM","7:51 PM","8:40 PM","1:10 PM"
"8","6:06 AM","6:30 AM","7:22 AM","1:06 PM","1:50 PM","4:14 PM","5:30 PM","6:47 PM","7:49 PM","8:40 PM","1:10 PM"
"9","6:07 AM","6:30 AM","7:24 AM","1:05 PM","1:50 PM","4:13 PM","5:30 PM","6:46 PM","7:47 PM","8:40 PM","1:10 PM"
"10","6:08 AM","6:30 AM","7:25 AM","1:05 PM","1:50 PM","4:11 PM","5:30 PM","6:44 PM","7:46 PM","8:40 PM","1:10 PM"
"11","6:09 AM","6:30 AM","7:26 AM","1:05 PM","1:50 PM","4:10 PM","5:30 PM","6:42 PM","7:44 PM","8:40 PM","1:10 PM"
"12","6:10 AM","6:30 AM","7:27 AM","1:05 PM","1:50 PM","4:09 PM","5:20 PM","6:41 PM","7:42 PM","8:25 PM","1:10 PM"
"13","6:12 AM","6:30 AM","7:28 AM","1:04 PM","1:50 PM","4:08 PM","5:20 PM","6:39 PM","7:41 PM","8:25 PM","1:10 PM"
"14","6:13 AM","6:30 AM","7:30 AM","1:04 PM","1:50 PM","4:06 PM","5:20 PM","6:37 PM","7:39 PM","8:25 PM","1:10 PM"
"15","6:14 AM","6:30 AM","7:31 AM","1:04 PM","1:50 PM","4:05 PM","5:20 PM","6:35 PM","7:37 PM","8:25 PM","1:10 PM"
"16","6:15 AM","6:30 AM","7:32 AM","1:04 PM","1:50 PM","4:04 PM","5:20 PM","6:34 PM","7:36 PM","8:25 PM","1:10 PM"
"17","6:16 AM","6:30 AM","7:33 AM","1:04 PM","1:50 PM","4:02 PM","5:20 PM","6:32 PM","7:34 PM","8:25 PM","1:10 PM"
"18","6:17 AM","6:30 AM","7:34 AM","1:03 PM","1:50 PM","4:01 PM","5:20 PM","6:31 PM","7:33 PM","8:25 PM","1:10 PM"
"19","6:19 AM","6:30 AM","7:36 AM","1:03 PM","1:50 PM","4:00 PM","5:20 PM","6:29 PM","7:31 PM","8:25 PM","1:10 PM"
"20","6:20 AM","6:30 AM","7:37 AM","1:03 PM","1:50 PM","3:59 PM","5:20 PM","6:27 PM","7:30 PM","8:25 PM","1:10 PM"
"21","6:21 AM","6:30 AM","7:38 AM","1:03 PM","1:50 PM","3:57 PM","5:20 PM","6:26 PM","7:28 PM","8:25 PM","1:10 PM"
"22","6:22 AM","6:35 AM","7:39 AM","1:03 PM","1:50 PM","3:56 PM","5:10 PM","6:24 PM","7:27 PM","8:10 PM","1:10 PM"
"23","6:23 AM","6:35 AM","7:41 AM","1:02 PM","1:50 PM","3:55 PM","5:10 PM","6:23 PM","7:25 PM","8:10 PM","1:10 PM"
"24","6:24 AM","6:35 AM","7:42 AM","1:02 PM","1:50 PM","3:54 PM","5:10 PM","6:21 PM","7:24 PM","8:10 PM","1:10 PM"
"25","6:26 AM","6:35 AM","7:43 AM","1:02 PM","1:50 PM","3:52 PM","5:10 PM","6:20 PM","7:22 PM","8:10 PM","1:10 PM"
"26","6:27 AM","6:35 AM","7:45 AM","1:02 PM","1:50 PM","3:51 PM","5:10 PM","6:18 PM","7:21 PM","8:10 PM","1:10 PM"
"27","6:28 AM","6:35 AM","7:46 AM","1:02 PM","1:50 PM","3:50 PM","5:10 PM","6:17 PM","7:19 PM","8:10 PM","1:10 PM"
"28","6:29 AM","6:35 AM","7:47 AM","1:02 PM","1:50 PM","3:49 PM","5:10 PM","6:15 PM","7:18 PM","8:10 PM","1:10 PM"
"29","6:30 AM","6:40 AM","7:48 AM","1:02 PM","1:50 PM","3:48 PM","5:10 PM","6:14 PM","7:17 PM","8:10 PM","1:10 PM"
"30","6:31 AM","6:40 AM","7:50 AM","1:02 PM","1:50 PM","3:47 PM","5:10 PM","6:12 PM","7:15 PM","8:10 PM","1:10 PM"
"31","6:33 AM","6:40 AM","7:51 AM","1:02 PM","1:50 PM","3:46 PM","5:10 PM","6:11 PM","7:14 PM","8:10 PM","1:10 PM"
