"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:19 AM","5:55 AM","6:40 AM","1:18 PM","1:50 PM","5:00 PM","6:25 PM","7:54 PM","8:59 PM","9:50 PM","1:10 PM"
"2","5:20 AM","6:10 AM","6:41 AM","1:18 PM","1:50 PM","4:59 PM","6:10 PM","7:53 PM","8:57 PM","9:35 PM","1:10 PM"
"3","5:21 AM","6:10 AM","6:42 AM","1:18 PM","1:50 PM","4:58 PM","6:10 PM","7:51 PM","8:55 PM","9:35 PM","1:10 PM"
"4","5:23 AM","6:10 AM","6:44 AM","1:17 PM","1:50 PM","4:57 PM","6:10 PM","7:49 PM","8:53 PM","9:35 PM","1:10 PM"
"5","5:24 AM","6:10 AM","6:45 AM","1:17 PM","1:50 PM","4:56 PM","6:10 PM","7:47 PM","8:51 PM","9:35 PM","1:10 PM"
"6","5:26 AM","6:10 AM","6:46 AM","1:17 PM","1:50 PM","4:55 PM","6:10 PM","7:46 PM","8:50 PM","9:35 PM","1:10 PM"
"7","5:27 AM","6:10 AM","6:47 AM","1:16 PM","1:50 PM","4:53 PM","6:10 PM","7:44 PM","8:48 PM","9:35 PM","1:10 PM"
"8","5:28 AM","6:10 AM","6:48 AM","1:16 PM","1:50 PM","4:52 PM","6:10 PM","7:42 PM","8:46 PM","9:35 PM","1:10 PM"
"9","5:30 AM","6:10 AM","6:49 AM","1:16 PM","1:50 PM","4:51 PM","6:10 PM","7:40 PM","8:44 PM","9:35 PM","1:10 PM"
"10","5:31 AM","6:10 AM","6:50 AM","1:15 PM","1:50 PM","4:50 PM","6:10 PM","7:38 PM","8:42 PM","9:35 PM","1:10 PM"
"11","5:32 AM","6:10 AM","6:51 AM","1:15 PM","1:50 PM","4:49 PM","6:10 PM","7:37 PM","8:40 PM","9:35 PM","1:10 PM"
"12","5:34 AM","6:10 AM","6:52 AM","1:14 PM","1:50 PM","4:48 PM","5:55 PM","7:35 PM","8:38 PM","9:15 PM","1:10 PM"
"13","5:35 AM","6:10 AM","6:54 AM","1:14 PM","1:50 PM","4:46 PM","5:55 PM","7:33 PM","8:36 PM","9:15 PM","1:10 PM"
"14","5:36 AM","6:10 AM","6:55 AM","1:14 PM","1:50 PM","4:45 PM","5:55 PM","7:31 PM","8:34 PM","9:15 PM","1:10 PM"
"15","5:37 AM","6:10 AM","6:56 AM","1:13 PM","1:50 PM","4:44 PM","5:55 PM","7:29 PM","8:32 PM","9:15 PM","1:10 PM"
"16","5:39 AM","6:10 AM","6:57 AM","1:13 PM","1:50 PM","4:43 PM","5:55 PM","7:27 PM","8:30 PM","9:15 PM","1:10 PM"
"17","5:40 AM","6:10 AM","6:58 AM","1:13 PM","1:50 PM","4:42 PM","5:55 PM","7:26 PM","8:28 PM","9:15 PM","1:10 PM"
"18","5:41 AM","6:10 AM","6:59 AM","1:12 PM","1:50 PM","4:40 PM","5:55 PM","7:24 PM","8:26 PM","9:15 PM","1:10 PM"
"19","5:43 AM","6:10 AM","7:00 AM","1:12 PM","1:50 PM","4:39 PM","5:55 PM","7:22 PM","8:24 PM","9:15 PM","1:10 PM"
"20","5:44 AM","6:10 AM","7:01 AM","1:12 PM","1:50 PM","4:38 PM","5:55 PM","7:20 PM","8:22 PM","9:15 PM","1:10 PM"
"21","5:45 AM","6:10 AM","7:03 AM","1:11 PM","1:50 PM","4:36 PM","5:55 PM","7:18 PM","8:20 PM","9:15 PM","1:10 PM"
"22","5:46 AM","6:20 AM","7:04 AM","1:11 PM","1:50 PM","4:35 PM","5:40 PM","7:16 PM","8:18 PM","8:55 PM","1:10 PM"
"23","5:48 AM","6:20 AM","7:05 AM","1:11 PM","1:50 PM","4:34 PM","5:40 PM","7:15 PM","8:17 PM","8:55 PM","1:10 PM"
"24","5:49 AM","6:20 AM","7:06 AM","1:10 PM","1:50 PM","4:33 PM","5:40 PM","7:13 PM","8:15 PM","8:55 PM","1:10 PM"
"25","5:50 AM","6:20 AM","7:07 AM","1:10 PM","1:50 PM","4:31 PM","5:40 PM","7:11 PM","8:13 PM","8:55 PM","1:10 PM"
"26","5:51 AM","6:20 AM","7:08 AM","1:10 PM","1:50 PM","4:30 PM","5:40 PM","7:09 PM","8:11 PM","8:55 PM","1:10 PM"
"27","5:52 AM","6:20 AM","7:09 AM","1:09 PM","1:50 PM","4:29 PM","5:40 PM","7:07 PM","8:09 PM","8:55 PM","1:10 PM"
"28","5:54 AM","6:20 AM","7:11 AM","1:09 PM","1:50 PM","4:27 PM","5:40 PM","7:05 PM","8:07 PM","8:55 PM","1:10 PM"
"29","5:55 AM","6:20 AM","7:12 AM","1:09 PM","1:50 PM","4:26 PM","5:40 PM","7:04 PM","8:05 PM","8:55 PM","2:10 PM"
"30","5:56 AM","6:20 AM","7:13 AM","1:08 PM","1:50 PM","4:25 PM","5:40 PM","7:02 PM","8:03 PM","8:55 PM","2:10 PM"
