"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:00 AM","5:00 AM","5:39 AM","1:02 PM","1:15 PM","6:10 PM","6:40 PM","8:26 PM","10:04 PM","10:05 AM","1:30 PM","2:30 PM"
"2","4:02 AM","5:00 AM","5:40 AM","1:02 PM","1:15 PM","6:09 PM","6:40 PM","8:25 PM","10:02 PM","10:05 AM","1:30 PM","2:30 PM"
"3","4:03 AM","5:00 AM","5:41 AM","1:02 PM","1:15 PM","6:08 PM","6:40 PM","8:23 PM","10:00 PM","10:05 AM","1:30 PM","2:30 PM"
"4","4:05 AM","5:00 AM","5:42 AM","1:02 PM","1:15 PM","6:07 PM","6:40 PM","8:22 PM","9:58 PM","10:05 AM","1:30 PM","2:30 PM"
"5","4:07 AM","5:00 AM","5:43 AM","1:01 PM","1:15 PM","6:06 PM","6:40 PM","8:21 PM","9:56 PM","10:05 AM","1:30 PM","2:30 PM"
"6","4:09 AM","5:00 AM","5:45 AM","1:01 PM","1:15 PM","6:05 PM","6:40 PM","8:19 PM","9:54 PM","10:05 AM","1:30 PM","2:30 PM"
"7","4:10 AM","5:00 AM","5:46 AM","1:01 PM","1:15 PM","6:04 PM","6:40 PM","8:18 PM","9:52 PM","10:05 AM","1:30 PM","2:30 PM"
"8","4:12 AM","5:00 AM","5:47 AM","1:01 PM","1:15 PM","6:03 PM","6:30 PM","8:13 PM","9:50 PM","9:55 AM","1:30 PM","2:30 PM"
"9","4:14 AM","5:00 AM","5:48 AM","1:01 PM","1:15 PM","6:02 PM","6:30 PM","8:15 PM","9:48 PM","9:55 AM","1:30 PM","2:30 PM"
"10","4:16 AM","5:00 AM","5:49 AM","1:01 PM","1:15 PM","6:01 PM","6:30 PM","8:13 PM","9:46 PM","9:55 AM","1:30 PM","2:30 PM"
"11","4:17 AM","5:00 AM","5:51 AM","1:01 PM","1:15 PM","6:00 PM","6:30 PM","8:12 PM","9:44 PM","9:55 AM","1:30 PM","2:30 PM"
"12","4:19 AM","5:00 AM","5:52 AM","1:00 PM","1:15 PM","5:59 PM","6:30 PM","8:10 PM","9:42 PM","9:55 AM","1:30 PM","2:30 PM"
"13","4:21 AM","5:00 AM","5:53 AM","1:00 PM","1:15 PM","5:58 PM","6:30 PM","8:09 PM","9:40 PM","9:55 AM","1:30 PM","2:30 PM"
"14","4:23 AM","5:00 AM","5:54 AM","1:00 PM","1:15 PM","5:57 PM","6:30 PM","8:07 PM","9:38 PM","9:55 AM","1:30 PM","2:30 PM"
"15","4:24 AM","5:10 AM","5:55 AM","1:00 PM","1:15 PM","5:56 PM","6:20 PM","8:05 PM","9:35 PM","9:40 AM","1:30 PM","2:30 PM"
"16","4:26 AM","5:10 AM","5:57 AM","1:00 PM","1:15 PM","5:55 PM","6:20 PM","8:04 PM","9:33 PM","9:40 PM","1:30 PM","2:30 PM"
"17","4:28 AM","5:10 AM","5:58 AM","12:59 PM","1:15 PM","5:54 PM","6:20 PM","8:02 PM","9:31 PM","9:40 PM","1:30 PM","2:30 PM"
"18","4:29 AM","5:10 AM","6:59 AM","12:59 PM","1:15 PM","5:52 PM","6:20 PM","8:01 PM","9:29 PM","9:40 PM","1:30 PM","2:30 PM"
"19","4:31 AM","5:10 AM","6:00 AM","12:59 PM","1:15 PM","5:51 PM","6:20 PM","7:59 PM","9:27 PM","9:40 PM","1:30 PM","2:30 PM"
"20","4:33 AM","5:10 AM","6:01 AM","12:59 PM","1:15 PM","5:50 PM","6:20 PM","7:57 PM","9:25 PM","9:40 PM","1:30 PM","2:30 PM"
"21","4:34 AM","5:10 AM","6:03 AM","12:58 PM","1:15 PM","5:49 PM","6:20 PM","7:55 PM","9:23 PM","9:40 PM","1:30 PM","2:30 PM"
"22","4:36 AM","5:20 AM","6:04 AM","12:58 PM","1:15 PM","5:47 PM","6:10 PM","7:54 PM","9:21 PM","9:30 PM","1:30 PM","2:30 PM"
"23","4:36 AM","5:20 AM","6:05 AM","12:58 PM","1:15 PM","5:46 PM","6:10 PM","7:52 PM","9:18 PM","9:30 PM","1:30 PM","2:30 PM"
"24","4:39 AM","5:20 AM","6:06 AM","12:58 PM","1:15 PM","5:45 PM","6:10 PM","7:50 PM","9:16 PM","9:30 PM","1:30 PM","2:30 PM"
"25","4:41 AM","5:20 AM","6:08 AM","12:57 PM","1:15 PM","5:43 PM","6:10 PM","7:48 PM","9:14 PM","9:30 PM","1:30 PM","2:30 PM"
"26","4:42 AM","5:20 AM","6:09 AM","12:57 PM","1:15 PM","5:42 PM","6:10 PM","7:47 PM","9:12 PM","9:30 PM","1:30 PM","2:30 PM"
"27","4:44 AM","5:20 AM","6:10 AM","12:57 PM","1:15 PM","5:41 PM","6:10 PM","7:45 PM","9:10 PM","9:30 PM","1:30 PM","2:30 PM"
"28","4:46 AM","5:20 AM","6:11 AM","12:57 PM","1:15 PM","5:39 PM","6:10 PM","7:43 PM","9:08 PM","9:30 PM","1:30 PM","2:30 PM"
"29","4:47 AM","5:30 AM","6:12 AM","12:56 PM","1:15 PM","5:38 PM","6:00 PM","7:41 PM","9:05 PM","9:20 PM","1:30 PM","2:30 PM"
"30","4:49 AM","5:30 AM","6:14 AM","12:56 PM","1:15 PM","5:37 PM","6:00 PM","7:39 PM","9:03 PM","9:20 PM","1:30 PM","2:30 PM"
"31","4:50 AM","5:30 AM","6:15 AM","12:56 PM","1:15 PM","5:35 PM","6:00 PM","7:38 PM","9:01 PM","9:20 PM","1:30 PM","2:30 PM"
