"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:13 AM","4:30 AM","5:10 AM","12:59 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:45 PM","10:52 PM","1:30 PM","2:30 PM"
"2","3:14 AM","4:30 AM","5:10 AM","1:00 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:45 PM","10:52 PM","1:30 PM","2:30 PM"
"3","3:15 AM","4:30 AM","5:11 AM","1:00 PM","1:15 PM","6:22 PM","7:10 PM","8:50 PM","10:44 PM","10:51 PM","1:30 PM","2:30 PM"
"4","3:16 AM","4:30 AM","5:12 AM","1:00 PM","1:15 PM","6:22 PM","7:00 PM","8:50 PM","10:43 PM","10:45 PM","1:30 PM","2:30 PM"
"5","3:18 AM","4:30 AM","5:12 AM","1:00 PM","1:15 PM","6:22 PM","7:00 PM","8:50 PM","10:43 PM","10:45 PM","1:30 PM","2:30 PM"
"6","3:19 AM","4:30 AM","5:13 AM","1:00 PM","1:15 PM","6:22 PM","7:00 PM","8:49 PM","10:42 PM","10:45 PM","1:30 PM","2:30 PM"
"7","3:20 AM","4:30 AM","5:14 AM","1:00 PM","1:15 PM","6:22 PM","7:00 PM","8:49 PM","10:41 PM","10:45 PM","1:30 PM","2:30 PM"
"8","3:21 AM","4:30 AM","5:14 AM","1:01 PM","1:15 PM","6:22 PM","7:00 PM","8:48 PM","10:40 PM","10:45 PM","1:30 PM","2:30 PM"
"9","3:23 AM","4:30 AM","5:15 AM","1:01 PM","1:15 PM","6:21 PM","7:00 PM","8:48 PM","10:39 PM","10:45 PM","1:30 PM","2:30 PM"
"10","3:24 AM","4:30 AM","5:16 AM","1:01 PM","1:15 PM","6:21 PM","7:00 PM","8:47 PM","10:38 PM","10:45 PM","1:30 PM","2:30 PM"
"11","3:25 AM","4:30 AM","5:17 AM","1:01 PM","1:15 PM","6:21 PM","7:00 PM","8:47 PM","10:37 PM","10:45 PM","1:30 PM","2:30 PM"
"12","3:27 AM","4:30 AM","5:18 AM","1:01 PM","1:15 PM","6:21 PM","7:00 PM","8:46 PM","10:36 PM","10:45 PM","1:30 PM","2:30 PM"
"13","3:28 AM","4:30 AM","5:19 AM","1:01 PM","1:15 PM","6:20 PM","7:00 PM","8:45 PM","10:34 PM","10:45 PM","1:30 PM","2:30 PM"
"14","3:30 AM","4:30 AM","5:20 AM","1:01 PM","1:15 PM","6:20 PM","7:00 PM","8:45 PM","10:33 PM","10:45 PM","1:30 PM","2:30 PM"
"15","3:31 AM","4:30 AM","5:20 AM","1:01 PM","1:15 PM","6:20 PM","7:00 PM","8:44 PM","10:32 PM","10:45 PM","1:30 PM","2:30 PM"
"16","3:33 AM","4:30 AM","5:21 AM","1:02 PM","1:15 PM","6:19 PM","7:00 PM","8:43 PM","10:30 PM","10:45 PM","1:30 PM","2:30 PM"
"17","3:34 AM","4:30 AM","5:22 AM","1:02 PM","1:15 PM","6:19 PM","7:00 PM","8:42 PM","10:29 PM","10:45 PM","1:30 PM","2:30 PM"
"18","3:36 AM","4:40 AM","5:23 AM","1:02 PM","1:15 PM","6:18 PM","6:50 PM","8:41 PM","10:28 PM","10:35 PM","1:30 PM","2:30 PM"
"19","3:38 AM","4:40 AM","5:24 AM","1:02 PM","1:15 PM","6:18 PM","6:50 PM","8:41 PM","10:26 PM","10:35 PM","1:30 PM","2:30 PM"
"20","3:39 AM","4:40 AM","5:25 AM","1:02 PM","1:15 PM","6:17 PM","6:50 PM","8:40 PM","10:25 PM","10:35 PM","1:30 PM","2:30 PM"
"21","3:41 AM","4:40 AM","5:26 AM","1:02 PM","1:15 PM","6:17 PM","6:50 PM","8:39 PM","10:23 PM","10:35 PM","1:30 PM","2:30 PM"
"22","3:42 AM","4:40 AM","5:27 AM","1:02 PM","1:15 PM","6:16 PM","6:50 PM","8:38 PM","10:21 PM","10:35 PM","1:30 PM","2:30 PM"
"23","3:44 AM","4:40 AM","5:29 AM","1:02 PM","1:15 PM","6:16 PM","6:50 PM","8:37 PM","10:20 PM","10:35 PM","1:30 PM","2:30 PM"
"24","3:46 AM","4:40 AM","5:30 AM","1:02 PM","1:15 PM","6:15 PM","6:50 PM","8:36 PM","10:18 PM","10:35 PM","1:30 PM","2:30 PM"
"25","3:48 AM","4:50 AM","5:31 AM","1:02 PM","1:15 PM","6:14 PM","6:50 PM","8:35 PM","10:16 PM","10:25 PM","1:30 PM","2:30 PM"
"26","3:49 AM","4:50 AM","5:32 AM","1:02 PM","1:15 PM","6:14 PM","6:50 PM","8:33 PM","10:15 PM","10:25 PM","1:30 PM","2:30 PM"
"27","3:51 AM","4:50 AM","5:33 AM","1:02 PM","1:15 PM","6:13 PM","6:50 PM","8:32 PM","10:13 PM","10:25 PM","1:30 PM","2:30 PM"
"28","3:53 AM","4:50 AM","5:34 AM","1:02 PM","1:15 PM","6:13 PM","6:50 PM","8:31 PM","10:11 PM","10:25 PM","1:30 PM","2:30 PM"
"29","3:55 AM","4:50 AM","5:35 AM","1:02 PM","1:15 PM","6:12 PM","6:50 PM","8:30 PM","10:09 PM","10:25 PM","1:30 PM","2:30 PM"
"30","3:56 AM","4:50 AM","5:36 AM","1:02 PM","1:15 PM","6:11 PM","6:50 PM","8:29 PM","10:07 PM","10:25 PM","1:30 PM","2:30 PM"
"31","3:58 AM","4:50 AM","5:37 AM","1:02 PM","1:15 PM","6:10 PM","6:50 PM","8:27 PM","10:06 PM","10:25 PM","1:30 PM","2:30 PM"
