"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","3:15 AM","3:25 AM","5:09 AM","12:53 PM","1:15 PM","6:14 PM","7:00 PM","8:40 PM","10:31 PM","10:38 PM","1:30 PM","2:30 PM"
"2","3:14 AM","3:24 AM","5:08 AM","12:54 PM","1:15 PM","6:15 PM","7:00 PM","8:41 PM","10:33 PM","10:40 PM","1:30 PM","2:30 PM"
"3","3:13 AM","3:23 AM","5:08 AM","12:54 PM","1:15 PM","6:15 PM","7:00 PM","8:42 PM","10:34 PM","10:41 PM","1:30 PM","2:30 PM"
"4","3:12 AM","3:22 AM","5:07 AM","12:54 PM","1:15 PM","6:16 PM","7:00 PM","8:43 PM","10:35 PM","10:42 PM","1:30 PM","2:30 PM"
"5","3:12 AM","3:22 AM","5:07 AM","12:54 PM","1:15 PM","6:16 PM","7:00 PM","8:43 PM","10:37 PM","10:44 PM","1:30 PM","2:30 PM"
"6","3:11 AM","3:21 AM","5:07 AM","12:54 PM","1:15 PM","6:16 PM","7:10 PM","8:44 PM","10:38 PM","10:45 PM","1:30 PM","2:30 PM"
"7","3:10 AM","3:20 AM","5:06 AM","12:54 PM","1:15 PM","6:17 PM","7:10 PM","8:45 PM","10:39 PM","10:46 PM","1:30 PM","2:30 PM"
"8","3:09 AM","3:19 AM","5:06 AM","12:55 PM","1:15 PM","6:17 PM","7:10 PM","8:45 PM","10:40 PM","10:47 PM","1:30 PM","2:30 PM"
"9","3:09 AM","3:19 AM","5:06 AM","12:55 PM","1:15 PM","6:18 PM","7:10 PM","8:46 PM","10:41 PM","10:48 PM","1:30 PM","2:30 PM"
"10","3:08 AM","3:18 AM","5:06 AM","12:55 PM","1:15 PM","6:18 PM","7:10 PM","8:47 PM","10:42 PM","10:49 PM","1:30 PM","2:30 PM"
"11","3:08 AM","3:18 AM","5:05 AM","12:55 PM","1:15 PM","6:19 PM","7:10 PM","8:47 PM","10:43 PM","10:50 PM","1:30 PM","2:30 PM"
"12","3:07 AM","3:17 AM","5:05 AM","12:55 PM","1:15 PM","6:19 PM","7:10 PM","8:48 PM","10:43 PM","10:50 PM","1:30 PM","2:30 PM"
"13","3:07 AM","3:17 AM","5:05 AM","12:56 PM","1:15 PM","6:19 PM","7:10 PM","8:48 PM","10:44 PM","10:51 PM","1:30 PM","2:30 PM"
"14","3:07 AM","3:17 AM","5:05 AM","12:56 PM","1:15 PM","6:20 PM","7:10 PM","8:49 PM","10:45 PM","10:52 PM","1:30 PM","2:30 PM"
"15","3:07 AM","3:17 AM","5:05 AM","12:56 PM","1:15 PM","6:20 PM","7:10 PM","8:49 PM","10:45 PM","10:52 PM","1:30 PM","2:30 PM"
"16","3:07 AM","3:17 AM","5:05 AM","12:56 PM","1:15 PM","6:20 PM","7:10 PM","8:50 PM","10:46 PM","10:53 PM","1:30 PM","2:30 PM"
"17","3:07 AM","3:17 AM","5:05 AM","12:56 PM","1:15 PM","6:21 PM","7:10 PM","8:50 PM","10:46 PM","10:53 PM","1:30 PM","2:30 PM"
"18","3:07 AM","3:17 AM","5:05 AM","12:57 PM","1:15 PM","6:21 PM","7:10 PM","8:50 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"19","3:07 AM","3:17 AM","5:05 AM","12:57 PM","1:15 PM","6:21 PM","7:10 PM","8:50 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"20","3:07 AM","3:17 AM","5:05 AM","12:57 PM","1:15 PM","6:21 PM","7:10 PM","8:51 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"21","3:07 AM","3:17 AM","5:06 AM","12:57 PM","1:15 PM","6:21 PM","7:10 PM","8:51 PM","10:47 PM","10:55 PM","1:30 PM","2:30 PM"
"22","3:07 AM","3:17 AM","5:06 AM","12:58 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:48 PM","10:55 PM","1:30 PM","2:30 PM"
"23","3:08 AM","3:18 AM","5:06 AM","12:58 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:48 PM","10:55 PM","1:30 PM","2:30 PM"
"24","3:08 AM","3:18 AM","5:07 AM","12:58 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:48 PM","10:55 PM","1:30 PM","2:30 PM"
"25","3:09 AM","4:30 AM","5:07 AM","12:58 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"26","3:09 AM","4:30 AM","5:07 AM","12:58 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"27","3:10 AM","4:30 AM","5:08 AM","12:59 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"28","3:11 AM","4:30 AM","5:08 AM","12:59 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:47 PM","10:54 PM","1:30 PM","2:30 PM"
"29","3:12 AM","4:30 AM","5:09 AM","12:59 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:46 PM","10:53 PM","1:30 PM","2:30 PM"
"30","3:12 AM","4:30 AM","5:09 AM","12:59 PM","1:15 PM","6:22 PM","7:10 PM","8:51 PM","10:46 PM","10:53 PM","1:30 PM","2:30 PM"
