"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:11 AM","5:40 AM","6:32 AM","12:07 PM","1:15 PM","3:55 PM","4:10 PM","5:42 PM","7:03 PM","7:30 PM","12:30 PM","1:30 PM"
"2","5:09 AM","5:40 AM","6:30 AM","12:07 PM","1:15 PM","3:56 PM","4:10 PM","5:43 PM","7:05 PM","7:30 PM","12:30 PM","1:30 PM"
"3","5:07 AM","5:40 AM","6:29 AM","12:07 PM","1:15 PM","3:58 PM","4:10 PM","5:45 PM","7:06 PM","7:30 PM","12:30 PM","1:30 PM"
"4","5:05 AM","5:40 AM","6:27 AM","12:06 PM","1:15 PM","3:59 PM","4:10 PM","5:46 PM","7:07 PM","7:30 PM","12:30 PM","1:30 PM"
"5","5:04 AM","5:40 AM","6:25 AM","12:06 PM","1:15 PM","4:00 PM","4:10 PM","5:47 PM","7:09 PM","7:30 PM","12:30 PM","1:30 PM"
"6","5:02 AM","5:40 AM","6:23 AM","12:06 PM","1:15 PM","4:01 PM","4:10 PM","5:49 PM","7:10 PM","7:30 PM","12:30 PM","1:30 PM"
"7","5:00 AM","5:40 AM","6:21 AM","12:06 PM","1:15 PM","4:02 PM","4:10 PM","5:50 PM","7:12 PM","7:30 PM","12:30 PM","1:30 PM"
"8","4:58 AM","5:40 AM","6:19 AM","12:06 PM","1:15 PM","4:03 PM","4:10 PM","5:51 PM","7:13 PM","7:30 PM","12:30 PM","1:30 PM"
"9","4:56 AM","5:40 AM","6:18 AM","12:05 PM","1:15 PM","4:04 PM","4:10 PM","5:53 PM","7:14 PM","7:30 PM","12:30 PM","1:30 PM"
"10","4:54 AM","5:40 AM","6:16 AM","12:05 PM","1:15 PM","4:06 PM","4:10 PM","5:54 PM","7:16 PM","7:30 PM","12:30 PM","1:30 PM"
"11","5:54 AM","6:20 AM","7:16 AM","12:05 PM","1:15 PM","5:06 PM","5:50 PM","6:54 PM","8:16 PM","8:35 PM","1:30 PM","2:30 PM"
"12","5:52 AM","6:20 AM","7:14 AM","1:05 PM","1:15 PM","5:07 PM","5:50 PM","6:55 PM","8:17 PM","8:35 PM","1:30 PM","2:30 PM"
"13","5:51 AM","6:20 AM","7:12 AM","1:05 PM","1:15 PM","5:08 PM","5:50 PM","6:57 PM","8:18 PM","8:35 PM","1:30 PM","2:30 PM"
"14","5:49 AM","6:20 AM","7:10 AM","1:04 PM","1:15 PM","5:09 PM","5:50 PM","6:58 PM","8:20 PM","8:35 PM","1:30 PM","2:30 PM"
"15","5:47 AM","6:20 AM","7:08 AM","1:04 PM","1:15 PM","5:10 PM","5:50 PM","6:59 PM","8:21 PM","8:35 PM","1:30 PM","2:30 PM"
"16","5:45 AM","6:20 AM","7:06 AM","1:04 PM","1:15 PM","5:11 PM","5:50 PM","7:01 PM","8:23 PM","8:35 PM","1:30 PM","2:30 PM"
"17","5:43 AM","6:20 AM","7:05 AM","1:03 PM","1:15 PM","5:12 PM","5:50 PM","7:02 PM","8:24 PM","8:35 PM","1:30 PM","2:30 PM"
"18","5:41 AM","6:20 AM","7:03 AM","1:03 PM","1:15 PM","5:13 PM","5:50 PM","7:03 PM","8:25 PM","8:35 PM","1:30 PM","2:30 PM"
