"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:06 AM","5:00 AM","5:42 AM","12:52 PM","1:15 PM","5:54 PM","6:20 PM","8:06 PM","9:39 PM","9:46 PM","1:30 PM","2:30 PM"
"2","4:04 AM","4:50 AM","5:41 AM","12:52 PM","1:15 PM","5:54 PM","6:30 PM","8:07 PM","9:41 PM","9:48 PM","1:30 PM","2:30 PM"
"3","4:02 AM","4:50 AM","5:39 AM","12:52 PM","1:15 PM","5:55 PM","6:30 PM","8:08 PM","9:43 PM","9:50 PM","1:30 PM","2:30 PM"
"4","4:00 AM","4:50 AM","5:38 AM","12:52 PM","1:15 PM","5:56 PM","6:30 PM","8:09 PM","9:44 PM","9:51 PM","1:30 PM","2:30 PM"
"5","3:58 AM","4:50 AM","5:36 AM","12:52 PM","1:15 PM","5:57 PM","6:30 PM","8:11 PM","9:46 PM","9:53 PM","1:30 PM","2:30 PM"
"6","3:56 AM","4:50 AM","5:35 AM","12:52 PM","1:15 PM","5:57 PM","6:30 PM","8:12 PM","9:48 PM","9:55 PM","1:30 PM","2:30 PM"
"7","3:54 AM","4:50 AM","5:34 AM","12:52 PM","1:15 PM","5:58 PM","6:30 PM","8:13 PM","9:50 PM","9:57 PM","1:30 PM","2:30 PM"
"8","3:52 AM","4:50 AM","5:32 AM","12:52 PM","1:15 PM","5:59 PM","6:30 PM","8:14 PM","9:52 PM","9:59 PM","1:30 PM","2:30 PM"
"9","3:50 AM","4:40 AM","5:31 AM","12:52 PM","1:15 PM","5:59 PM","6:40 PM","8:16 PM","9:53 PM","10:00 PM","1:30 PM","2:30 PM"
"10","3:48 AM","4:40 AM","5:30 AM","12:52 PM","1:15 PM","6:00 PM","6:40 PM","8:17 PM","9:55 PM","10:02 PM","1:30 PM","2:30 PM"
"11","3:47 AM","4:40 AM","5:28 AM","12:52 PM","1:15 PM","6:01 PM","6:40 PM","8:18 PM","9:57 PM","10:04 PM","1:30 PM","2:30 PM"
"12","3:45 AM","4:40 AM","5:27 AM","12:52 PM","1:15 PM","6:02 PM","6:40 PM","8:19 PM","9:59 PM","10:06 PM","1:30 PM","2:30 PM"
"13","3:43 AM","4:40 AM","5:26 AM","12:52 PM","1:15 PM","6:02 PM","6:40 PM","8:20 PM","10:01 PM","10:08 PM","1:30 PM","2:30 PM"
"14","3:41 AM","4:40 AM","5:25 AM","12:52 PM","1:15 PM","6:03 PM","6:40 PM","8:22 PM","10:02 PM","10:09 PM","1:30 PM","2:30 PM"
"15","3:39 AM","4:40 AM","5:24 AM","12:52 PM","1:15 PM","6:04 PM","6:50 PM","8:23 PM","10:04 PM","10:11 PM","1:30 PM","2:30 PM"
"16","3:38 AM","4:30 AM","5:22 AM","12:52 PM","1:15 PM","6:04 PM","6:50 PM","8:24 PM","10:06 PM","10:13 PM","1:30 PM","2:30 PM"
"17","3:36 AM","4:30 AM","5:21 AM","12:52 PM","1:15 PM","6:05 PM","6:50 PM","8:25 PM","10:08 PM","10:15 PM","1:30 PM","2:30 PM"
"18","3:34 AM","4:30 AM","5:20 AM","12:52 PM","1:15 PM","6:06 PM","6:50 PM","8:26 PM","10:09 PM","10:16 PM","1:30 PM","2:30 PM"
"19","3:33 AM","4:30 AM","5:19 AM","12:52 PM","1:15 PM","6:06 PM","6:50 PM","8:27 PM","10:11 PM","10:18 PM","1:30 PM","2:30 PM"
"20","3:31 AM","4:30 AM","5:18 AM","12:52 PM","1:15 PM","6:07 PM","6:50 PM","8:28 PM","10:13 PM","10:20 PM","1:30 PM","2:30 PM"
