"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:52 AM","5:30 AM","6:16 AM","12:55 PM","1:15 PM","5:34 PM","6:00 PM","7:36 PM","8:59 PM","9:20 PM","1:30 PM","2:30 PM"
"2","4:53 AM","5:30 AM","6:17 AM","12:55 PM","1:15 PM","5:32 PM","6:00 PM","7:34 PM","8:57 PM","9:20 PM","1:30 PM","2:30 PM"
"3","4:55 AM","5:30 AM","6:19 AM","12:55 PM","1:15 PM","5:31 PM","6:00 PM","7:32 PM","8:55 PM","9:20 PM","1:30 PM","2:30 PM"
"4","4:56 AM","5:30 AM","6:20 AM","12:54 PM","1:15 PM","5:29 PM","6:00 PM","7:30 PM","8:52 PM","9:20 PM","1:30 PM","2:30 PM"
"5","4:58 AM","5:40 AM","6:21 AM","12:54 PM","1:15 PM","5:28 PM","6:00 PM","7:28 PM","8:50 PM","9:10 PM","1:30 PM","2:30 PM"
"6","4:59 AM","5:40 AM","6:22 AM","12:54 PM","1:15 PM","5:26 PM","6:00 PM","7:26 PM","8:48 PM","9:10 PM","1:30 PM","2:30 PM"
"7","5:01 AM","5:40 AM","6:23 AM","12:53 PM","1:15 PM","5:25 PM","6:00 PM","7:24 PM","8:46 PM","9:10 PM","1:30 PM","2:30 PM"
"8","5:02 AM","5:40 AM","6:25 AM","12:53 PM","1:15 PM","5:23 PM","6:00 PM","7:22 PM","8:44 PM","9:10 PM","1:30 PM","2:30 PM"
"9","5:04 AM","5:40 AM","6:26 AM","12:53 PM","1:15 PM","5:22 PM","6:00 PM","7:21 PM","8:42 PM","9:10 PM","1:30 PM","2:30 PM"
"10","5:05 AM","5:40 AM","6:27 AM","12:52 PM","1:15 PM","5:20 PM","6:00 PM","7:19 PM","8:39 PM","9:10 PM","1:30 PM","2:30 PM"
"11","5:07 AM","5:40 AM","6:28 AM","12:52 PM","1:15 PM","5:19 PM","6:00 PM","7:17 PM","8:37 PM","9:10 PM","1:30 PM","2:30 PM"
"12","5:08 AM","5:50 AM","6:29 AM","12:52 PM","1:15 PM","5:17 PM","5:50 PM","7:15 PM","8:35 PM","9:00 PM","1:30 PM","2:30 PM"
"13","5:09 AM","5:50 AM","6:31 AM","12:51 PM","1:15 PM","5:15 PM","5:50 PM","7:13 PM","8:33 PM","9:00 PM","1:30 PM","2:30 PM"
"14","5:11 AM","5:50 AM","6:32 AM","12:51 PM","1:15 PM","5:14 PM","5:50 PM","7:11 PM","8:31 PM","9:00 PM","1:30 PM","2:30 PM"
"15","5:12 AM","5:50 AM","6:33 AM","12:50 PM","1:15 PM","5:12 PM","5:50 PM","7:09 PM","8:29 PM","9:00 PM","1:30 PM","2:30 PM"
"16","5:14 AM","5:50 AM","6:34 AM","12:50 PM","1:15 PM","5:11 PM","5:50 PM","7:07 PM","8:27 PM","9:00 PM","1:30 PM","2:30 PM"
"17","5:15 AM","5:50 AM","6:36 AM","12:50 PM","1:15 PM","5:07 PM","5:50 PM","7:05 PM","8:25 PM","9:00 PM","1:30 PM","2:30 PM"
"18","5:16 AM","5:50 AM","6:37 AM","12:49 PM","1:15 PM","5:07 PM","5:50 PM","7:03 PM","8:22 PM","9:00 PM","1:30 PM","2:30 PM"
"19","5:18 AM","6:00 AM","6:38 AM","12:49 PM","1:15 PM","5:06 PM","5:40 PM","7:01 PM","8:20 PM","8:50 PM","1:30 PM","2:30 PM"
"20","5:19 AM","6:00 AM","6:39 AM","12:49 PM","1:15 PM","5:04 PM","5:40 PM","6:59 PM","8:18 PM","8:50 PM","1:30 PM","2:30 PM"
"21","5:21 AM","6:00 AM","6:41 AM","12:48 PM","1:15 PM","5:03 PM","5:40 PM","6:57 PM","8:16 PM","8:50 PM","1:30 PM","2:30 PM"
"22","5:22 AM","6:00 AM","6:42 AM","12:48 PM","1:15 PM","5:01 PM","5:40 PM","6:55 PM","8:14 PM","8:50 PM","1:30 PM","2:30 PM"
"23","5:23 AM","6:00 AM","6:46 AM","12:48 PM","1:15 PM","4:59 PM","5:40 PM","6:54 PM","8:12 PM","8:50 PM","1:30 PM","2:30 PM"
"24","5:25 AM","6:00 AM","6:44 AM","12:47 PM","1:15 PM","4:58 PM","5:40 PM","6:52 PM","8:10 PM","8:50 PM","1:30 PM","2:30 PM"
"25","5:26 AM","6:00 AM","6:45 AM","12:47 PM","1:15 PM","4:56 PM","5:40 PM","6:50 PM","8:08 PM","8:50 PM","1:30 PM","2:30 PM"
"26","5:27 AM","6:00 AM","6:47 AM","12:47 PM","1:15 PM","4:54 PM","5:30 PM","6:48 PM","8:06 PM","8:40 PM","1:30 PM","2:30 PM"
"27","5:29 AM","6:00 AM","6:48 AM","12:46 PM","1:15 PM","4:53 PM","5:30 PM","6:46 PM","8:04 PM","8:40 PM","1:30 PM","2:30 PM"
"28","5:30 AM","6:00 AM","6:49 AM","12:46 PM","1:15 PM","4:51 PM","5:30 PM","6:44 PM","8:02 PM","8:40 PM","1:30 PM","2:30 PM"
"29","5:31 AM","6:00 AM","6:50 AM","12:46 PM","1:15 PM","4:49 PM","5:30 PM","6:42 PM","8:00 PM","8:40 PM","1:30 PM","2:30 PM"
"30","5:33 AM","6:00 AM","6:52 AM","12:45 PM","1:15 PM","4:48 PM","5:30 PM","6:40 PM","7:58 PM","8:40 PM","1:30 PM","2:30 PM"
