"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:29 AM","6:15 AM","7:02 AM","1:30 PM","1:45 PM","5:54 PM","6:15 PM","7:51 PM","9:03 PM","9:30 PM","1:35 PM","3:35 PM"
"2","5:27 AM","6:15 AM","7:00 AM","1:30 PM","1:45 PM","5:55 PM","6:15 PM","7:52 PM","9:04 PM","9:30 PM","1:35 PM","3:35 PM"
"3","5:25 AM","6:15 AM","6:58 AM","1:29 PM","1:45 PM","5:55 PM","6:15 PM","7:53 PM","9:05 PM","9:30 PM","1:35 PM","3:35 PM"
"4","5:23 AM","6:15 AM","6:57 AM","1:29 PM","1:45 PM","5:56 PM","6:15 PM","7:55 PM","9:06 PM","9:30 PM","1:35 PM","3:35 PM"
"5","5:21 AM","6:15 AM","6:55 AM","1:29 PM","1:45 PM","5:57 PM","6:15 PM","7:56 PM","9:07 PM","9:30 PM","1:35 PM","3:35 PM"
"6","5:19 AM","6:15 AM","6:53 AM","1:29 PM","1:45 PM","5:58 PM","6:15 PM","7:57 PM","9:08 PM","9:30 PM","1:35 PM","3:35 PM"
"7","5:17 AM","6:15 AM","6:51 AM","1:28 PM","1:45 PM","5:59 PM","6:15 PM","7:58 PM","9:09 PM","9:30 PM","1:35 PM","3:35 PM"
"8","5:15 AM","6:15 AM","6:50 AM","1:28 PM","1:45 PM","5:59 PM","6:15 PM","7:59 PM","9:10 PM","9:30 PM","1:35 PM","3:35 PM"
"9","5:13 AM","6:15 AM","6:48 AM","1:28 PM","1:45 PM","6:00 PM","6:15 PM","8:00 PM","9:11 PM","9:30 PM","1:35 PM","3:35 PM"
"10","5:11 AM","6:00 AM","6:46 AM","1:27 PM","1:45 PM","6:01 PM","6:30 PM","8:02 PM","9:12 PM","9:45 PM","1:35 PM","3:35 PM"
"11","5:09 AM","6:00 AM","6:44 AM","1:27 PM","1:45 PM","6:02 PM","6:30 PM","8:03 PM","9:13 PM","9:45 PM","1:35 PM","3:35 PM"
"12","5:07 AM","6:00 AM","6:43 AM","1:27 PM","1:45 PM","6:03 PM","6:30 PM","8:04 PM","9:14 PM","9:45 PM","1:35 PM","3:35 PM"
"13","5:05 AM","6:00 AM","6:41 AM","1:27 PM","1:45 PM","6:03 PM","6:30 PM","8:06 PM","9:15 PM","9:45 PM","1:35 PM","3:35 PM"
"14","5:03 AM","6:00 AM","6:39 AM","1:26 PM","1:45 PM","6:04 PM","6:30 PM","8:06 PM","9:16 PM","9:45 PM","1:35 PM","3:35 PM"
"15","5:02 AM","6:00 AM","6:38 AM","1:26 PM","1:45 PM","6:05 PM","6:30 PM","8:08 PM","9:17 PM","9:45 PM","1:35 PM","3:35 PM"
"16","5:00 AM","6:00 AM","6:36 AM","1:26 PM","1:45 PM","6:06 PM","6:30 PM","8:09 PM","9:18 PM","9:45 PM","1:35 PM","3:35 PM"
"17","4:58 AM","6:00 AM","6:34 AM","1:26 PM","1:45 PM","6:06 PM","6:30 PM","8:10 PM","9:19 PM","9:45 PM","1:35 PM","3:35 PM"
"18","4:56 AM","6:00 AM","6:33 AM","1:25 PM","1:45 PM","6:07 PM","6:30 PM","8:11 PM","9:20 PM","9:45 PM","1:35 PM","3:35 PM"
"19","4:54 AM","6:00 AM","6:31 AM","1:25 PM","1:45 PM","6:08 PM","6:30 PM","8:12 PM","9:21 PM","9:45 PM","1:35 PM","3:35 PM"
"20","4:52 AM","5:45 AM","6:30 AM","1:25 PM","1:45 PM","6:09 PM","6:30 PM","8:14 PM","9:22 PM","9:45 PM","1:35 PM","3:35 PM"
"21","4:50 AM","5:45 AM","6:28 AM","1:25 PM","1:45 PM","6:09 PM","6:30 PM","8:15 PM","9:23 PM","9:45 PM","1:35 PM","3:35 PM"
"22","4:49 AM","5:45 AM","6:26 AM","1:25 PM","1:45 PM","6:10 PM","6:30 PM","8:16 PM","9:24 PM","9:45 PM","1:35 PM","3:35 PM"
"23","4:47 AM","5:45 AM","6:25 AM","1:24 PM","1:45 PM","6:11 PM","6:30 PM","8:17 PM","9:25 PM","9:45 PM","1:35 PM","3:35 PM"
"24","4:45 AM","5:45 AM","6:23 AM","1:24 PM","1:45 PM","6:11 PM","6:30 PM","8:18 PM","9:26 PM","9:45 PM","1:35 PM","3:35 PM"
"25","4:43 AM","5:45 AM","6:22 AM","1:24 PM","1:45 PM","6:12 PM","6:30 PM","8:19 PM","9:27 PM","9:45 PM","1:35 PM","3:35 PM"
"26","4:42 AM","5:45 AM","6:20 AM","1:24 PM","1:45 PM","6:13 PM","6:30 PM","8:21 PM","9:28 PM","9:45 PM","1:35 PM","3:35 PM"
"27","4:40 AM","5:45 AM","6:19 AM","1:24 PM","1:45 PM","6:14 PM","6:30 PM","8:22 PM","9:29 PM","9:45 PM","1:35 PM","3:35 PM"
"28","4:38 AM","5:45 AM","6:17 AM","1:24 PM","1:45 PM","6:14 PM","6:30 PM","8:23 PM","9:30 PM","9:45 PM","1:35 PM","3:35 PM"
"29","4:37 AM","5:45 AM","6:16 AM","1:23 PM","1:45 PM","6:15 PM","6:30 PM","8:24 PM","9:31 PM","9:45 PM","1:35 PM","3:35 PM"
"30","4:35 AM","5:30 AM","6:14 AM","1:23 PM","1:45 PM","6:16 PM","6:30 PM","8:25 PM","9:31 PM","10:00 PM","1:35 PM","3:35 PM"
