"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:29 AM","5:15 AM","6:11 AM","1:32 PM","1:45 PM","6:33 PM","7:00 PM","8:47 PM","9:53 PM","10:15 PM","1:35 PM","3:35 PM"
"2","4:30 AM","5:15 AM","6:12 AM","1:32 PM","1:45 PM","6:32 PM","7:00 PM","8:46 PM","9:51 PM","10:15 PM","1:35 PM","3:35 PM"
"3","4:32 AM","5:15 AM","6:13 AM","1:32 PM","1:45 PM","6:32 PM","7:00 PM","8:45 PM","9:50 PM","10:15 PM","1:35 PM","3:35 PM"
"4","4:33 AM","5:15 AM","6:14 AM","1:32 PM","1:45 PM","6:31 PM","7:00 PM","8:43 PM","9:48 PM","10:15 PM","1:35 PM","3:35 PM"
"5","4:34 AM","5:15 AM","6:15 AM","1:32 PM","1:45 PM","6:30 PM","7:00 PM","8:42 PM","9:46 PM","10:15 PM","1:35 PM","3:35 PM"
"6","4:36 AM","5:15 AM","6:17 AM","1:32 PM","1:45 PM","6:29 PM","7:00 PM","8:41 PM","9:45 PM","10:15 PM","1:35 PM","3:35 PM"
"7","4:37 AM","5:15 AM","6:18 AM","1:32 PM","1:45 PM","6:28 PM","7:00 PM","8:39 PM","9:43 PM","10:15 PM","1:35 PM","3:35 PM"
"8","4:38 AM","5:15 AM","6:19 AM","1:32 PM","1:45 PM","6:27 PM","7:00 PM","8:38 PM","9:42 PM","10:15 PM","1:35 PM","3:35 PM"
"9","4:40 AM","5:15 AM","6:20 AM","1:32 PM","1:45 PM","6:27 PM","7:00 PM","8:37 PM","9:41 PM","10:15 PM","1:35 PM","3:35 PM"
"10","4:41 AM","5:30 AM","6:21 AM","1:31 PM","1:45 PM","6:26 PM","7:00 PM","8:35 PM","9:40 PM","10:00 PM","1:35 PM","3:35 PM"
"11","4:42 AM","5:30 AM","6:22 AM","1:31 PM","1:45 PM","6:25 PM","7:00 PM","8:34 PM","9:38 PM","10:00 PM","1:35 PM","3:35 PM"
"12","4:44 AM","5:30 AM","6:23 AM","1:31 PM","1:45 PM","6:24 PM","7:00 PM","8:32 PM","9:37 PM","10:00 PM","1:35 PM","3:35 PM"
"13","4:45 AM","5:30 AM","6:24 AM","1:31 PM","1:45 PM","6:23 PM","7:00 PM","8:31 PM","9:36 PM","10:00 PM","1:35 PM","3:35 PM"
"14","4:46 AM","5:30 AM","6:25 AM","1:31 PM","1:45 PM","6:22 PM","7:00 PM","8:29 PM","9:35 PM","10:00 PM","1:35 PM","3:35 PM"
"15","4:48 AM","5:30 AM","6:27 AM","1:31 PM","1:45 PM","6:21 PM","7:00 PM","8:28 PM","9:34 PM","10:00 PM","1:35 PM","3:35 PM"
"16","4:49 AM","5:30 AM","6:28 AM","1:30 PM","1:45 PM","6:20 PM","7:00 PM","8:26 PM","9:33 PM","10:00 PM","1:35 PM","3:35 PM"
"17","4:50 AM","5:30 AM","6:29 AM","1:30 PM","1:45 PM","6:19 PM","7:00 PM","8:25 PM","9:32 PM","10:00 PM","1:35 PM","3:35 PM"
"18","4:52 AM","5:30 AM","6:30 AM","1:30 PM","1:45 PM","6:17 PM","7:00 PM","8:23 PM","9:31 PM","10:00 PM","1:35 PM","3:35 PM"
"19","4:53 AM","5:30 AM","6:31 AM","1:30 PM","1:45 PM","6:16 PM","7:00 PM","8:22 PM","9:29 PM","10:00 PM","1:35 PM","3:35 PM"
"20","4:54 AM","5:45 AM","6:32 AM","1:29 PM","1:45 PM","6:15 PM","6:45 PM","8:20 PM","9:28 PM","9:45 PM","1:35 PM","3:35 PM"
"21","4:56 AM","5:45 AM","6:33 AM","1:29 PM","1:45 PM","6:14 PM","6:45 PM","8:18 PM","9:26 PM","9:45 PM","1:35 PM","3:35 PM"
"22","4:57 AM","5:45 AM","6:34 AM","1:29 PM","1:45 PM","6:13 PM","6:45 PM","8:17 PM","9:25 PM","9:45 PM","1:35 PM","3:35 PM"
"23","4:58 AM","5:45 AM","6:35 AM","1:29 PM","1:45 PM","6:12 PM","6:45 PM","8:15 PM","9:24 PM","9:45 PM","1:35 PM","3:35 PM"
"24","5:00 AM","5:45 AM","6:37 AM","1:28 PM","1:45 PM","6:10 PM","6:45 PM","8:14 PM","9:23 PM","9:45 PM","1:35 PM","3:35 PM"
"25","5:01 AM","5:45 AM","6:38 AM","1:28 PM","1:45 PM","6:09 PM","6:45 PM","8:12 PM","9:21 PM","9:45 PM","1:35 PM","3:35 PM"
