"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","6:04 AM","6:45 AM","7:38 AM","12:40 PM","1:45 PM","3:49 PM","4:00 PM","5:36 PM","6:59 PM","7:15 PM","1:35 PM","3:35 PM"
"2","6:03 AM","6:45 AM","7:37 AM","12:40 PM","1:45 PM","3:51 PM","4:00 PM","5:38 PM","7:00 PM","7:15 PM","1:35 PM","3:35 PM"
"3","6:02 AM","6:45 AM","7:36 AM","12:40 PM","1:45 PM","3:52 PM","4:00 PM","5:39 PM","7:01 PM","7:15 PM","1:35 PM","3:35 PM"
"4","6:00 AM","6:45 AM","7:35 AM","12:40 PM","1:45 PM","3:53 PM","4:00 PM","5:40 PM","7:02 PM","7:15 PM","1:35 PM","3:35 PM"
"5","5:59 AM","6:45 AM","7:33 AM","12:40 PM","1:45 PM","3:54 PM","4:00 PM","5:42 PM","7:03 PM","7:15 PM","1:35 PM","3:35 PM"
"6","5:58 AM","6:45 AM","7:32 AM","12:40 PM","1:45 PM","3:56 PM","4:00 PM","5:43 PM","7:04 PM","7:15 PM","1:35 PM","3:35 PM"
"7","5:57 AM","6:45 AM","7:31 AM","12:40 PM","1:45 PM","3:57 PM","4:00 PM","5:44 PM","7:06 PM","7:15 PM","1:35 PM","3:35 PM"
"8","5:56 AM","6:45 AM","7:30 AM","12:40 PM","1:45 PM","3:58 PM","4:00 PM","5:46 PM","7:07 PM","7:15 PM","1:35 PM","3:35 PM"
"9","5:55 AM","6:45 AM","7:28 AM","12:40 PM","1:45 PM","4:00 PM","4:00 PM","5:47 PM","7:08 PM","7:15 PM","1:35 PM","3:35 PM"
"10","5:53 AM","6:30 AM","7:27 AM","12:40 PM","1:45 PM","4:01 PM","4:30 PM","5:49 PM","7:09 PM","7:30 PM","1:35 PM","3:35 PM"
"11","5:52 AM","6:30 AM","7:26 AM","12:40 PM","1:45 PM","4:02 PM","4:30 PM","5:50 PM","7:10 PM","7:30 PM","1:35 PM","3:35 PM"
"12","5:51 AM","6:30 AM","7:24 AM","12:40 PM","1:45 PM","4:03 PM","4:30 PM","5:51 PM","7:11 PM","7:30 PM","1:35 PM","3:35 PM"
"13","5:50 AM","6:30 AM","7:23 AM","12:40 PM","1:45 PM","4:05 PM","4:30 PM","5:53 PM","7:12 PM","7:30 PM","1:35 PM","3:35 PM"
"14","5:48 AM","6:30 AM","7:22 AM","12:40 PM","1:45 PM","4:06 PM","4:30 PM","5:54 PM","7:14 PM","7:30 PM","1:35 PM","3:35 PM"
"15","5:47 AM","6:30 AM","7:20 AM","12:40 PM","1:45 PM","4:07 PM","4:30 PM","5:55 PM","7:15 PM","7:30 PM","1:35 PM","3:35 PM"
"16","5:46 AM","6:30 AM","7:19 AM","12:40 PM","1:45 PM","4:08 PM","4:30 PM","5:57 PM","7:16 PM","7:30 PM","1:35 PM","3:35 PM"
"17","5:44 AM","6:30 AM","7:17 AM","12:40 PM","1:45 PM","4:10 PM","4:30 PM","5:58 PM","7:17 PM","7:30 PM","1:35 PM","3:35 PM"
"18","5:43 AM","6:30 AM","7:16 AM","12:40 PM","1:45 PM","4:11 PM","4:30 PM","5:59 PM","7:18 PM","7:30 PM","1:35 PM","3:35 PM"
"19","5:41 AM","6:30 AM","7:14 AM","12:40 PM","1:45 PM","4:12 PM","4:30 PM","6:01 PM","7:19 PM","7:30 PM","1:35 PM","3:35 PM"
"20","5:40 AM","6:15 AM","7:13 AM","12:40 PM","1:45 PM","4:13 PM","4:30 PM","6:02 PM","7:20 PM","7:45 PM","1:35 PM","3:35 PM"
"21","5:39 AM","6:15 AM","7:11 AM","12:40 PM","1:45 PM","4:15 PM","4:30 PM","6:03 PM","7:21 PM","7:45 PM","1:35 PM","3:35 PM"
"22","5:37 AM","6:15 AM","7:10 AM","12:40 PM","1:45 PM","4:16 PM","4:30 PM","6:05 PM","7:23 PM","7:45 PM","1:35 PM","3:35 PM"
"23","5:36 AM","6:15 AM","7:08 AM","12:39 PM","1:45 PM","4:17 PM","4:30 PM","6:06 PM","7:24 PM","7:45 PM","1:35 PM","3:35 PM"
"24","5:34 AM","6:15 AM","7:07 AM","12:39 PM","1:45 PM","4:18 PM","4:30 PM","6:07 PM","7:25 PM","7:45 PM","1:35 PM","3:35 PM"
"25","5:33 AM","6:15 AM","7:05 AM","12:39 PM","1:45 PM","4:19 PM","4:30 PM","6:08 PM","7:26 PM","7:45 PM","1:35 PM","3:35 PM"
"26","5:31 AM","6:15 AM","7:03 AM","12:39 PM","1:45 PM","4:20 PM","4:30 PM","6:10 PM","7:27 PM","7:45 PM","1:35 PM","3:35 PM"
"27","5:29 AM","6:15 AM","7:02 AM","12:39 PM","1:45 PM","4:22 PM","4:30 PM","6:11 PM","7:28 PM","7:45 PM","1:35 PM","3:35 PM"
"28","5:28 AM","6:15 AM","7:00 AM","12:39 PM","1:45 PM","4:23 PM","4:30 PM","6:12 PM","7:30 PM","7:45 PM","1:35 PM","3:35 PM"
"29","5:27 AM","6:15 AM","6:59 AM","12:39 PM","1:45 PM","4:24 PM","4:45 PM","6:13 PM","7:30 PM","8:00 PM","1:35 PM","3:25 PM"
