"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","6:24 AM","6:45 AM","7:57 AM","1:10 PM","1:45 PM","4:29 PM","5:00 PM","6:15 PM","7:36 PM","8:00 PM","1:35 PM","3:35 PM"
"2","6:25 AM","6:45 AM","7:59 AM","1:10 PM","1:45 PM","4:28 PM","5:00 PM","6:14 PM","7:35 PM","8:00 PM","1:35 PM","3:35 PM"
"3","6:26 AM","6:45 AM","8:00 AM","1:10 PM","1:45 PM","4:27 PM","5:00 PM","6:12 PM","7:34 PM","8:00 PM","1:35 PM","3:35 PM"
"4","5:27 AM","6:00 AM","7:01 AM","12:10 PM","1:45 PM","3:26 PM","4:00 PM","5:11 PM","6:33 PM","7:00 PM","1:35 PM","2:50 PM"
"5","5:28 AM","6:00 AM","7:02 AM","12:10 PM","1:45 PM","3:24 PM","4:00 PM","5:10 PM","6:32 PM","7:00 PM","1:35 PM","2:50 PM"
"6","5:30 AM","6:00 AM","7:04 AM","12:10 PM","1:45 PM","3:23 PM","4:00 PM","5:09 PM","6:31 PM","7:00 PM","1:35 PM","2:50 PM"
"7","5:31 AM","6:00 AM","7:05 AM","12:10 PM","1:45 PM","3:22 PM","4:00 PM","5:07 PM","6:30 PM","7:00 PM","1:35 PM","2:50 PM"
"8","5:32 AM","6:00 AM","7:06 AM","12:10 PM","1:45 PM","3:21 PM","4:00 PM","5:06 PM","6:29 PM","7:00 PM","1:35 PM","2:50 PM"
"9","5:33 AM","6:00 AM","7:08 AM","12:10 PM","1:45 PM","3:20 PM","4:00 PM","5:05 PM","6:28 PM","7:00 PM","1:35 PM","2:50 PM"
"10","5:35 AM","6:15 AM","7:09 AM","12:10 PM","1:45 PM","3:19 PM","3:45 PM","5:04 PM","6:28 PM","7:00 PM","1:35 PM","2:50 PM"
"11","5:36 AM","6:15 AM","7:10 AM","12:10 PM","1:45 PM","3:18 PM","3:45 PM","5:03 PM","6:27 PM","7:00 PM","1:35 PM","2:50 PM"
"12","5:37 AM","6:15 AM","7:12 AM","12:10 PM","1:45 PM","3:17 PM","3:45 PM","5:01 PM","6:26 PM","7:00 PM","1:35 PM","2:50 PM"
"13","5:38 AM","6:15 AM","7:13 AM","12:10 PM","1:45 PM","3:16 PM","3:45 PM","5:00 PM","6:25 PM","7:00 PM","1:35 PM","2:50 PM"
"14","5:39 AM","6:15 AM","7:14 AM","12:10 PM","1:45 PM","3:15 PM","3:45 PM","4:59 PM","6:24 PM","7:00 PM","1:35 PM","2:50 PM"
"15","5:41 AM","6:15 AM","7:15 AM","12:11 PM","1:45 PM","3:14 PM","3:45 PM","4:59 PM","6:24 PM","7:00 PM","1:35 PM","2:50 PM"
"16","5:42 AM","6:15 AM","7:17 AM","12:11 PM","1:45 PM","3:13 PM","3:45 PM","4:58 PM","6:23 PM","7:00 PM","1:35 PM","2:50 PM"
"17","5:43 AM","6:15 AM","7:18 AM","12:11 PM","1:45 PM","3:12 PM","3:45 PM","4:57 PM","6:22 PM","7:00 PM","1:35 PM","2:50 PM"
"18","5:44 AM","6:15 AM","7:19 AM","12:11 PM","1:45 PM","3:11 PM","3:45 PM","4:56 PM","6:22 PM","7:00 PM","1:35 PM","2:50 PM"
"19","5:45 AM","6:15 AM","7:21 AM","12:11 PM","1:45 PM","3:11 PM","3:45 PM","4:55 PM","6:21 PM","7:00 PM","1:35 PM","2:50 PM"
"20","5:47 AM","6:30 AM","7:22 AM","12:12 PM","1:45 PM","3:10 PM","3:45 PM","4:54 PM","6:21 PM","7:00 PM","1:35 PM","2:50 PM"
"21","5:48 AM","6:30 AM","7:23 AM","12:12 PM","1:45 PM","3:09 PM","3:45 PM","4:54 PM","6:20 PM","7:00 PM","1:35 PM","2:50 PM"
"22","5:49 AM","6:30 AM","7:24 AM","12:12 PM","1:45 PM","3:08 PM","3:45 PM","4:53 PM","6:20 PM","7:00 PM","1:35 PM","2:50 PM"
"23","5:50 AM","6:30 AM","7:25 AM","12:12 PM","1:45 PM","3:08 PM","3:45 PM","4:52 PM","6:19 PM","7:00 PM","1:35 PM","2:50 PM"
"24","5:51 AM","6:30 AM","7:27 AM","12:13 PM","1:45 PM","3:07 PM","3:45 PM","4:52 PM","6:19 PM","7:00 PM","1:35 PM","2:50 PM"
"25","5:52 AM","6:30 AM","7:28 AM","12:13 PM","1:45 PM","3:07 PM","3:45 PM","4:51 PM","6:18 PM","7:00 PM","1:35 PM","2:50 PM"
"26","5:53 AM","6:30 AM","7:29 AM","12:13 PM","1:45 PM","3:06 PM","3:45 PM","4:51 PM","6:18 PM","7:00 PM","1:35 PM","2:50 PM"
"27","5:54 AM","6:30 AM","7:30 AM","12:14 PM","1:45 PM","3:05 PM","3:45 PM","4:50 PM","6:18 PM","7:00 PM","1:35 PM","2:50 PM"
"28","5:56 AM","6:30 AM","7:31 AM","12:14 PM","1:45 PM","3:05 PM","3:45 PM","4:50 PM","6:18 PM","7:00 PM","1:35 PM","2:50 PM"
"29","5:57 AM","6:30 AM","7:33 AM","12:14 PM","1:45 PM","3:05 PM","3:45 PM","4:49 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
"30","5:58 AM","6:45 AM","7:34 AM","12:15 PM","1:45 PM","3:04 PM","3:45 PM","4:49 PM","6:17 PM","7:00 PM","1:35 PM","2:50 PM"
