"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:11 AM","6:00 AM","6:45 AM","1:26 PM","1:45 PM","6:00 PM","6:30 PM","8:00 PM","9:08 PM","9:30 PM","1:35 PM","3:35 PM"
"2","5:12 AM","6:00 AM","6:47 AM","1:26 PM","1:45 PM","5:59 PM","6:30 PM","7:58 PM","9:07 PM","9:30 PM","1:35 PM","3:35 PM"
"3","5:13 AM","6:00 AM","6:48 AM","1:25 PM","1:45 PM","5:57 PM","6:30 PM","7:56 PM","9:05 PM","9:30 PM","1:35 PM","3:35 PM"
"4","5:15 AM","6:00 AM","6:49 AM","1:25 PM","1:45 PM","5:56 PM","6:30 PM","7:55 PM","9:03 PM","9:30 PM","1:35 PM","3:35 PM"
"5","5:16 AM","6:00 AM","6:50 AM","1:25 PM","1:45 PM","5:55 PM","6:30 PM","7:53 PM","9:02 PM","9:30 PM","1:35 PM","3:35 PM"
"6","5:17 AM","6:00 AM","6:51 AM","1:24 PM","1:45 PM","5:53 PM","6:30 PM","7:51 PM","9:00 PM","9:30 PM","1:35 PM","3:35 PM"
"7","5:19 AM","6:00 AM","6:52 AM","1:24 PM","1:45 PM","5:52 PM","6:30 PM","7:49 PM","8:59 PM","9:30 PM","1:35 PM","3:35 PM"
"8","5:20 AM","6:00 AM","6:53 AM","1:24 PM","1:45 PM","5:50 PM","6:30 PM","7:47 PM","8:57 PM","9:30 PM","1:35 PM","3:35 PM"
"9","5:21 AM","6:00 AM","6:54 AM","1:23 PM","1:45 PM","5:49 PM","6:30 PM","7:46 PM","8:55 PM","9:30 PM","1:35 PM","3:35 PM"
"10","5:23 AM","6:15 AM","6:55 AM","1:23 PM","1:45 PM","5:48 PM","6:15 PM","7:44 PM","8:54 PM","9:15 PM","1:35 PM","3:35 PM"
"11","5:24 AM","6:15 AM","6:57 AM","1:23 PM","1:45 PM","5:46 PM","6:15 PM","7:42 PM","8:52 PM","9:15 PM","1:35 PM","3:35 PM"
"12","5:25 AM","6:15 AM","6:58 AM","1:22 PM","1:45 PM","5:45 PM","6:15 PM","7:40 PM","8:51 PM","9:15 PM","1:35 PM","3:35 PM"
"13","5:27 AM","6:15 AM","6:59 AM","1:22 PM","1:45 PM","5:43 PM","6:15 PM","7:38 PM","8:49 PM","9:15 PM","1:35 PM","3:35 PM"
"14","5:28 AM","6:15 AM","7:00 AM","1:22 PM","1:45 PM","5:42 PM","6:15 PM","7:37 PM","8:47 PM","9:15 PM","1:35 PM","3:35 PM"
"15","5:29 AM","6:15 AM","7:01 AM","1:21 PM","1:45 PM","5:40 PM","6:15 PM","7:35 PM","8:46 PM","9:15 PM","1:35 PM","3:35 PM"
"16","5:31 AM","6:15 AM","7:02 AM","1:21 PM","1:45 PM","5:39 PM","6:15 PM","7:33 PM","8:44 PM","9:15 PM","1:35 PM","3:35 PM"
"17","5:32 AM","6:15 AM","7:03 AM","1:21 PM","1:45 PM","5:37 PM","6:15 PM","7:31 PM","8:42 PM","9:15 PM","1:35 PM","3:35 PM"
"18","5:33 AM","6:15 AM","7:04 AM","1:20 PM","1:45 PM","5:36 PM","6:15 PM","7:29 PM","8:41 PM","9:15 PM","1:35 PM","3:35 PM"
"19","5:35 AM","6:15 AM","7:05 AM","1:20 PM","1:45 PM","5:34 PM","6:15 PM","7:27 PM","8:39 PM","9:15 PM","1:35 PM","3:35 PM"
"20","5:36 AM","6:30 AM","7:07 AM","1:20 PM","1:45 PM","5:32 PM","6:00 PM","7:26 PM","8:38 PM","9:00 PM","1:35 PM","3:35 PM"
"21","5:37 AM","6:30 AM","7:08 AM","1:19 PM","1:45 PM","5:31 PM","6:00 PM","7:24 PM","8:36 PM","9:00 PM","1:35 PM","3:35 PM"
"22","5:38 AM","6:30 AM","7:09 AM","1:19 PM","1:45 PM","5:29 PM","6:00 PM","7:22 PM","8:34 PM","9:00 PM","1:35 PM","3:35 PM"
"23","5:39 AM","6:30 AM","7:10 AM","1:18 PM","1:45 PM","5:28 PM","6:00 PM","7:20 PM","8:33 PM","9:00 PM","1:35 PM","3:35 PM"
"24","5:41 AM","6:30 AM","7:11 AM","1:18 PM","1:45 PM","5:26 PM","6:00 PM","7:18 PM","8:31 PM","9:00 PM","1:35 PM","3:35 PM"
"25","5:42 AM","6:30 AM","7:12 AM","1:18 PM","1:45 PM","5:25 PM","6:00 PM","7:16 PM","8:29 PM","9:00 PM","1:35 PM","3:35 PM"
"26","5:43 AM","6:30 AM","7:13 AM","1:17 PM","1:45 PM","5:23 PM","6:00 PM","7:15 PM","8:28 PM","9:00 PM","1:35 PM","3:35 PM"
"27","5:44 AM","6:30 AM","7:15 AM","1:17 PM","1:45 PM","5:22 PM","6:00 PM","7:13 PM","8:26 PM","9:00 PM","1:35 PM","3:35 PM"
"28","5:45 AM","6:30 AM","7:16 AM","1:17 PM","1:45 PM","5:20 PM","6:00 PM","7:11 PM","8:25 PM","9:00 PM","1:35 PM","3:35 PM"
"29","5:46 AM","6:30 AM","7:17 AM","1:16 PM","1:45 PM","5:18 PM","6:00 PM","7:09 PM","8:23 PM","9:00 PM","1:35 PM","3:35 PM"
"30","5:47 AM","6:45 AM","7:18 AM","1:16 PM","1:45 PM","5:17 PM","5:45 PM","7:07 PM","8:21 PM","8:45 PM","1:35 PM","3:35 PM"
