"Day","Fajr Begins","Fajr Iqama","Sunrise","Dhur Begins","Dhur Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","4:06 AM","5:30 AM","6:07 AM","1:24 PM","1:45 PM","6:29 PM","7:00 PM","8:40 PM","10:16 PM","10:25 PM","2:00 PM","3:20 PM"
"2","4:08 AM","5:30 AM","6:08 AM","1:24 PM","1:45 PM","6:29 PM","7:00 PM","8:39 PM","10:14 PM","10:25 PM","2:00 PM","3:20 PM"
"3","4:10 AM","5:30 AM","6:09 AM","1:24 PM","1:45 PM","6:28 PM","7:00 PM","8:38 PM","10:13 PM","10:25 PM","2:00 PM","3:20 PM"
"4","4:12 AM","5:30 AM","6:10 AM","1:24 PM","1:45 PM","6:27 PM","7:00 PM","8:37 PM","10:11 PM","10:25 PM","2:00 PM","3:20 PM"
"5","4:13 AM","5:30 AM","6:11 AM","1:24 PM","1:45 PM","6:26 PM","7:00 PM","8:35 PM","10:09 PM","10:25 PM","2:00 PM","3:20 PM"
"6","4:15 AM","5:30 AM","6:12 AM","1:23 PM","1:45 PM","6:25 PM","7:00 PM","8:34 PM","10:07 PM","10:25 PM","2:00 PM","3:20 PM"
"7","4:17 AM","5:30 AM","6:12 AM","1:23 PM","1:45 PM","6:25 PM","7:00 PM","8:33 PM","10:05 PM","10:25 PM","2:00 PM","3:20 PM"
"8","4:19 AM","5:30 AM","6:14 AM","1:23 PM","1:45 PM","6:24 PM","7:00 PM","8:31 PM","10:04 PM","10:25 PM","2:00 PM","3:20 PM"
"9","4:21 AM","5:30 AM","6:15 AM","1:23 PM","1:45 PM","6:23 PM","7:00 PM","8:30 PM","10:02 PM","10:25 PM","2:00 PM","3:20 PM"
"10","4:22 AM","5:30 AM","6:16 AM","1:23 PM","1:45 PM","6:22 PM","7:00 PM","8:29 PM","10:00 PM","10:25 PM","2:00 PM","3:20 PM"
"11","4:24 AM","5:45 AM","6:18 AM","1:23 PM","1:45 PM","6:21 PM","6:45 PM","8:27 PM","9:58 PM","10:10 PM","2:00 PM","3:20 PM"
"12","4:26 AM","5:45 AM","6:19 AM","1:23 PM","1:45 PM","6:20 PM","6:45 PM","8:26 PM","9:56 PM","10:10 PM","2:00 PM","3:20 PM"
"13","4:28 AM","5:45 AM","6:20 AM","1:22 PM","1:45 PM","6:19 PM","6:45 PM","8:24 PM","9:54 PM","10:10 PM","2:00 PM","3:20 PM"
"14","4:29 AM","5:45 AM","6:21 AM","1:22 PM","1:45 PM","6:18 PM","6:45 PM","8:23 PM","9:52 PM","10:10 PM","2:00 PM","3:20 PM"
"15","4:31 AM","5:45 AM","6:22 AM","1:22 PM","1:45 PM","6:17 PM","6:45 PM","8:21 PM","9:50 PM","10:10 PM","2:00 PM","3:20 PM"
"16","4:33 AM","5:45 AM","6:23 AM","1:22 PM","1:45 PM","6:16 PM","6:45 PM","8:20 PM","9:48 PM","10:10 PM","2:00 PM","3:20 PM"
"17","4:34 AM","5:45 AM","6:24 AM","1:22 PM","1:45 PM","6:15 PM","6:45 PM","8:18 PM","9:46 PM","10:10 PM","2:00 PM","3:20 PM"
"18","4:36 AM","5:45 AM","6:25 AM","1:21 PM","1:45 PM","6:14 PM","6:45 PM","8:17 PM","9:44 PM","10:10 PM","2:00 PM","3:20 PM"
"19","4:38 AM","5:45 AM","6:27 AM","1:21 PM","1:45 PM","6:12 PM","6:45 PM","8:15 PM","9:42 PM","10:10 PM","2:00 PM","3:20 PM"
"20","4:39 AM","5:45 AM","6:28 AM","1:21 PM","1:45 PM","6:11 PM","6:45 PM","8:13 PM","9:41 PM","10:10 PM","2:00 PM","3:20 PM"
"21","4:41 AM","6:00 AM","6:29 AM","1:21 PM","1:45 PM","6:10 PM","6:30 PM","8:12 PM","9:39 PM","9:50 PM","2:00 PM","3:20 PM"
"22","4:43 AM","6:00 AM","6:30 AM","1:20 PM","1:45 PM","6:09 PM","6:30 PM","8:10 PM","9:37 PM","9:50 PM","2:00 PM","3:20 PM"
"23","4:44 AM","6:00 AM","6:31 AM","1:20 PM","1:45 PM","6:08 PM","6:30 PM","8:09 PM","9:35 PM","9:50 PM","2:00 PM","3:20 PM"
"24","4:46 AM","6:00 AM","6:32 AM","1:20 PM","1:45 PM","6:07 PM","6:30 PM","8:07 PM","9:33 PM","9:50 PM","2:00 PM","3:20 PM"
"25","4:48 AM","6:00 AM","6:33 AM","1:20 PM","1:45 PM","6:05 PM","6:30 PM","8:05 PM","9:30 PM","9:50 PM","2:00 PM","3:20 PM"
"26","4:49 AM","6:00 AM","6:34 AM","1:19 PM","1:45 PM","6:04 PM","6:30 PM","8:03 PM","9:28 PM","9:50 PM","2:00 PM","3:20 PM"
"27","4:51 AM","6:00 AM","6:36 AM","1:19 PM","1:45 PM","6:03 PM","6:30 PM","8:02 PM","9:26 PM","9:50 PM","2:00 PM","3:20 PM"
"28","4:52 AM","6:00 AM","6:37 AM","1:19 PM","1:45 PM","6:01 PM","6:30 PM","8:00 PM","9:24 PM","9:50 PM","2:00 PM","3:20 PM"
"29","4:54 AM","6:00 AM","6:38 AM","1:18 PM","1:45 PM","6:00 PM","6:30 PM","7:58 PM","9:22 PM","9:50 PM","2:00 PM","3:20 PM"
"30","4:55 AM","6:00 AM","6:39 AM","1:18 PM","1:45 PM","5:59 PM","6:30 PM","7:57 PM","9:20 PM","9:50 PM","2:00 PM","3:20 PM"
"31","4:57 AM","6:00 AM","6:40 AM","1:18 PM","1:45 PM","5:58 PM","6:30 PM","7:55 PM","9:18 PM","9:50 PM","2:00 PM","3:20 PM"
