"Day","Fajr Begins","Fajr Iqama","Sunrise","Dhur Begins","Dhur Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:39 AM","6:30 AM","7:15 AM","1:07 PM","1:45 PM","5:11 PM","5:20 PM","6:59 PM","8:17 PM","8:30 PM","2:00 PM","3:20 PM"
"2","5:41 AM","6:30 AM","7:16 AM","1:07 PM","1:45 PM","5:09 PM","5:20 PM","6:57 PM","8:15 PM","8:30 PM","2:00 PM","3:20 PM"
"3","5:42 AM","6:30 AM","7:17 AM","1:07 PM","1:45 PM","5:08 PM","5:20 PM","6:55 PM","8:14 PM","8:30 PM","2:00 PM","3:20 PM"
"4","5:43 AM","6:30 AM","7:18 AM","1:06 PM","1:45 PM","5:06 PM","5:20 PM","6:53 PM","8:12 PM","8:30 PM","2:00 PM","3:20 PM"
"5","5:44 AM","6:30 AM","7:20 AM","1:06 PM","1:45 PM","5:05 PM","5:20 PM","6:52 PM","8:10 PM","8:30 PM","2:00 PM","3:20 PM"
"6","5:45 AM","6:30 AM","7:21 AM","1:06 PM","1:45 PM","5:03 PM","5:20 PM","6:50 PM","8:08 PM","8:30 PM","2:10 PM","3:20 PM"
"7","5:47 AM","6:30 AM","7:22 AM","1:05 PM","1:45 PM","5:02 PM","5:20 PM","6:48 PM","8:06 PM","8:30 PM","2:10 PM","3:20 PM"
"8","5:48 AM","6:30 AM","7:23 AM","1:05 PM","1:45 PM","5:00 PM","5:20 PM","6:46 PM","8:05 PM","8:30 PM","2:10 PM","3:20 PM"
"9","5:49 AM","6:30 AM","7:24 AM","1:05 PM","1:45 PM","4:58 PM","5:20 PM","6:44 PM","8:03 PM","8:30 PM","2:10 PM","3:20 PM"
"10","5:50 AM","6:30 AM","7:26 AM","1:05 PM","1:45 PM","4:57 PM","5:20 PM","6:43 PM","8:01 PM","8:30 PM","2:10 PM","3:20 PM"
"11","5:51 AM","6:30 AM","7:27 AM","1:04 PM","1:45 PM","4:55 PM","5:10 PM","6:41 PM","8:00 PM","8:15 PM","2:10 PM","3:20 PM"
"12","5:53 AM","6:30 AM","7:28 AM","1:04 PM","1:45 PM","4:54 PM","5:10 PM","6:39 PM","7:58 PM","8:15 PM","2:10 PM","3:20 PM"
"13","5:54 AM","6:30 AM","7:29 AM","1:04 PM","1:45 PM","4:52 PM","5:10 PM","6:38 PM","7:56 PM","8:15 PM","2:10 PM","3:20 PM"
"14","5:55 AM","6:30 AM","7:30 AM","1:04 PM","1:45 PM","4:51 PM","5:10 PM","6:36 PM","7:55 PM","8:15 PM","2:10 PM","3:20 PM"
"15","5:56 AM","6:30 AM","7:32 AM","1:03 PM","1:45 PM","4:49 PM","5:10 PM","6:34 PM","7:53 PM","8:15 PM","2:10 PM","3:20 PM"
