"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:19 AM","6:30 AM","6:59 AM","1:21 PM","1:45 PM","5:49 PM","7:10 PM","7:43 PM","9:23 PM","9:45 PM","1:50 PM","3:35 PM"
"2","5:17 AM","6:30 AM","6:57 AM","1:20 PM","1:45 PM","5:50 PM","7:10 PM","7:45 PM","9:24 PM","9:45 PM","1:50 PM","3:35 PM"
"3","5:15 AM","6:30 AM","6:55 AM","1:20 PM","1:45 PM","5:51 PM","7:10 PM","7:46 PM","9:26 PM","9:45 PM","1:50 PM","3:35 PM"
"4","5:13 AM","6:30 AM","6:53 AM","1:20 PM","1:45 PM","5:52 PM","7:10 PM","7:47 PM","9:27 PM","9:45 PM","1:50 PM","3:35 PM"
"5","5:11 AM","6:30 AM","6:52 AM","1:19 PM","1:45 PM","5:53 PM","7:10 PM","7:48 PM","9:29 PM","9:55 PM","1:50 PM","3:35 PM"
"6","5:09 AM","6:15 AM","6:50 AM","1:19 PM","1:45 PM","5:54 PM","7:15 PM","7:49 PM","9:30 PM","9:55 PM","1:50 PM","3:35 PM"
"7","5:07 AM","6:15 AM","6:48 AM","1:19 PM","1:45 PM","5:54 PM","7:15 PM","7:51 PM","9:32 PM","9:55 PM","1:50 PM","3:35 PM"
"8","5:05 AM","6:15 AM","6:46 AM","1:19 PM","1:45 PM","5:55 PM","7:15 PM","7:52 PM","9:33 PM","9:55 PM","1:50 PM","3:35 PM"
"9","5:03 AM","6:15 AM","6:45 AM","1:18 PM","1:45 PM","5:56 PM","7:15 PM","7:53 PM","9:35 PM","9:55 PM","1:50 PM","3:35 PM"
"10","5:01 AM","6:15 AM","6:43 AM","1:18 PM","1:45 PM","5:57 PM","7:15 PM","7:54 PM","9:37 PM","9:55 PM","1:50 PM","3:35 PM"
"11","4:58 AM","6:15 AM","6:41 AM","1:18 PM","1:45 PM","5:58 PM","7:15 PM","7:55 PM","9:38 PM","9:55 PM","1:50 PM","3:35 PM"
"12","4:56 AM","6:15 AM","6:39 AM","1:18 PM","1:45 PM","5:58 PM","7:15 PM","7:56 PM","9:40 PM","9:55 PM","1:50 PM","3:35 PM"
"13","4:54 AM","6:05 AM","6:38 AM","1:17 PM","1:45 PM","5:59 PM","7:15 PM","7:58 PM","9:42 PM","9:55 PM","1:50 PM","3:35 PM"
"14","4:52 AM","6:05 AM","6:36 AM","1:17 PM","1:45 PM","6:00 PM","7:15 PM","7:59 PM","9:43 PM","9:55 PM","1:50 PM","3:35 PM"
"15","4:50 AM","6:05 AM","6:34 AM","1:17 PM","1:45 PM","6:01 PM","7:15 PM","8:00 PM","9:45 PM","9:55 PM","1:50 PM","3:35 PM"
"16","4:48 AM","6:05 AM","6:33 AM","1:17 PM","1:45 PM","6:01 PM","7:15 PM","8:01 PM","9:46 PM","9:55 PM","1:50 PM","3:35 PM"
"17","4:46 AM","6:05 AM","6:31 AM","1:16 PM","1:45 PM","6:02 PM","7:15 PM","8:02 PM","9:48 PM","9:55 PM","1:50 PM","3:35 PM"
"18","4:43 AM","6:05 AM","6:29 AM","1:16 PM","1:45 PM","6:03 PM","7:15 PM","8:04 PM","9:50 PM","9:55 PM","1:50 PM","3:35 PM"
"19","4:41 AM","6:05 AM","6:28 AM","1:16 PM","1:45 PM","6:04 PM","7:15 PM","8:05 PM","9:52 PM","9:55 PM","1:50 PM","3:35 PM"
"20","4:39 AM","5:55 AM","6:26 AM","1:16 PM","1:45 PM","6:04 PM","7:15 PM","8:06 PM","9:53 PM","9:55 PM","1:50 PM","3:35 PM"
"21","4:37 AM","5:55 AM","6:24 AM","1:15 PM","1:45 PM","6:05 PM","7:15 PM","8:07 PM","9:55 PM","9:55 PM","1:50 PM","3:35 PM"
"22","4:35 AM","5:55 AM","6:23 AM","1:15 PM","1:45 PM","6:06 PM","7:15 PM","8:08 PM","9:57 PM","9:55 PM","1:50 PM","3:35 PM"
"23","4:33 AM","5:55 AM","6:21 AM","1:15 PM","1:45 PM","6:07 PM","7:15 PM","8:10 PM","9:58 PM","9:55 PM","1:50 PM","3:35 PM"
"24","4:31 AM","5:55 AM","6:20 AM","1:15 PM","1:45 PM","6:07 PM","7:15 PM","8:11 PM","10:00 PM","9:55 PM","1:50 PM","3:35 PM"
"25","4:29 AM","5:55 AM","6:18 AM","1:15 PM","1:45 PM","6:08 PM","7:15 PM","8:12 PM","10:02 PM","9:55 PM","1:50 PM","3:35 PM"
"26","4:26 AM","5:45 AM","6:17 AM","1:15 PM","1:45 PM","6:09 PM","7:15 PM","8:13 PM","10:04 PM","10:10 PM","1:50 PM","3:35 PM"
"27","4:24 AM","5:45 AM","6:15 AM","1:14 PM","1:45 PM","6:09 PM","7:15 PM","8:14 PM","10:06 PM","10:10 PM","1:50 PM","3:35 PM"
"28","4:22 AM","5:45 AM","6:14 AM","1:14 PM","1:45 PM","6:10 PM","7:15 PM","8:16 PM","10:07 PM","10:10 PM","1:50 PM","3:35 PM"
"29","4:20 AM","5:45 AM","6:12 AM","1:14 PM","1:45 PM","6:11 PM","7:15 PM","8:17 PM","10:09 PM","10:10 PM","1:50 PM","3:35 PM"
"30","4:18 AM","5:45 AM","6:11 AM","1:14 PM","1:45 PM","6:12 PM","7:15 PM","8:18 PM","10:11 PM","10:10 PM","1:50 PM","3:35 PM"
