"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","3:49 AM","5:10 AM","5:38 AM","1:21 PM","1:45 PM","6:40 PM","8:00 PM","9:03 PM","11:24 PM","11:05 PM","1:50 PM","3:35 PM"
"2","3:49 AM","5:10 AM","5:39 AM","1:21 PM","1:45 PM","6:40 PM","8:00 PM","9:02 PM","11:23 PM","11:05 PM","1:50 PM","3:35 PM"
"3","3:50 AM","5:10 AM","5:40 AM","1:21 PM","1:45 PM","6:40 PM","8:00 PM","9:02 PM","11:23 PM","11:05 PM","1:50 PM","3:35 PM"
"4","3:51 AM","5:10 AM","5:40 AM","1:21 PM","1:45 PM","6:40 PM","8:00 PM","9:02 PM","11:22 PM","11:05 PM","1:50 PM","3:35 PM"
"5","3:52 AM","5:10 AM","5:41 AM","1:21 PM","1:45 PM","6:40 PM","8:00 PM","9:02 PM","11:21 PM","11:05 PM","1:50 PM","3:35 PM"
"6","3:53 AM","5:55 AM","5:42 AM","1:21 PM","1:45 PM","6:40 PM","7:15 PM","9:01 PM","11:20 PM","9:55 PM","1:50 PM","3:35 PM"
"7","3:54 AM","5:55 AM","5:42 AM","1:22 PM","1:45 PM","6:40 PM","7:15 PM","9:01 PM","11:19 PM","9:55 PM","1:50 PM","3:35 PM"
"8","3:55 AM","5:55 AM","5:43 AM","1:22 PM","1:45 PM","6:40 PM","7:15 PM","9:00 PM","11:18 PM","9:55 PM","1:50 PM","3:35 PM"
"9","3:56 AM","5:55 AM","5:44 AM","1:22 PM","1:45 PM","6:40 PM","7:15 PM","9:00 PM","11:17 PM","9:55 PM","1:50 PM","3:35 PM"
"10","3:57 AM","5:55 AM","5:44 AM","1:22 PM","1:45 PM","6:39 PM","7:15 PM","9:00 PM","11:16 PM","9:55 PM","1:50 PM","3:35 PM"
"11","3:59 AM","5:55 AM","5:45 AM","1:22 PM","1:45 PM","6:39 PM","7:15 PM","8:59 PM","11:15 PM","9:55 PM","1:50 PM","3:35 PM"
"12","4:00 AM","5:55 AM","5:46 AM","1:22 PM","1:45 PM","6:39 PM","7:15 PM","8:58 PM","11:14 PM","9:55 PM","1:50 PM","3:35 PM"
"13","4:01 AM","5:55 AM","5:47 AM","1:22 PM","1:45 PM","6:39 PM","7:15 PM","8:58 PM","11:12 PM","9:55 PM","1:50 PM","3:35 PM"
"14","4:02 AM","5:55 AM","5:48 AM","1:23 PM","1:45 PM","6:38 PM","7:15 PM","8:57 PM","11:11 PM","9:55 PM","1:50 PM","3:35 PM"
"15","4:04 AM","5:55 AM","5:48 AM","1:23 PM","1:45 PM","6:38 PM","7:15 PM","8:57 PM","11:10 PM","9:55 PM","1:50 PM","3:35 PM"
"16","4:05 AM","5:55 AM","5:49 AM","1:23 PM","1:45 PM","6:38 PM","7:15 PM","8:56 PM","11:08 PM","9:55 PM","1:50 PM","3:35 PM"
"17","4:06 AM","5:55 AM","5:50 AM","1:23 PM","1:45 PM","6:37 PM","7:15 PM","8:55 PM","11:07 PM","9:55 PM","1:50 PM","3:35 PM"
"18","4:08 AM","5:55 AM","5:51 AM","1:23 PM","1:45 PM","6:37 PM","7:15 PM","8:54 PM","11:05 PM","9:55 PM","1:50 PM","3:35 PM"
"19","4:09 AM","5:25 AM","5:52 AM","1:23 PM","1:45 PM","6:37 PM","7:45 PM","8:54 PM","11:04 PM","10:50 PM","1:50 PM","3:30 pm"
"20","4:11 AM","5:25 AM","5:53 AM","1:23 PM","1:45 PM","6:36 PM","7:45 PM","8:53 PM","11:02 PM","10:45 PM","1:50 PM","3:30 pm"
"21","4:12 AM","5:30 AM","5:54 AM","1:23 PM","1:45 PM","6:36 PM","7:45 PM","8:52 PM","11:01 PM","10:45 PM","1:50 PM","3:30 pm"
"22","4:13 AM","5:30 AM","5:55 AM","1:23 PM","1:45 PM","6:35 PM","7:45 PM","8:51 PM","10:59 PM","10:45 PM","1:50 PM","3:30 pm"
"23","4:15 AM","5:30 AM","5:56 AM","1:23 PM","1:45 PM","6:35 PM","7:45 PM","8:50 PM","10:57 PM","10:45 PM","1:50 PM","3:30 pm"
"24","4:16 AM","5:30 AM","5:57 AM","1:23 PM","1:45 PM","6:34 PM","7:45 PM","8:49 PM","10:55 PM","10:45 PM","1:50 PM","3:30 pm"
"25","4:18 AM","5:30 AM","5:58 AM","1:23 PM","1:45 PM","6:34 PM","7:45 PM","8:48 PM","10:54 PM","10:45 PM","1:50 PM","3:30 pm"
"26","4:20 AM","5:30 AM","5:59 AM","1:23 PM","1:45 PM","6:33 PM","7:45 PM","8:47 PM","10:52 PM","10:45 PM","1:50 PM","3:30 pm"
"27","4:21 AM","5:30 AM","6:00 AM","1:23 PM","1:45 PM","6:33 PM","7:45 PM","8:46 PM","10:50 PM","10:35 PM","1:50 PM","3:30 pm"
"28","4:23 AM","5:35 AM","6:01 AM","1:23 PM","1:45 PM","6:32 PM","7:45 PM","8:45 PM","10:48 PM","10:35 PM","1:50 PM","3:30 pm"
"29","4:24 AM","5:35 AM","6:02 AM","1:23 PM","1:45 PM","6:31 PM","7:45 PM","8:44 PM","10:46 PM","10:35 PM","1:50 PM","3:30 pm"
"30","4:26 AM","5:35 AM","6:03 AM","1:23 PM","1:45 PM","6:31 PM","7:45 PM","8:43 PM","10:44 PM","10:35 PM","1:50 PM","3:30 pm"
"31","4:27 AM","5:35 AM","6:04 AM","1:23 PM","1:45 PM","6:30 PM","7:45 PM","8:41 PM","10:43 PM","10:35 PM","1:50 PM","3:30 pm"
