"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"1","5:18 AM","6:15 AM","6:54 AM","12:29 PM","1:00 PM","4:19 PM","4:55 PM","6:05 PM","7:40 PM","8:05 PM","12:50 PM","2:35 PM"
"2","5:17 AM","6:15 AM","6:52 AM","12:29 PM","1:00 PM","4:20 PM","4:55 PM","6:06 PM","7:42 PM","8:05 PM","12:50 PM","2:35 PM"
"3","5:15 AM","6:15 AM","6:50 AM","12:29 PM","1:00 PM","4:21 PM","4:55 PM","6:08 PM","7:43 PM","8:05 PM","12:50 PM","2:35 PM"
"4","5:13 AM","6:15 AM","6:49 AM","12:28 PM","1:00 PM","4:22 PM","4:55 PM","6:09 PM","7:44 PM","8:05 PM","12:50 PM","2:35 PM"
"5","5:12 AM","6:15 AM","6:47 AM","12:28 PM","1:00 PM","4:24 PM","4:55 PM","6:10 PM","7:46 PM","8:05 PM","12:50 PM","2:35 PM"
"6","5:10 AM","6:15 AM","6:45 AM","12:28 PM","1:00 PM","4:25 PM","4:55 PM","6:11 PM","7:47 PM","8:05 PM","12:50 PM","2:35 PM"
"7","5:08 AM","6:15 AM","6:44 AM","12:28 PM","1:00 PM","4:26 PM","4:55 PM","6:13 PM","7:48 PM","8:05 PM","12:50 PM","2:35 PM"
"8","6:06 AM","6:15 AM","7:42 AM","1:28 PM","1:00 PM","5:27 PM","4:55 PM","7:14 PM","8:50 PM","8:05 PM","12:50 PM","2:35 PM"
"9","6:05 AM","6:15 AM","7:40 AM","1:27 PM","1:00 PM","5:28 PM","4:55 PM","7:15 PM","8:51 PM","8:05 PM","12:50 PM","2:35 PM"
"10","6:03 AM","6:30 AM","7:38 AM","1:27 PM","1:45 PM","5:29 PM","6:35 PM","7:19 PM","8:52 PM","9:15 PM","1:50 PM","3:35 PM"
"11","6:01 AM","6:30 AM","7:37 AM","1:27 PM","1:45 PM","5:30 PM","6:35 PM","7:19 PM","8:53 PM","9:15 PM","1:50 PM","3:35 PM"
"12","5:59 AM","6:30 AM","7:35 AM","1:27 PM","1:45 PM","5:31 PM","6:35 PM","7:20 PM","8:55 PM","9:15 PM","1:50 PM","3:35 PM"
"13","5:57 AM","6:30 AM","7:33 AM","1:26 PM","1:45 PM","5:32 PM","6:35 PM","7:20 PM","8:56 PM","9:15 PM","1:50 PM","3:35 PM"
"14","5:55 AM","6:30 AM","7:31 AM","1:26 PM","1:45 PM","5:33 PM","6:35 PM","7:21 PM","8:57 PM","9:15 PM","1:50 PM","3:35 PM"
"15","5:54 AM","6:30 AM","7:29 AM","1:26 PM","1:45 PM","5:34 PM","6:35 PM","7:23 PM","8:59 PM","9:25 PM","1:50 PM","3:35 PM"
"16","5:52 AM","6:30 AM","7:28 AM","1:25 PM","1:45 PM","5:35 PM","6:35 PM","7:24 PM","9:00 PM","9:25 PM","1:50 PM","3:35 PM"
