"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:36 AM","6:50 AM","7:56 AM","1:05 PM","2:00 PM","4:30 PM","5:15 PM","6:15 PM","7:33 PM","8:00 PM","1:00 PM",""
"2","6:37 AM","6:50 AM","7:57 AM","1:05 PM","2:00 PM","4:28 PM","5:15 PM","6:13 PM","7:32 PM","8:00 PM","1:00 PM",""
"3","5:38 AM","6:30 AM","6:59 AM","12:05 PM","1:00 PM","3:27 PM","4:00 PM","5:12 PM","6:30 PM","8:00 PM","1:00 PM",""
"4","5:39 AM","6:30 AM","7:00 AM","12:05 PM","1:00 PM","3:26 PM","4:00 PM","5:11 PM","6:29 PM","8:00 PM","1:00 PM",""
"5","5:41 AM","6:30 AM","7:01 AM","12:05 PM","1:00 PM","3:25 PM","4:00 PM","5:09 PM","6:28 PM","8:00 PM","1:00 PM",""
"6","5:42 AM","6:30 AM","7:03 AM","12:05 PM","1:00 PM","3:24 PM","4:00 PM","5:08 PM","6:27 PM","8:00 PM","1:00 PM",""
"7","5:43 AM","6:30 AM","7:04 AM","12:05 PM","1:00 PM","3:23 PM","4:00 PM","5:07 PM","6:26 PM","8:00 PM","1:00 PM",""
"8","5:44 AM","6:30 AM","7:05 AM","12:05 PM","1:00 PM","3:21 PM","4:00 PM","5:06 PM","6:25 PM","8:00 PM","1:00 PM",""
"9","5:45 AM","6:30 AM","7:06 AM","12:05 PM","1:00 PM","3:20 PM","4:00 PM","5:05 PM","6:24 PM","8:00 PM","1:00 PM",""
"10","5:46 AM","6:30 AM","7:08 AM","12:05 PM","1:00 PM","3:19 PM","4:00 PM","5:04 PM","6:23 PM","8:00 PM","1:00 PM",""
"11","5:47 AM","6:30 AM","7:09 AM","12:05 PM","1:00 PM","3:18 PM","4:00 PM","5:03 PM","6:22 PM","8:00 PM","1:00 PM",""
"12","5:49 AM","6:30 AM","7:10 AM","12:05 PM","1:00 PM","3:17 PM","4:00 PM","5:02 PM","6:21 PM","8:00 PM","1:00 PM",""
"13","5:50 AM","6:30 AM","7:12 AM","12:05 PM","1:00 PM","3:16 PM","4:00 PM","5:01 PM","6:21 PM","8:00 PM","1:00 PM",""
"14","5:51 AM","6:30 AM","7:13 AM","12:06 PM","1:00 PM","3:15 PM","4:00 PM","5:00 PM","6:20 PM","8:00 PM","1:00 PM",""
"15","5:52 AM","6:30 AM","7:14 AM","12:06 PM","1:00 PM","3:14 PM","4:00 PM","4:59 PM","6:19 PM","8:00 PM","1:00 PM",""
"16","5:53 AM","6:30 AM","7:15 AM","12:06 PM","1:00 PM","3:13 PM","4:00 PM","4:58 PM","6:18 PM","8:00 PM","1:00 PM",""
"17","5:54 AM","6:30 AM","7:17 AM","12:06 PM","1:00 PM","3:13 PM","4:00 PM","4:57 PM","6:17 PM","8:00 PM","1:00 PM",""
"18","5:55 AM","6:30 AM","7:18 AM","12:06 PM","1:00 PM","3:12 PM","4:00 PM","4:56 PM","6:17 PM","8:00 PM","1:00 PM",""
"19","5:56 AM","6:30 AM","7:19 AM","12:06 PM","1:00 PM","3:11 PM","4:00 PM","4:55 PM","6:16 PM","8:00 PM","1:00 PM",""
"20","5:57 AM","6:30 AM","7:21 AM","12:07 PM","1:00 PM","3:10 PM","4:00 PM","4:54 PM","6:16 PM","8:00 PM","1:00 PM",""
"21","5:58 AM","6:45 AM","7:22 AM","12:07 PM","1:00 PM","3:10 PM","4:00 PM","4:54 PM","6:15 PM","8:00 PM","1:00 PM",""
"22","6:00 AM","6:45 AM","7:23 AM","12:07 PM","1:00 PM","3:09 PM","4:00 PM","4:53 PM","6:14 PM","8:00 PM","1:00 PM",""
"23","6:01 AM","6:45 AM","7:24 AM","12:07 PM","1:00 PM","3:08 PM","4:00 PM","4:52 PM","6:14 PM","8:00 PM","1:00 PM",""
"24","6:02 AM","6:45 AM","7:25 AM","12:08 PM","1:00 PM","3:08 PM","4:00 PM","4:52 PM","6:13 PM","8:00 PM","1:00 PM",""
"25","6:03 AM","6:45 AM","7:27 AM","12:08 PM","1:00 PM","3:07 PM","4:00 PM","4:51 PM","6:13 PM","8:00 PM","1:00 PM",""
"26","6:04 AM","6:45 AM","7:28 AM","12:08 PM","1:00 PM","3:06 PM","4:00 PM","4:50 PM","6:13 PM","8:00 PM","1:00 PM",""
"27","6:05 AM","6:45 AM","7:29 AM","12:09 PM","1:00 PM","3:06 PM","4:00 PM","4:50 PM","6:12 PM","8:00 PM","1:00 PM",""
"28","6:06 AM","6:45 AM","7:30 AM","12:09 PM","1:00 PM","3:05 PM","4:00 PM","4:49 PM","6:12 PM","8:00 PM","1:00 PM",""
"29","6:07 AM","6:45 AM","7:31 AM","12:09 PM","1:00 PM","3:05 PM","4:00 PM","4:49 PM","6:12 PM","8:00 PM","1:00 PM",""
"30","6:08 AM","6:45 AM","7:32 AM","12:10 PM","1:00 PM","3:05 PM","4:00 PM","4:49 PM","6:11 PM","8:00 PM","1:00 PM",""
