"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:06 AM","5:15 am","6:07 AM","1:24 PM","1:40 Pm","6:30 PM","6:45 PM","8:42 PM","10:18 PM","10:30 PM","1:40 Pm","2:40 Pm"
"2","4:08 AM","5:15 am","6:08 AM","1:24 PM","1:40 Pm","6:30 PM","6:45 PM","8:40 PM","10:16 PM","10:30 PM","1:40 Pm","2:40 Pm"
"3","4:10 AM","5:15 am","6:09 AM","1:24 PM","1:40 Pm","6:29 PM","6:45 PM","8:39 PM","10:14 PM","10:30 PM","1:40 Pm","2:40 Pm"
"4","4:11 AM","5:15 am","6:10 AM","1:24 PM","1:40 Pm","6:28 PM","6:45 PM","8:38 PM","10:12 PM","10:30 PM","1:40 Pm","2:40 Pm"
"5","4:13 AM","5:15 am","6:11 AM","1:24 PM","1:40 Pm","6:27 PM","6:45 PM","8:36 PM","10:11 PM","10:30 PM","1:40 Pm","2:40 Pm"
"6","4:15 AM","5:15 am","6:12 AM","1:24 PM","1:40 Pm","6:26 PM","6:45 PM","8:35 PM","10:09 PM","10:30 PM","1:40 Pm","2:40 Pm"
"7","4:17 AM","5:15 am","6:13 AM","1:24 PM","1:40 Pm","6:26 PM","6:45 PM","8:34 PM","10:07 PM","10:30 PM","1:40 Pm","2:40 Pm"
"8","4:19 AM","5:15 am","6:15 AM","1:24 PM","1:40 Pm","6:25 PM","6:45 PM","8:32 PM","10:05 PM","10:30 PM","1:40 Pm","2:40 Pm"
"9","4:20 AM","5:15 am","6:16 AM","1:24 PM","1:40 Pm","6:24 PM","6:45 PM","8:31 PM","10:03 PM","10:30 PM","1:40 Pm","2:40 Pm"
"10","4:22 AM","5:15 am","6:17 AM","1:23 PM","1:40 Pm","6:23 PM","6:30 PM","8:30 PM","10:01 PM","10:15 PM","1:40 Pm","2:40 Pm"
"11","4:24 AM","5:15 am","6:18 AM","1:23 PM","1:40 Pm","6:22 PM","6:30 PM","8:28 PM","9:59 PM","10:15 PM","1:40 Pm","2:40 Pm"
"12","4:26 AM","5:15 am","6:19 AM","1:23 PM","1:40 Pm","6:21 PM","6:30 PM","8:27 PM","9:58 PM","10:15 PM","1:40 Pm","2:40 Pm"
"13","4:28 AM","5:15 am","6:20 AM","1:23 PM","1:40 Pm","6:20 PM","6:30 PM","8:25 PM","9:56 PM","10:15 PM","1:40 Pm","2:40 Pm"
"14","4:29 AM","5:15 am","6:21 AM","1:23 PM","1:40 Pm","6:19 PM","6:30 PM","8:24 PM","9:54 PM","10:15 PM","1:40 Pm","2:40 Pm"
"15","4:31 AM","5:15 am","6:22 AM","1:23 PM","1:40 Pm","6:18 PM","6:30 PM","8:22 PM","9:52 PM","10:15 PM","1:40 Pm","2:40 Pm"
"16","4:33 AM","5:15 am","6:24 AM","1:22 PM","1:40 Pm","6:17 PM","6:30 PM","8:21 PM","9:50 PM","10:15 PM","1:40 Pm","2:40 Pm"
"17","4:34 AM","5:15 am","6:25 AM","1:22 PM","1:40 Pm","6:16 PM","6:30 PM","8:19 PM","9:48 PM","10:15 PM","1:40 Pm","2:40 Pm"
"18","4:36 AM","5:15 am","6:26 AM","1:22 PM","1:40 Pm","6:14 PM","6:30 PM","8:17 PM","9:46 PM","10:15 PM","1:40 Pm","2:40 Pm"
"19","4:38 AM","5:15 am","6:27 AM","1:22 PM","1:40 Pm","6:13 PM","6:30 PM","8:16 PM","9:44 PM","10:15 PM","1:40 Pm","2:40 Pm"
"20","4:40 AM","5:15 am","6:28 AM","1:22 PM","1:40 Pm","6:12 PM","6:45 PM","8:14 PM","9:42 PM","10:30 PM","1:40 Pm","2:40 Pm"
"21","4:41 AM","5:15 am","6:29 AM","1:21 PM","1:40 Pm","6:11 PM","6:45 PM","8:13 PM","9:40 PM","10:30 PM","1:40 Pm","2:40 Pm"
"22","4:43 AM","5:30 am","6:30 AM","1:21 PM","1:30 Pm","6:10 PM","6:30 PM","8:11 PM","9:38 PM","10:00 PM","1:40 Pm","2:40 Pm"
"23","4:44 AM","5:30 am","6:31 AM","1:21 PM","1:30 Pm","6:09 PM","6:30 PM","8:09 PM","9:36 PM","10:00 PM","1:40 Pm","2:40 Pm"
"24","4:46 AM","5:30 am","6:33 AM","1:20 PM","1:30 Pm","6:07 PM","6:30 PM","8:08 PM","9:34 PM","10:00 PM","1:40 Pm","2:40 Pm"
"25","4:48 AM","5:30 am","6:34 AM","1:20 PM","1:30 Pm","6:06 PM","6:30 PM","8:06 PM","9:32 PM","10:00 PM","1:40 Pm","2:40 Pm"
"26","4:49 AM","5:30 am","6:35 AM","1:20 PM","1:30 Pm","6:05 PM","6:30 PM","8:04 PM","9:30 PM","10:00 PM","1:40 Pm","2:40 Pm"
"27","4:51 AM","5:30 am","6:36 AM","1:20 PM","1:30 Pm","6:04 PM","6:30 PM","8:03 PM","9:28 PM","10:00 PM","1:40 Pm","2:40 Pm"
"28","4:53 AM","5:30 am","6:37 AM","1:19 PM","1:30 Pm","6:02 PM","6:30 PM","8:01 PM","9:26 PM","10:00 PM","1:40 Pm","2:40 Pm"
"29","4:54 AM","5:15 am","6:38 AM","1:19 PM","1:40 Pm","6:01 PM","6:45 PM","7:59 PM","9:24 PM","10:30 PM","1:40 Pm","2:40 Pm"
"30","4:56 AM","","6:39 AM","1:19 PM","","6:00 PM","","7:57 PM","9:22 PM","","",""
"31","4:57 AM","","6:40 AM","1:18 PM","","5:58 PM","","7:56 PM","9:19 PM","","",""
