"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:49 AM","6:45 AM","7:32 AM","12:07 PM","12:30 PM","3:00 PM","3:15 PM","4:42 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"2","5:50 AM","6:45 AM","7:33 AM","12:08 PM","12:30 PM","2:59 PM","3:15 PM","4:42 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"3","5:51 AM","6:45 AM","7:34 AM","12:08 PM","12:30 PM","2:59 PM","3:15 PM","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"4","5:52 AM","6:45 AM","7:35 AM","12:08 PM","12:30 PM","2:59 PM","3:15 PM","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"5","5:53 AM","6:45 AM","7:36 AM","12:09 PM","12:30 PM","2:59 PM","3:15 PM","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"6","5:54 AM","6:45 AM","7:37 AM","12:09 PM","12:30 PM","2:59 PM","3:15 PM","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"7","5:55 AM","6:45 AM","7:38 AM","12:10 PM","12:30 Pm","2:58 PM","3:15 Pm","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"8","5:56 AM","6:45 AM","7:39 AM","12:10 PM","12:30 Pm","2:58 PM","3:15 Pm","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"9","5:57 AM","6:45 AM","7:40 AM","12:11 PM","12:30 Pm","2:58 PM","3:15 Pm","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"10","5:57 AM","6:45 AM","7:41 AM","12:11 PM","12:30 Pm","2:58 PM","3:15 Pm","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"11","5:58 AM","6:45 AM","7:42 AM","12:11 PM","12:30 Pm","2:58 PM","3:15 Pm","4:41 PM","6:07 PM","7:00 PM","12:40 PM","1:40 PM"
"12","5:59 AM","6:45 AM","7:43 AM","12:12 PM","12:30 Pm","2:59 PM","3:15 Pm","4:41 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"13","6:00 AM","6:45 AM","7:44 AM","12:12 PM","12:30 Pm","2:59 PM","3:15 Pm","4:41 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"14","6:00 AM","6:45 AM","7:45 AM","12:13 PM","12:30 Pm","2:59 PM","3:15 Pm","4:41 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"15","6:01 AM","6:45 AM","7:45 AM","12:13 PM","12:30 Pm","2:59 PM","3:15 Pm","4:41 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"16","6:02 AM","6:45 AM","7:46 AM","12:14 PM","12:30 Pm","2:59 PM","3:15 Pm","4:42 PM","6:09 PM","7:00 PM","12:40 PM","1:40 PM"
"17","6:02 AM","6:45 AM","7:47 AM","12:14 PM","12:30 Pm","3:00 PM","3:15 Pm","4:42 PM","6:09 PM","7:00 PM","12:40 PM","1:40 PM"
"18","6:03 AM","6:45 AM","7:47 AM","12:15 PM","12:30 Pm","3:00 PM","3:15 Pm","4:42 PM","6:09 PM","7:00 PM","12:40 PM","1:40 PM"
"19","6:03 AM","6:45 AM","7:48 AM","12:15 PM","12:30 Pm","3:00 PM","3:15 Pm","4:43 PM","6:10 PM","7:00 PM","12:40 PM","1:40 PM"
"20","6:04 AM","","7:49 AM","12:16 PM","","3:01 PM","","4:43 PM","6:10 PM","","",""
"21","6:05 AM","6:45 AM","7:49 AM","12:16 PM","12:30 PM","3:01 PM","3:30 PM","4:44 PM","6:11 PM","7:00 PM","12:40 PM","1:40 PM"
"22","6:05 AM","6:45 AM","7:50 AM","12:17 PM","12:30 PM","3:02 PM","3:30 PM","4:44 PM","6:11 PM","7:00 PM","12:40 PM","1:40 PM"
"23","6:05 AM","6:45 AM","7:50 AM","12:17 PM","12:30 PM","3:02 PM","3:30 PM","4:45 PM","6:12 PM","7:00 PM","12:40 PM","1:40 PM"
"24","6:06 AM","6:45 AM","7:50 AM","12:18 PM","12:30 PM","3:03 PM","3:30 PM","4:45 PM","6:12 PM","7:00 PM","12:40 PM","1:40 PM"
"25","6:06 AM","6:45 AM","7:51 AM","12:18 PM","12:30 PM","3:04 PM","3:30 PM","4:46 PM","6:13 PM","7:00 PM","12:40 PM","1:40 PM"
"26","6:07 AM","6:45 AM","7:51 AM","12:19 PM","12:30 PM","3:04 PM","3:30 PM","4:47 PM","6:14 PM","7:00 PM","12:40 PM","1:40 PM"
"27","6:07 AM","6:45 AM","7:51 AM","12:19 PM","12:30 PM","3:05 PM","3:30 PM","4:47 PM","6:14 PM","7:00 PM","12:40 PM","1:40 PM"
"28","6:07 AM","6:45 AM","7:52 AM","12:20 PM","12:30 PM","3:06 PM","3:30 PM","4:48 PM","6:15 PM","7:00 PM","12:40 PM","1:40 PM"
"29","6:08 AM","6:45 AM","7:52 AM","12:20 PM","12:30 PM","3:06 PM","3:30 PM","4:49 PM","6:16 PM","7:00 PM","12:40 PM","1:40 PM"
"30","6:08 AM","6:45 AM","7:52 AM","12:21 PM","12:30 PM","3:07 PM","3:30 PM","4:50 PM","6:16 PM","7:00 PM","12:40 PM","1:40 PM"
"31","6:08 AM","","7:52 AM","12:21 PM","","3:08 PM","","4:50 PM","6:17 PM","","",""
