"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:17 AM","6:45 AM","7:54 AM","1:02 PM","1:30 PM","4:25 PM","5:00 PM","6:09 PM","7:29 PM","8:00 PM","1:40 PM","2:40 PM"
"2","5:18 AM","6:15 AM","6:56 AM","12:02 PM","12:30 PM","3:24 PM","3:45 PM","5:07 PM","6:28 PM","7:00 PM","1:40 PM","2:40 PM"
"3","5:19 AM","6:15 AM","6:57 AM","12:02 PM","12:30 PM","3:23 PM","3:45 PM","5:06 PM","6:27 PM","7:00 PM","1:40 PM","2:40 PM"
"4","5:20 AM","6:15 AM","6:58 AM","12:02 PM","12:30 PM","3:22 PM","3:45 PM","5:05 PM","6:26 PM","7:00 PM","1:40 PM","2:40 PM"
"5","5:21 AM","6:15 AM","7:00 AM","12:02 PM","12:30 PM","3:20 PM","3:45 PM","5:03 PM","6:25 PM","7:00 PM","1:40 PM","2:40 PM"
"6","5:23 AM","6:15 AM","7:01 AM","12:02 PM","12:30 PM","3:19 PM","3:45 PM","5:02 PM","6:24 PM","7:00 PM","1:40 PM","2:40 PM"
"7","5:24 AM","6:15 AM","7:02 AM","12:02 PM","12:30 PM","3:18 PM","3:45 PM","5:01 PM","6:23 PM","7:00 PM","12:40 PM","1:40 PM"
"8","5:25 AM","6:15 AM","7:03 AM","12:02 PM","12:30 PM","3:17 PM","3:45 PM","5:00 PM","6:22 PM","7:00 PM","12:40 PM","1:40 PM"
"9","5:26 AM","6:15 AM","7:05 AM","12:02 PM","12:30 PM","3:16 PM","3:45 PM","4:59 PM","6:21 PM","7:00 PM","12:40 PM","1:40 PM"
"10","5:27 AM","6:15 AM","7:06 AM","12:02 PM","12:30 PM","3:15 PM","3:45 PM","4:57 PM","6:20 PM","7:00 PM","12:40 PM","1:40 PM"
"11","5:28 AM","6:15 AM","7:07 AM","12:02 PM","12:30 PM","3:14 PM","3:45 PM","4:56 PM","6:19 PM","7:00 PM","12:40 PM","1:40 PM"
"12","5:29 AM","6:15 AM","7:09 AM","12:02 PM","12:30 PM","3:13 PM","3:45 PM","4:55 PM","6:18 PM","7:00 PM","12:40 PM","1:40 PM"
"13","5:31 AM","6:15 AM","7:10 AM","12:02 PM","12:30 PM","3:12 PM","3:30 PM","4:54 PM","6:17 PM","7:00 PM","12:40 PM","1:40 PM"
"14","5:32 AM","6:15 AM","7:11 AM","12:03 PM","12:30 PM","3:11 PM","3:30 PM","4:53 PM","6:16 PM","7:00 PM","12:40 PM","1:40 PM"
"15","5:33 AM","6:15 AM","7:13 AM","12:03 PM","12:30 PM","3:10 PM","3:30 PM","4:52 PM","6:15 PM","7:00 PM","12:40 PM","1:40 PM"
"16","5:34 AM","6:15 AM","7:14 AM","12:03 PM","12:30 PM","3:09 PM","3:30 PM","4:51 PM","6:15 PM","7:00 PM","12:40 PM","1:40 PM"
"17","5:35 AM","6:15 AM","7:15 AM","12:03 PM","12:30 PM","3:08 PM","3:30 PM","4:51 PM","6:14 PM","7:00 PM","12:40 PM","1:40 PM"
"18","5:36 AM","6:15 AM","7:17 AM","12:03 PM","12:30 PM","3:07 PM","3:30 PM","4:50 PM","6:13 PM","7:00 PM","12:40 PM","1:40 PM"
"19","5:37 AM","6:15 AM","7:18 AM","12:04 PM","12:30 PM","3:06 PM","3:30 PM","4:49 PM","6:13 PM","7:00 PM","12:40 PM","1:40 PM"
"20","5:38 AM","6:30 AM","7:19 AM","12:04 PM","12:30 PM","3:06 PM","3:30 PM","4:48 PM","6:12 PM","7:00 PM","12:40 PM","1:40 PM"
"21","5:39 AM","6:30 AM","7:20 AM","12:04 PM","12:30 PM","3:05 PM","3:30 PM","4:47 PM","6:11 PM","7:00 PM","12:40 PM","1:40 PM"
"22","5:40 AM","6:30 AM","7:22 AM","12:04 PM","12:30 PM","3:04 PM","3:30 PM","4:47 PM","6:11 PM","7:00 PM","12:40 PM","1:40 PM"
"23","5:41 AM","6:30 AM","7:23 AM","12:05 PM","12:30 PM","3:04 PM","3:30 PM","4:46 PM","6:10 PM","7:00 PM","12:40 PM","1:40 PM"
"24","5:42 AM","6:30 AM","7:24 AM","12:05 PM","12:30 PM","3:03 PM","3:30 PM","4:45 PM","6:10 PM","7:00 PM","12:40 PM","1:40 PM"
"25","5:43 AM","6:30 AM","7:25 AM","12:05 PM","12:30 PM","3:02 PM","3:30 PM","4:45 PM","6:09 PM","7:00 PM","12:40 PM","1:40 PM"
"26","5:45 AM","6:30 AM","7:26 AM","12:05 PM","12:30 PM","3:02 PM","3:30 PM","4:44 PM","6:09 PM","7:00 PM","12:40 PM","1:40 PM"
"27","5:46 AM","","7:28 AM","12:06 PM","","3:01 PM","","4:44 PM","6:09 PM","","",""
"28","5:47 AM","","7:29 AM","12:06 PM","","3:01 PM","","4:43 PM","6:08 PM","","",""
"29","5:48 AM","6:30 AM","7:30 AM","12:07 PM","12:30 PM","3:00 PM","3:30 PM","4:43 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
"30","5:48 AM","6:45 AM","7:31 AM","12:07 PM","12:30 PM","3:00 PM","3:15 PM","4:42 PM","6:08 PM","7:00 PM","12:40 PM","1:40 PM"
