"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:40 AM","6:30 AM","7:16 AM","1:08 PM","1:30 PM","5:12 PM","5:30 PM","6:59 PM","8:18 PM","8:30 PM","1:40 PM","2:40 PM"
"2","5:41 AM","6:30 AM","7:17 AM","1:07 PM","1:30 PM","5:10 PM","5:30 PM","6:57 PM","8:16 PM","8:30 PM","1:40 PM","2:40 PM"
"3","5:42 AM","6:30 AM","7:18 AM","1:07 PM","1:30 PM","5:08 PM","5:30 PM","6:55 PM","8:14 PM","8:30 PM","1:40 PM","2:40 PM"
"4","5:44 AM","6:30 AM","7:19 AM","1:07 PM","1:30 PM","5:07 PM","5:30 PM","6:54 PM","8:12 PM","8:30 PM","1:40 PM","2:40 PM"
"5","5:45 AM","6:30 AM","7:20 AM","1:07 PM","1:30 PM","5:05 PM","5:30 PM","6:52 PM","8:11 PM","8:30 PM","1:40 PM","2:40 PM"
"6","5:46 AM","6:30 AM","7:22 AM","1:06 PM","1:30 PM","5:04 PM","5:30 PM","6:50 PM","8:09 PM","8:30 PM","1:40 PM","2:40 PM"
"7","5:47 AM","6:30 AM","7:23 AM","1:06 PM","1:30 PM","5:02 PM","5:30 PM","6:48 PM","8:07 PM","8:30 PM","1:40 PM","2:40 PM"
"8","5:48 AM","","7:24 AM","1:06 PM","","5:01 PM","","6:47 PM","8:05 PM","","",""
"9","5:50 AM","","7:25 AM","1:05 PM","","4:59 PM","","6:45 PM","8:04 PM","","",""
"10","5:51 AM","6:30 am","7:26 AM","1:05 PM","1:30 pm","4:57 PM","5:30 pm","6:43 PM","8:02 PM","8:30 pm","1:40 pm","2:40 pm"
"11","5:52 AM","6:45 am","7:28 AM","1:05 PM","1:30 pm","4:56 PM","5:15 pm","6:41 PM","8:00 PM","8:15 pm","1:40 pm","2:40 pm"
"12","5:53 AM","6:45 am","7:29 AM","1:05 PM","1:30 pm","4:54 PM","5:15 pm","6:40 PM","7:58 PM","8:15 pm","1:40 pm","2:40 pm"
"13","5:54 AM","6:45 am","7:30 AM","1:04 PM","1:30 pm","4:53 PM","5:15 pm","6:38 PM","7:57 PM","8:15 pm","1:40 pm","2:40 pm"
"14","5:56 AM","6:45 am","7:31 AM","1:04 PM","1:30 pm","4:51 PM","5:15 pm","6:36 PM","7:55 PM","8:15 pm","1:40 pm","2:40 pm"
"15","5:57 AM","6:45 am","7:33 AM","1:04 PM","1:30 pm","4:50 PM","5:15 pm","6:35 PM","7:54 PM","8:15 pm","1:40 pm","2:40 pm"
"16","5:58 AM","6:45 am","7:34 AM","1:04 PM","1:30 pm","4:48 PM","5:15 pm","6:33 PM","7:52 PM","8:15 pm","1:40 pm","2:40 pm"
"17","5:59 AM","6:45 am","7:35 AM","1:03 PM","1:30 pm","4:47 PM","5:15 pm","6:31 PM","7:50 PM","8:15 pm","1:40 pm","2:40 pm"
"18","6:00 AM","6:45 am","7:36 AM","1:03 PM","1:30 pm","4:45 PM","5:15 pm","6:30 PM","7:49 PM","8:15 pm","1:40 pm","2:40 pm"
"19","6:02 AM","6:45 am","7:38 AM","1:03 PM","1:30 pm","4:44 PM","5:15 pm","6:28 PM","7:47 PM","8:15 pm","1:40 pm","2:40 pm"
"20","6:03 AM","6:45 am","7:39 AM","1:03 PM","1:30 pm","4:42 PM","5:00 pm","6:26 PM","7:46 PM","8:00 pm","1:40 pm","2:40 pm"
"21","6:04 AM","6:45 am","7:40 AM","1:03 PM","1:30 pm","4:41 PM","5:00 pm","6:25 PM","7:44 PM","8:00 pm","1:40 pm","2:40 pm"
"22","6:05 AM","6:45 am","7:41 AM","1:03 PM","1:30 pm","4:39 PM","5:00 pm","6:23 PM","7:43 PM","8:00 pm","1:40 pm","2:40 pm"
"23","6:06 AM","6:45 am","7:43 AM","1:02 PM","1:30 pm","4:38 PM","5:00 pm","6:22 PM","7:41 PM","8:00 pm","1:40 pm","2:40 pm"
"24","6:07 AM","6:45 am","7:44 AM","1:02 PM","1:30 pm","4:36 PM","5:00 pm","6:20 PM","7:40 PM","8:00 pm","1:40 pm","2:40 pm"
"25","6:09 AM","6:45 am","7:45 AM","1:02 PM","1:30 pm","4:35 PM","5:00 pm","6:19 PM","7:38 PM","8:00 pm","1:40 pm","2:40 pm"
"26","6:10 AM","6:45 am","7:46 AM","1:02 PM","1:30 pm","4:33 PM","5:00 pm","6:17 PM","7:37 PM","8:00 pm","1:40 pm","2:40 pm"
"27","6:11 AM","","7:48 AM","1:02 PM","","4:32 PM","","6:16 PM","7:36 PM","","",""
"28","6:12 AM","6:45 AM","7:49 AM","1:02 PM","1:30 PM","4:31 PM","5:00 PM","6:14 PM","7:34 PM","8:00 PM","1:40 PM","2:40 PM"
"29","6:13 AM","6:45 AM","7:50 AM","1:02 PM","1:30 PM","4:29 PM","5:00 PM","6:13 PM","7:33 PM","8:00 PM","1:40 PM","2:40 PM"
"30","6:15 AM","6:45 AM","7:52 AM","1:02 PM","1:30 PM","4:28 PM","5:00 PM","6:11 PM","7:32 PM","8:00 PM","1:40 PM","2:40 PM"
"31","6:16 AM","6:45 AM","7:53 AM","1:02 PM","1:30 PM","4:27 PM","5:00 PM","6:10 PM","7:31 PM","8:00 PM","1:40 PM","2:40 PM"
