"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:30 AM","7:15 AM","","2:00 PM","","5:30 PM","8:01 PM","","9:30 PM","1:55 PM","3:00 PM"
"2","","6:30 AM","7:13 AM","","2:00 PM","","5:30 PM","8:02 PM","","9:30 PM","1:55 PM","3:00 PM"
"3","","6:30 AM","7:12 AM","","2:00 PM","","5:30 PM","8:03 PM","","9:30 PM","1:55 PM","3:00 PM"
"4","","6:30 AM","7:10 AM","","2:00 PM","","5:30 PM","8:04 PM","","9:30 PM","1:55 PM","3:00 PM"
"5","","6:30 AM","7:08 AM","","2:00 PM","","5:30 PM","8:05 PM","","9:30 PM","1:55 PM","3:00 PM"
"6","","6:15 AM","7:06 AM","","2:00 PM","","5:30 PM","8:06 PM","","9:45 PM","1:55 PM","3:00 PM"
"7","","6:15 AM","7:05 AM","","2:00 PM","","5:30 PM","8:07 PM","","9:45 PM","1:55 PM","3:00 PM"
"8","","6:15 AM","7:03 AM","","2:00 PM","","5:30 PM","8:08 PM","","9:45 PM","1:55 PM","3:00 PM"
"9","","6:15 AM","7:01 AM","","2:00 PM","","5:30 PM","8:10 PM","","9:45 PM","1:55 PM","3:00 PM"
"10","","6:15 AM","7:00 AM","","2:00 PM","","5:30 PM","8:11 PM","","9:45 PM","1:55 PM","3:00 PM"
"11","","6:15 AM","6:58 AM","","2:00 PM","","5:30 PM","8:12 PM","","9:45 PM","1:55 PM","3:00 PM"
"12","","6:15 AM","6:56 AM","","2:00 PM","","5:30 PM","8:13 PM","","9:45 PM","1:55 PM","3:00 PM"
"13","","6:00 AM","6:55 AM","","2:00 PM","","6:00 PM","8:14 PM","","9:45 PM","1:55 PM","3:00 PM"
"14","","6:00 AM","6:53 AM","","2:00 PM","","6:00 PM","8:15 PM","","9:45 PM","1:55 PM","3:00 PM"
"15","","6:00 AM","6:52 AM","","2:00 PM","","6:00 PM","8:16 PM","","9:45 PM","1:55 PM","3:00 PM"
"16","","6:00 AM","6:50 AM","","2:00 PM","","6:00 PM","8:17 PM","","9:45 PM","1:55 PM","3:00 PM"
"17","","6:00 AM","6:48 AM","","2:00 PM","","6:00 PM","8:19 PM","","9:45 PM","1:55 PM","3:00 PM"
"18","","6:00 AM","6:47 AM","","2:00 PM","","6:00 PM","8:20 PM","","9:45 PM","1:55 PM","3:00 PM"
"19","","6:00 AM","6:45 AM","","2:00 PM","","6:00 PM","8:21 PM","","9:45 PM","1:55 PM","3:00 PM"
"20","","5:45 AM","6:44 AM","","2:00 PM","","6:00 PM","8:22 PM","","10:00 PM","1:55 PM","3:00 PM"
"21","","5:45 AM","6:42 AM","","2:00 PM","","6:00 PM","8:23 PM","","10:00 PM","1:55 PM","3:00 PM"
"22","","5:45 AM","6:41 AM","","2:00 PM","","6:00 PM","8:24 PM","","10:00 PM","1:55 PM","3:00 PM"
"23","","5:45 AM","6:39 AM","","2:00 PM","","6:00 PM","8:25 PM","","10:00 PM","1:55 PM","3:00 PM"
"24","","5:45 AM","6:38 AM","","2:00 PM","","6:00 PM","8:26 PM","","10:00 PM","1:55 PM","3:00 PM"
"25","","5:45 AM","6:36 AM","","2:00 PM","","6:00 PM","8:28 PM","","10:00 PM","1:55 PM","3:00 PM"
"26","","5:45 AM","6:35 AM","","2:00 PM","","6:00 PM","8:29 PM","","10:00 PM","1:55 PM","3:00 PM"
"27","","5:45 AM","6:33 AM","","2:00 PM","","6:00 PM","8:30 PM","","10:00 PM","1:55 PM","3:00 PM"
"28","","5:45 AM","6:32 AM","","2:00 PM","","6:00 PM","8:31 PM","","10:00 PM","1:55 PM","3:00 PM"
"29","","5:45 AM","6:30 AM","","2:00 PM","","6:00 PM","8:32 PM","","10:00 PM","1:55 PM","3:00 PM"
"30","","5:45 AM","6:29 AM","","2:00 PM","","6:00 PM","8:33 PM","","10:00 PM","1:55 PM","3:00 PM"
