"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","5:15 AM","6:24 AM","","2:00 PM","","6:00 PM","8:55 PM","","10:30 PM","1:55 PM","3:00 PM"
"2","","5:15 AM","6:25 AM","","2:00 PM","","6:00 PM","8:53 PM","","10:30 PM","1:55 PM","3:00 PM"
"3","","5:30 AM","6:26 AM","","2:00 PM","","6:00 PM","8:52 PM","","10:15 PM","1:55 PM","3:00 PM"
"4","","5:30 AM","6:27 AM","","2:00 PM","","6:00 PM","8:51 PM","","10:15 PM","1:55 PM","3:00 PM"
"5","","5:30 AM","6:28 AM","","2:00 PM","","6:00 PM","8:50 PM","","10:15 PM","1:55 PM","3:00 PM"
"6","","5:30 AM","6:30 AM","","2:00 PM","","6:00 PM","8:49 PM","","10:15 PM","1:55 PM","3:00 PM"
"7","","5:30 AM","6:31 AM","","2:00 PM","","6:00 PM","8:47 PM","","10:15 PM","1:55 PM","3:00 PM"
"8","","5:30 AM","6:32 AM","","2:00 PM","","6:00 PM","8:46 PM","","10:15 PM","1:55 PM","3:00 PM"
"9","","5:30 AM","6:33 AM","","2:00 PM","","6:00 PM","8:45 PM","","10:15 PM","1:55 PM","3:00 PM"
"10","","5:30 AM","6:34 AM","","2:00 PM","","6:00 PM","8:43 PM","","10:00 PM","1:55 PM","3:00 PM"
"11","","5:30 AM","6:35 AM","","2:00 PM","","6:00 PM","8:42 PM","","10:00 PM","1:55 PM","3:00 PM"
"12","","5:30 AM","6:36 AM","","2:00 PM","","6:00 PM","8:41 PM","","10:00 PM","1:55 PM","3:00 PM"
"13","","5:30 AM","6:37 AM","","2:00 PM","","6:00 PM","8:39 PM","","10:00 PM","1:55 PM","3:00 PM"
"14","","5:30 AM","6:38 AM","","2:00 PM","","6:00 PM","8:38 PM","","10:00 PM","1:55 PM","3:00 PM"
"15","","5:30 AM","6:39 AM","","2:00 PM","","6:00 PM","8:36 PM","","10:00 PM","1:55 PM","3:00 PM"
"16","","5:30 AM","6:40 AM","","2:00 PM","","6:00 PM","8:35 PM","","10:00 PM","1:55 PM","3:00 PM"
"17","","5:45 AM","6:41 AM","","2:00 PM","","6:00 PM","8:33 PM","","10:00 PM","1:55 PM","3:00 PM"
"18","","5:45 AM","6:42 AM","","2:00 PM","","6:00 PM","8:32 PM","","10:00 PM","1:55 PM","3:00 PM"
"19","","5:45 AM","6:43 AM","","2:00 PM","","6:00 PM","8:30 PM","","10:00 PM","1:55 PM","3:00 PM"
"20","","5:45 AM","6:44 AM","","2:00 PM","","6:00 PM","8:29 PM","","10:00 PM","1:55 PM","3:00 PM"
"21","","5:45 AM","6:45 AM","","2:00 PM","","6:00 PM","8:27 PM","","10:00 PM","1:55 PM","3:00 PM"
"22","","5:45 AM","6:46 AM","","2:00 PM","","6:00 PM","8:26 PM","","10:00 PM","1:55 PM","3:00 PM"
"23","","5:45 AM","6:47 AM","","2:00 PM","","6:00 PM","8:24 PM","","10:00 PM","1:55 PM","3:00 PM"
"24","","5:45 AM","6:49 AM","","2:00 PM","","6:00 PM","8:23 PM","","9:45 PM","1:55 PM","3:00 PM"
"25","","5:45 AM","6:50 AM","","2:00 PM","","6:00 PM","8:21 PM","","9:45 PM","1:55 PM","3:00 PM"
"26","","5:45 AM","6:51 AM","","2:00 PM","","6:00 PM","8:19 PM","","9:45 PM","1:55 PM","3:00 PM"
"27","","5:45 AM","6:52 AM","","2:00 PM","","6:00 PM","8:18 PM","","9:45 PM","1:55 PM","3:00 PM"
"28","","5:45 AM","6:53 AM","","2:00 PM","","6:00 PM","8:16 PM","","9:45 PM","1:55 PM","3:00 PM"
"29","","5:45 AM","6:54 AM","","2:00 PM","","6:00 PM","8:14 PM","","9:45 PM","1:55 PM","3:00 PM"
"30","","5:45 AM","6:55 AM","","2:00 PM","","6:00 PM","8:13 PM","","9:45 PM","1:55 PM","3:00 PM"
"31","","6:00 AM","6:56 AM","","2:00 PM","","6:00 PM","8:11 PM","","9:45 PM","1:55 PM","3:00 PM"
