"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:30 AM","7:41 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
"2","","6:30 AM","7:42 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"3","","6:30 AM","7:43 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"4","","6:30 AM","7:44 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"5","","6:30 AM","7:45 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"6","","6:30 AM","7:46 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"7","","6:45 AM","7:47 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"8","","6:45 AM","7:48 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"9","","6:45 AM","7:49 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"10","","6:45 AM","7:50 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"11","","6:45 AM","7:51 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"12","","6:45 AM","7:52 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"13","","6:45 AM","7:52 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"14","","6:45 AM","7:53 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"15","","6:45 AM","7:54 AM","","1:00 PM","","3:30 PM","5:03 PM","","7:30 PM","1:00 PM","2:00 PM"
"16","","6:45 AM","7:55 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
"17","","6:45 AM","7:55 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
"18","","6:45 AM","7:56 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
"19","","6:45 AM","7:56 AM","","1:00 PM","","3:30 PM","5:05 PM","","7:30 PM","1:00 PM","2:00 PM"
"20","","6:45 AM","7:57 AM","","1:00 PM","","3:30 PM","5:05 PM","","7:30 PM","1:00 PM","2:00 PM"
"21","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:06 PM","","7:30 PM","1:00 PM","2:00 PM"
"22","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:06 PM","","7:30 PM","1:00 PM","2:00 PM"
"23","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:07 PM","","7:30 PM","1:00 PM","2:00 PM"
"24","","6:45 AM","7:59 AM","","1:00 PM","","3:30 PM","5:07 PM","","7:30 PM","1:00 PM","2:00 PM"
"25","","6:45 AM","7:59 AM","","1:00 PM","","3:30 PM","5:08 PM","","7:30 PM","1:00 PM","2:00 PM"
"26","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:08 PM","","7:30 PM","1:00 PM","2:00 PM"
"27","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:09 PM","","7:30 PM","1:00 PM","2:00 PM"
"28","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:10 PM","","7:30 PM","1:00 PM","2:00 PM"
"29","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:11 PM","","7:30 PM","1:00 PM","2:00 PM"
"30","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:11 PM","","7:30 PM","1:00 PM","2:00 PM"
"31","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:12 PM","","7:30 PM","1:00 PM","2:00 PM"
