"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:13 PM","","7:30 PM","1:00 PM","2:00 PM"
"2","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:14 PM","","7:30 PM","1:00 PM","2:00 PM"
"3","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:15 PM","","7:30 PM","1:00 PM","2:00 PM"
"4","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:16 PM","","7:30 PM","1:00 PM","2:00 PM"
"5","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:17 PM","","7:30 PM","1:00 PM","2:00 PM"
"6","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:18 PM","","7:30 PM","1:00 PM","2:00 PM"
"7","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:19 PM","","7:30 PM","1:00 PM","2:00 PM"
"8","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:20 PM","","7:30 PM","1:00 PM","2:00 PM"
"9","","6:45 AM","8:01 AM","","1:00 PM","","3:30 PM","5:21 PM","","7:30 PM","1:00 PM","2:00 PM"
"10","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:22 PM","","7:30 PM","1:00 PM","2:00 PM"
"11","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:23 PM","","7:30 PM","1:00 PM","2:00 PM"
"12","","6:45 AM","8:00 AM","","1:00 PM","","3:30 PM","5:24 PM","","7:30 PM","1:00 PM","2:00 PM"
"13","","6:45 AM","7:59 AM","","1:00 PM","","3:30 PM","5:25 PM","","7:30 PM","1:00 PM","2:00 PM"
"14","","6:45 AM","7:59 AM","","1:00 PM","","3:30 PM","5:26 PM","","7:30 PM","1:00 PM","2:00 PM"
"15","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:28 PM","","7:30 PM","1:00 PM","2:00 PM"
"16","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:29 PM","","7:30 PM","1:00 PM","2:00 PM"
"17","","6:45 AM","7:58 AM","","1:00 PM","","3:30 PM","5:30 PM","","7:30 PM","1:00 PM","2:00 PM"
"18","","6:45 AM","7:57 AM","","1:00 PM","","3:30 PM","5:31 PM","","7:30 PM","1:00 PM","2:00 PM"
"19","","6:45 AM","7:56 AM","","1:00 PM","","3:30 PM","5:32 PM","","7:30 PM","1:00 PM","2:00 PM"
"20","","6:45 AM","7:56 AM","","1:00 PM","","4:00 PM","5:34 PM","","7:30 PM","1:00 PM","2:00 PM"
"21","","6:45 AM","7:55 AM","","1:00 PM","","4:00 PM","5:35 PM","","7:30 PM","1:00 PM","2:00 PM"
"22","","6:45 AM","7:54 AM","","1:00 PM","","4:00 PM","5:36 PM","","7:30 PM","1:00 PM","2:00 PM"
"23","","6:45 AM","7:54 AM","","1:00 PM","","4:00 PM","5:37 PM","","7:30 PM","1:00 PM","2:00 PM"
"24","","6:45 AM","7:53 AM","","1:00 PM","","4:00 PM","5:39 PM","","7:30 PM","1:00 PM","2:00 PM"
"25","","6:45 AM","7:52 AM","","1:00 PM","","4:00 PM","5:40 PM","","7:30 PM","1:00 PM","2:00 PM"
"26","","6:45 AM","7:51 AM","","1:00 PM","","4:00 PM","5:41 PM","","7:30 PM","1:00 PM","2:00 PM"
"27","","6:45 AM","7:50 AM","","1:00 PM","","4:00 PM","5:42 PM","","7:30 PM","1:00 PM","2:00 PM"
"28","","6:45 AM","7:50 AM","","1:00 PM","","4:00 PM","5:44 PM","","7:30 PM","1:00 PM","2:00 PM"
"29","","6:45 AM","7:49 AM","","1:00 PM","","4:00 PM","5:45 PM","","7:30 PM","1:00 PM","2:00 PM"
"30","","6:45 AM","7:48 AM","","1:00 PM","","4:00 PM","5:46 PM","","7:30 PM","1:00 PM","2:00 PM"
"31","","6:45 AM","7:47 AM","","1:00 PM","","4:00 PM","5:48 PM","","7:30 PM","1:00 PM","2:00 PM"
