"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","7:00 AM","8:05 AM","","2:00 PM","","5:00 PM","6:29 PM","","8:30 PM","1:55 PM","3:00 PM"
"2","","7:00 AM","8:06 AM","","2:00 PM","","4:30 PM","6:27 PM","","8:30 PM","1:55 PM","3:00 PM"
"3","","7:00 AM","8:07 AM","","2:00 PM","","4:30 PM","6:26 PM","","8:30 PM","1:55 PM","3:00 PM"
"4","","6:00 AM","7:09 AM","","1:00 PM","","3:30 PM","5:25 PM","","7:30 PM","1:00 PM","2:00 PM"
"5","","6:00 AM","7:10 AM","","1:00 PM","","3:30 PM","5:24 PM","","7:30 PM","1:00 PM","2:00 PM"
"6","","6:00 AM","7:11 AM","","1:00 PM","","3:30 PM","5:23 PM","","7:30 PM","1:00 PM","2:00 PM"
"7","","6:00 AM","7:12 AM","","1:00 PM","","3:30 PM","5:21 PM","","7:30 PM","1:00 PM","2:00 PM"
"8","","6:00 AM","7:14 AM","","1:00 PM","","3:30 PM","5:20 PM","","7:30 PM","1:00 PM","2:00 PM"
"9","","6:15 AM","7:15 AM","","1:00 PM","","3:30 PM","5:19 PM","","7:30 PM","1:00 PM","2:00 PM"
"10","","6:15 AM","7:16 AM","","1:00 PM","","3:30 PM","5:18 PM","","7:30 PM","1:00 PM","2:00 PM"
"11","","6:15 AM","7:17 AM","","1:00 PM","","3:30 PM","5:17 PM","","7:30 PM","1:00 PM","2:00 PM"
"12","","6:15 AM","7:19 AM","","1:00 PM","","3:30 PM","5:16 PM","","7:30 PM","1:00 PM","2:00 PM"
"13","","6:15 AM","7:20 AM","","1:00 PM","","3:30 PM","5:15 PM","","7:30 PM","1:00 PM","2:00 PM"
"14","","6:15 AM","7:21 AM","","1:00 PM","","3:30 PM","5:14 PM","","7:30 PM","1:00 PM","2:00 PM"
"15","","6:15 AM","7:22 AM","","1:00 PM","","3:30 PM","5:13 PM","","7:30 PM","1:00 PM","2:00 PM"
"16","","6:15 AM","7:24 AM","","1:00 PM","","3:30 PM","5:12 PM","","7:30 PM","1:00 PM","2:00 PM"
"17","","6:15 AM","7:25 AM","","1:00 PM","","3:30 PM","5:12 PM","","7:30 PM","1:00 PM","2:00 PM"
"18","","6:15 AM","7:26 AM","","1:00 PM","","3:30 PM","5:11 PM","","7:30 PM","1:00 PM","2:00 PM"
"19","","6:15 AM","7:27 AM","","1:00 PM","","3:30 PM","5:10 PM","","7:30 PM","1:00 PM","2:00 PM"
"20","","6:15 AM","7:28 AM","","1:00 PM","","3:30 PM","5:09 PM","","7:30 PM","1:00 PM","2:00 PM"
"21","","6:15 AM","7:30 AM","","1:00 PM","","3:30 PM","5:09 PM","","7:30 PM","1:00 PM","2:00 PM"
"22","","6:15 AM","7:31 AM","","1:00 PM","","3:30 PM","5:08 PM","","7:30 PM","1:00 PM","2:00 PM"
"23","","6:30 AM","7:32 AM","","1:00 PM","","3:30 PM","5:07 PM","","7:30 PM","1:00 PM","2:00 PM"
"24","","6:30 AM","7:33 AM","","1:00 PM","","3:30 PM","5:07 PM","","7:30 PM","1:00 PM","2:00 PM"
"25","","6:30 AM","7:34 AM","","1:00 PM","","3:30 PM","5:06 PM","","7:30 PM","1:00 PM","2:00 PM"
"26","","6:30 AM","7:36 AM","","1:00 PM","","3:30 PM","5:06 PM","","7:30 PM","1:00 PM","2:00 PM"
"27","","6:30 AM","7:37 AM","","1:00 PM","","3:30 PM","5:05 PM","","7:30 PM","1:00 PM","2:00 PM"
"28","","6:30 AM","7:38 AM","","1:00 PM","","3:30 PM","5:05 PM","","7:30 PM","1:00 PM","2:00 PM"
"29","","6:30 AM","7:39 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
"30","","6:30 AM","7:40 AM","","1:00 PM","","3:30 PM","5:04 PM","","7:30 PM","1:00 PM","2:00 PM"
