"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","","6:00 AM","6:57 AM","","2:00 PM","","6:00 PM","8:09 PM","","9:45 PM","1:55 PM","3:00 PM"
"2","","6:00 AM","6:58 AM","","2:00 PM","","6:00 PM","8:08 PM","","9:45 PM","1:55 PM","3:00 PM"
"3","","6:00 AM","6:59 AM","","2:00 PM","","6:00 PM","8:06 PM","","9:45 PM","1:55 PM","3:00 PM"
"4","","6:00 AM","7:00 AM","","2:00 PM","","6:00 PM","8:04 PM","","9:45 PM","1:55 PM","3:00 PM"
"5","","6:00 AM","7:01 AM","","2:00 PM","","6:00 PM","8:03 PM","","9:45 PM","1:55 PM","3:00 PM"
"6","","6:00 AM","7:02 AM","","2:00 PM","","6:00 PM","8:01 PM","","9:45 PM","1:55 PM","3:00 PM"
"7","","6:00 AM","7:03 AM","","2:00 PM","","5:30 PM","7:59 PM","","9:30 PM","1:55 PM","3:00 PM"
"8","","6:00 AM","7:04 AM","","2:00 PM","","5:30 PM","7:57 PM","","9:30 PM","1:55 PM","3:00 PM"
"9","","6:00 AM","7:05 AM","","2:00 PM","","5:30 PM","7:56 PM","","9:30 PM","1:55 PM","3:00 PM"
"10","","6:00 AM","7:06 AM","","2:00 PM","","5:30 PM","7:54 PM","","9:30 PM","1:55 PM","3:00 PM"
"11","","6:00 AM","7:07 AM","","2:00 PM","","5:30 PM","7:52 PM","","9:30 PM","1:55 PM","3:00 PM"
"12","","6:00 AM","7:08 AM","","2:00 PM","","5:30 PM","7:50 PM","","9:30 PM","1:55 PM","3:00 PM"
"13","","6:00 AM","7:09 AM","","2:00 PM","","5:30 PM","7:49 PM","","9:30 PM","1:55 PM","3:00 PM"
"14","","6:15 AM","7:11 AM","","2:00 PM","","5:30 PM","7:47 PM","","9:15 PM","1:55 PM","3:00 PM"
"15","","6:15 AM","7:12 AM","","2:00 PM","","5:30 PM","7:45 PM","","9:15 PM","1:55 PM","3:00 PM"
"16","","6:15 AM","7:13 AM","","2:00 PM","","5:30 PM","7:43 PM","","9:15 PM","1:55 PM","3:00 PM"
"17","","6:15 AM","7:14 AM","","2:00 PM","","5:30 PM","7:42 PM","","9:15 PM","1:55 PM","3:00 PM"
"18","","6:15 AM","7:15 AM","","2:00 PM","","5:30 PM","7:40 PM","","9:15 PM","1:55 PM","3:00 PM"
"19","","6:15 AM","7:16 AM","","2:00 PM","","5:30 PM","7:38 PM","","9:15 PM","1:55 PM","3:00 PM"
"20","","6:15 AM","7:17 AM","","2:00 PM","","5:30 PM","7:36 PM","","9:15 PM","1:55 PM","3:00 PM"
"21","","6:15 AM","7:18 AM","","2:00 PM","","5:30 PM","7:35 PM","","9:15 PM","1:55 PM","3:00 PM"
"22","","6:15 AM","7:19 AM","","2:00 PM","","5:30 PM","7:33 PM","","9:15 PM","1:55 PM","3:00 PM"
"23","","6:15 AM","7:20 AM","","2:00 PM","","5:30 PM","7:31 PM","","9:15 PM","1:55 PM","3:00 PM"
"24","","6:15 AM","7:21 AM","","2:00 PM","","5:30 PM","7:29 PM","","9:15 PM","1:55 PM","3:00 PM"
"25","","6:15 AM","7:22 AM","","2:00 PM","","5:30 PM","7:27 PM","","9:15 PM","1:55 PM","3:00 PM"
"26","","6:15 AM","7:23 AM","","2:00 PM","","5:30 PM","7:26 PM","","9:15 PM","1:55 PM","3:00 PM"
"27","","6:15 AM","7:24 AM","","2:00 PM","","5:30 PM","7:24 PM","","9:15 PM","1:55 PM","3:00 PM"
"28","","6:15 AM","7:25 AM","","2:00 PM","","5:30 PM","7:22 PM","","9:00 PM","1:55 PM","3:00 PM"
"29","","6:15 AM","7:27 AM","","2:00 PM","","5:30 PM","7:20 PM","","9:00 PM","1:55 PM","3:00 PM"
"30","","6:15 AM","7:28 AM","","2:00 PM","","5:30 PM","7:19 PM","","9:00 PM","1:55 PM","3:00 PM"
