"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:41 AM","","6:59 AM","12:35 PM","","3:41 PM","","6:12 PM","7:30 PM","",""
"2","5:40 AM","","6:57 AM","12:35 PM","","3:42 PM","","6:14 PM","7:31 PM","",""
"3","5:38 AM","","6:56 AM","12:35 PM","","3:42 PM","","6:15 PM","7:33 PM","",""
"4","5:36 AM","","6:54 AM","12:35 PM","","3:43 PM","","6:16 PM","7:34 PM","",""
"5","5:35 AM","","6:52 AM","12:34 PM","","3:44 PM","","6:17 PM","7:35 PM","",""
"6","5:33 AM","","6:51 AM","12:34 PM","","3:45 PM","","6:18 PM","7:36 PM","",""
"7","5:31 AM","","6:49 AM","12:34 PM","","3:46 PM","","6:20 PM","7:38 PM","",""
"8","5:30 AM","","6:47 AM","12:34 PM","","3:46 PM","","6:21 PM","7:39 PM","",""
"9","5:28 AM","","6:46 AM","12:33 PM","","3:47 PM","","6:22 PM","7:40 PM","",""
"10","5:26 AM","","6:44 AM","12:33 PM","","3:48 PM","","6:23 PM","7:41 PM","",""
"11","6:24 AM","","7:42 AM","1:33 PM","","4:49 PM","","7:25 PM","8:43 PM","",""
"12","6:22 AM","","7:40 AM","1:33 PM","","4:49 PM","","7:26 PM","8:44 PM","",""
"13","6:21 AM","","7:39 AM","1:32 PM","","4:50 PM","","7:27 PM","8:45 PM","",""
"14","6:19 AM","","7:37 AM","1:32 PM","","4:51 PM","","7:28 PM","8:46 PM","",""
"15","6:17 AM","","7:35 AM","1:32 PM","","4:51 PM","","7:29 PM","8:48 PM","",""
"16","6:15 AM","","7:33 AM","1:32 PM","","4:52 PM","","7:31 PM","8:49 PM","",""
"17","6:13 AM","","7:32 AM","1:31 PM","","4:53 PM","","7:32 PM","8:50 PM","",""
"18","6:12 AM","","7:30 AM","1:31 PM","","4:53 PM","","7:33 PM","8:51 PM","",""
"19","6:10 AM","","7:28 AM","1:31 PM","","4:54 PM","","7:34 PM","8:53 PM","",""
"20","6:08 AM","","7:26 AM","1:30 PM","","4:55 PM","","7:35 PM","8:54 PM","",""
"21","6:06 AM","","7:24 AM","1:30 PM","","4:55 PM","","7:37 PM","8:55 PM","",""
"22","6:04 AM","","7:23 AM","1:30 PM","","4:56 PM","","7:38 PM","8:57 PM","",""
"23","6:02 AM","","7:21 AM","1:30 PM","","4:57 PM","","7:39 PM","8:58 PM","",""
"24","6:00 AM","","7:19 AM","1:29 PM","","4:57 PM","","7:40 PM","8:59 PM","",""
"25","5:58 AM","","7:17 AM","1:29 PM","","4:58 PM","","7:41 PM","9:00 PM","",""
"26","5:56 AM","","7:16 AM","1:29 PM","","4:58 PM","","7:42 PM","9:02 PM","",""
"27","5:54 AM","","7:14 AM","1:28 PM","","4:59 PM","","7:44 PM","9:03 PM","",""
"28","5:53 AM","","7:12 AM","1:28 PM","","4:59 PM","","7:45 PM","9:04 PM","",""
"29","5:51 AM","","7:10 AM","1:28 PM","","5:00 PM","","7:46 PM","9:06 PM","",""
"30","5:49 AM","","7:08 AM","1:27 PM","","5:00 PM","","7:47 PM","9:07 PM","",""
"31","5:47 AM","","7:07 AM","1:27 PM","","5:01 PM","","7:48 PM","9:08 PM","",""
