"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","4:47 AM","","6:16 AM","1:20 PM","","5:14 PM","","8:24 PM","9:54 PM","",""
"2","4:45 AM","","6:15 AM","1:20 PM","","5:15 PM","","8:25 PM","9:56 PM","",""
"3","4:43 AM","","6:14 AM","1:20 PM","","5:15 PM","","8:27 PM","9:58 PM","",""
"4","4:41 AM","","6:12 AM","1:20 PM","","5:15 PM","","8:28 PM","9:59 PM","",""
"5","4:40 AM","","6:11 AM","1:20 PM","","5:16 PM","","8:29 PM","10:01 PM","",""
"6","4:38 AM","","6:10 AM","1:20 PM","","5:16 PM","","8:30 PM","10:02 PM","",""
"7","4:36 AM","","6:09 AM","1:20 PM","","5:16 PM","","8:31 PM","10:04 PM","",""
"8","4:34 AM","","6:07 AM","1:20 PM","","5:17 PM","","8:32 PM","10:06 PM","",""
"9","4:33 AM","","6:06 AM","1:19 PM","","5:17 PM","","8:33 PM","10:07 PM","",""
"10","4:31 AM","","6:05 AM","1:19 PM","","5:17 PM","","8:34 PM","10:09 PM","",""
"11","4:29 AM","","6:04 AM","1:19 PM","","5:18 PM","","8:36 PM","10:10 PM","",""
"12","4:28 AM","","6:03 AM","1:19 PM","","5:18 PM","","8:37 PM","10:12 PM","",""
"13","4:26 AM","","6:02 AM","1:19 PM","","5:18 PM","","8:38 PM","10:13 PM","",""
"14","4:25 AM","","6:00 AM","1:19 PM","","5:19 PM","","8:39 PM","10:15 PM","",""
"15","4:23 AM","","5:59 AM","1:19 PM","","5:19 PM","","8:40 PM","10:17 PM","",""
"16","4:22 AM","","5:58 AM","1:19 PM","","5:19 PM","","8:41 PM","10:18 PM","",""
"17","4:20 AM","","5:57 AM","1:19 PM","","5:20 PM","","8:42 PM","10:20 PM","",""
"18","4:19 AM","","5:56 AM","1:19 PM","","5:20 PM","","8:43 PM","10:21 PM","",""
"19","4:17 AM","","5:55 AM","1:20 PM","","5:20 PM","","8:44 PM","10:23 PM","",""
"20","4:16 AM","","5:55 AM","1:20 PM","","5:21 PM","","8:45 PM","10:24 PM","",""
"21","4:14 AM","","5:54 AM","1:20 PM","","5:21 PM","","8:46 PM","10:26 PM","",""
"22","4:13 AM","","5:53 AM","1:20 PM","","5:21 PM","","8:47 PM","10:27 PM","",""
"23","4:12 AM","","5:52 AM","1:20 PM","","5:22 PM","","8:48 PM","10:28 PM","",""
"24","4:11 AM","","5:51 AM","1:20 PM","","5:22 PM","","8:49 PM","10:30 PM","",""
"25","4:09 AM","","5:50 AM","1:20 PM","","5:22 PM","","8:50 PM","10:31 PM","",""
"26","4:08 AM","","5:50 AM","1:20 PM","","5:23 PM","","8:51 PM","10:33 PM","",""
"27","4:07 AM","","5:49 AM","1:20 PM","","5:23 PM","","8:52 PM","10:34 PM","",""
"28","4:06 AM","","5:48 AM","1:20 PM","","5:23 PM","","8:53 PM","10:35 PM","",""
"29","4:05 AM","","5:48 AM","1:20 PM","","5:24 PM","","8:53 PM","10:37 PM","",""
"30","4:04 AM","","5:47 AM","1:21 PM","","5:24 PM","","8:54 PM","10:38 PM","",""
"31","4:03 AM","","5:47 AM","1:21 PM","","5:24 PM","","8:55 PM","10:39 PM","",""
