"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:38 AM","","7:58 AM","1:07 PM","","3:51 PM","","6:15 PM","7:35 PM","",""
"2","6:39 AM","","7:59 AM","1:07 PM","","3:49 PM","","6:13 PM","7:33 PM","",""
"3","6:40 AM","","8:00 AM","1:07 PM","","3:48 PM","","6:12 PM","7:32 PM","",""
"4","5:41 AM","","7:02 AM","12:07 PM","","2:47 PM","","5:11 PM","6:31 PM","",""
"5","5:43 AM","","7:03 AM","12:07 PM","","2:46 PM","","5:10 PM","6:30 PM","",""
"6","5:44 AM","","7:04 AM","12:07 PM","","2:46 PM","","5:08 PM","6:29 PM","",""
"7","5:45 AM","","7:05 AM","12:07 PM","","2:45 PM","","5:07 PM","6:28 PM","",""
"8","5:46 AM","","7:07 AM","12:07 PM","","2:44 PM","","5:06 PM","6:27 PM","",""
"9","5:47 AM","","7:08 AM","12:07 PM","","2:43 PM","","5:05 PM","6:26 PM","",""
"10","5:48 AM","","7:09 AM","12:07 PM","","2:42 PM","","5:04 PM","6:25 PM","",""
"11","5:49 AM","","7:11 AM","12:07 PM","","2:41 PM","","5:03 PM","6:24 PM","",""
"12","5:50 AM","","7:12 AM","12:07 PM","","2:40 PM","","5:02 PM","6:23 PM","",""
"13","5:52 AM","","7:13 AM","12:07 PM","","2:39 PM","","5:01 PM","6:23 PM","",""
"14","5:53 AM","","7:14 AM","12:07 PM","","2:39 PM","","5:00 PM","6:22 PM","",""
"15","5:54 AM","","7:16 AM","12:08 PM","","2:38 PM","","4:59 PM","6:21 PM","",""
"16","5:55 AM","","7:17 AM","12:08 PM","","2:37 PM","","4:58 PM","6:20 PM","",""
"17","5:56 AM","","7:18 AM","12:08 PM","","2:37 PM","","4:57 PM","6:20 PM","",""
"18","5:57 AM","","7:20 AM","12:08 PM","","2:36 PM","","4:56 PM","6:19 PM","",""
"19","5:58 AM","","7:21 AM","12:08 PM","","2:35 PM","","4:56 PM","6:18 PM","",""
"20","5:59 AM","","7:22 AM","12:09 PM","","2:35 PM","","4:55 PM","6:18 PM","",""
"21","6:00 AM","","7:23 AM","12:09 PM","","2:34 PM","","4:54 PM","6:17 PM","",""
"22","6:01 AM","","7:24 AM","12:09 PM","","2:34 PM","","4:53 PM","6:17 PM","",""
"23","6:02 AM","","7:26 AM","12:09 PM","","2:33 PM","","4:53 PM","6:16 PM","",""
"24","6:03 AM","","7:27 AM","12:10 PM","","2:33 PM","","4:52 PM","6:16 PM","",""
"25","6:04 AM","","7:28 AM","12:10 PM","","2:32 PM","","4:52 PM","6:15 PM","",""
"26","6:05 AM","","7:29 AM","12:10 PM","","2:32 PM","","4:51 PM","6:15 PM","",""
"27","6:07 AM","","7:30 AM","12:11 PM","","2:31 PM","","4:51 PM","6:15 PM","",""
"28","6:07 AM","","7:32 AM","12:11 PM","","2:31 PM","","4:50 PM","6:14 PM","",""
"29","6:08 AM","","7:33 AM","12:11 PM","","2:31 PM","","4:50 PM","6:14 PM","",""
"30","6:09 AM","","7:34 AM","12:12 PM","","2:31 PM","","4:49 PM","6:14 PM","",""
