"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:25 AM","4:27 AM","6:47 AM","1:23 PM","1:29 PM","5:04 PM","6:39 PM","7:58 PM","9:20 PM","10:31 PM","1:15 PM"
"2","5:26 AM","4:27 AM","6:48 AM","1:23 PM","1:29 PM","5:03 PM","6:39 PM","7:56 PM","9:18 PM","10:31 PM","1:15 PM"
"3","5:27 AM","4:27 AM","6:50 AM","1:22 PM","1:29 PM","5:02 PM","6:39 PM","7:54 PM","9:16 PM","10:31 PM","1:15 PM"
"4","5:29 AM","4:27 AM","6:51 AM","1:22 PM","1:29 PM","5:01 PM","6:39 PM","7:53 PM","9:14 PM","10:31 PM","1:15 PM"
"5","5:30 AM","4:27 AM","6:52 AM","1:22 PM","1:29 PM","5:00 PM","6:39 PM","7:51 PM","9:12 PM","10:31 PM","1:15 PM"
"6","5:31 AM","4:27 AM","6:53 AM","1:21 PM","1:29 PM","4:59 PM","6:39 PM","7:49 PM","9:10 PM","10:31 PM","1:15 PM"
"7","5:33 AM","4:27 AM","6:54 AM","1:21 PM","1:29 PM","4:58 PM","6:39 PM","7:47 PM","9:08 PM","10:31 PM","1:15 PM"
"8","5:34 AM","4:27 AM","6:55 AM","1:21 PM","1:29 PM","4:57 PM","6:39 PM","7:46 PM","9:06 PM","10:31 PM","1:15 PM"
"9","5:35 AM","4:27 AM","6:56 AM","1:20 PM","1:29 PM","4:56 PM","6:39 PM","7:44 PM","9:04 PM","10:31 PM","1:15 PM"
"10","5:37 AM","4:27 AM","6:57 AM","1:20 PM","1:29 PM","4:55 PM","6:39 PM","7:42 PM","9:02 PM","10:31 PM","1:15 PM"
"11","5:38 AM","4:27 AM","6:58 AM","1:20 PM","1:29 PM","4:54 PM","6:39 PM","7:40 PM","9:00 PM","10:31 PM","1:15 PM"
"12","5:39 AM","4:27 AM","6:59 AM","1:19 PM","1:29 PM","4:52 PM","6:39 PM","7:38 PM","8:58 PM","10:31 PM","1:15 PM"
"13","5:41 AM","4:27 AM","7:00 AM","1:19 PM","1:29 PM","4:51 PM","6:39 PM","7:37 PM","8:56 PM","10:31 PM","1:15 PM"
"14","5:42 AM","4:27 AM","7:02 AM","1:19 PM","1:29 PM","4:50 PM","6:39 PM","7:35 PM","8:54 PM","10:31 PM","1:15 PM"
"15","5:43 AM","4:27 AM","7:03 AM","1:18 PM","1:29 PM","4:49 PM","6:39 PM","7:33 PM","8:52 PM","10:31 PM","1:15 PM"
"16","5:44 AM","4:27 AM","7:04 AM","1:18 PM","1:29 PM","4:48 PM","6:39 PM","7:31 PM","8:50 PM","10:31 PM","1:15 PM"
"17","5:46 AM","4:27 AM","7:05 AM","1:17 PM","1:29 PM","4:46 PM","6:39 PM","7:29 PM","8:48 PM","10:31 PM","1:15 PM"
"18","5:47 AM","4:27 AM","7:06 AM","1:17 PM","1:29 PM","4:45 PM","6:39 PM","7:28 PM","8:47 PM","10:31 PM","1:15 PM"
"19","5:48 AM","4:27 AM","7:07 AM","1:17 PM","1:29 PM","4:44 PM","6:39 PM","7:26 PM","8:45 PM","10:31 PM","1:15 PM"
"20","5:49 AM","4:27 AM","7:08 AM","1:16 PM","1:29 PM","4:43 PM","6:39 PM","7:24 PM","8:43 PM","10:31 PM","1:15 PM"
"21","5:50 AM","4:27 AM","7:09 AM","1:16 PM","1:29 PM","4:41 PM","6:39 PM","7:22 PM","8:41 PM","10:31 PM","1:15 PM"
"22","5:52 AM","4:27 AM","7:10 AM","1:16 PM","1:29 PM","4:40 PM","6:39 PM","7:20 PM","8:39 PM","10:31 PM","1:15 PM"
"23","5:53 AM","4:27 AM","7:11 AM","1:15 PM","1:29 PM","4:39 PM","6:39 PM","7:18 PM","8:37 PM","10:31 PM","1:15 PM"
"24","5:54 AM","4:27 AM","7:13 AM","1:15 PM","1:29 PM","4:38 PM","6:39 PM","7:17 PM","8:35 PM","10:31 PM","1:15 PM"
"25","5:55 AM","4:27 AM","7:14 AM","1:15 PM","1:29 PM","4:36 PM","6:39 PM","7:15 PM","8:33 PM","10:31 PM","1:15 PM"
"26","5:56 AM","4:27 AM","7:15 AM","1:14 PM","1:29 PM","4:35 PM","6:39 PM","7:13 PM","8:31 PM","10:31 PM","1:15 PM"
"27","5:58 AM","4:27 AM","7:16 AM","1:14 PM","1:29 PM","4:34 PM","6:39 PM","7:11 PM","8:29 PM","10:31 PM","1:15 PM"
"28","5:59 AM","4:27 AM","7:17 AM","1:14 PM","1:29 PM","4:32 PM","6:39 PM","7:09 PM","8:28 PM","10:31 PM","1:15 PM"
"29","6:00 AM","4:27 AM","7:18 AM","1:13 PM","1:29 PM","4:31 PM","6:39 PM","7:08 PM","8:26 PM","10:31 PM","1:15 PM"
"30","6:01 AM","4:27 AM","7:19 AM","1:13 PM","1:29 PM","4:30 PM","6:39 PM","7:06 PM","8:24 PM","10:31 PM","1:15 PM"
