"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","6:34 AM","6:15 AM","7:55 AM","1:02 PM","1:45 PM","4:26 PM","6:15 PM","6:09 PM","7:30 PM","9:00 PM","2:00 PM","3:15 PM"
"2","6:35 AM","6:15 AM","7:56 AM","1:02 PM","1:45 PM","4:25 PM","6:15 PM","6:08 PM","7:28 PM","9:00 PM","2:00 PM","3:15 PM"
"3","6:36 AM","6:15 AM","7:57 AM","1:02 PM","1:45 PM","4:23 PM","6:15 PM","6:06 PM","7:27 PM","9:00 PM","2:00 PM","3:15 PM"
"4","6:38 AM","6:15 AM","7:59 AM","1:02 PM","1:45 PM","4:22 PM","6:15 PM","6:05 PM","7:26 PM","9:00 PM","2:00 PM","3:15 PM"
"5","5:39 AM","6:15 AM","7:00 AM","12:02 PM","1:00 PM","3:21 PM","6:15 PM","5:04 PM","6:25 PM","9:00 PM","1:00 PM","2:15 PM"
"6","5:40 AM","6:15 AM","7:01 AM","12:02 PM","1:00 PM","3:20 PM","6:15 PM","5:03 PM","6:24 PM","9:00 PM","1:00 PM","2:15 PM"
"7","5:41 AM","6:15 AM","7:03 AM","12:02 PM","1:00 PM","3:19 PM","6:15 PM","5:01 PM","6:23 PM","9:00 PM","1:00 PM","2:15 PM"
"8","5:42 AM","6:15 AM","7:04 AM","12:02 PM","1:00 PM","3:18 PM","6:15 PM","5:00 PM","6:22 PM","9:00 PM","1:00 PM","2:15 PM"
"9","5:43 AM","6:15 AM","7:05 AM","12:02 PM","1:00 PM","3:16 PM","6:15 PM","4:59 PM","6:21 PM","9:00 PM","1:00 PM","2:15 PM"
"10","5:45 AM","6:15 AM","7:07 AM","12:03 PM","1:00 PM","3:15 PM","6:15 PM","4:58 PM","6:20 PM","9:00 PM","1:00 PM","2:15 PM"
"11","5:46 AM","6:15 AM","7:08 AM","12:03 PM","1:00 PM","3:14 PM","6:15 PM","4:57 PM","6:19 PM","9:00 PM","1:00 PM","2:15 PM"
"12","5:47 AM","6:15 AM","7:09 AM","12:03 PM","1:00 PM","3:13 PM","6:15 PM","4:56 PM","6:18 PM","9:00 PM","1:00 PM","2:15 PM"
"13","5:48 AM","6:15 AM","7:10 AM","12:03 PM","1:00 PM","3:12 PM","6:15 PM","4:55 PM","6:17 PM","9:00 PM","1:00 PM","2:15 PM"
"14","5:49 AM","6:15 AM","7:12 AM","12:03 PM","1:00 PM","3:11 PM","6:15 PM","4:54 PM","6:17 PM","9:00 PM","1:00 PM","2:15 PM"
"15","5:50 AM","6:15 AM","7:13 AM","12:03 PM","1:00 PM","3:10 PM","6:15 PM","4:53 PM","6:16 PM","9:00 PM","1:00 PM","2:15 PM"
"16","5:51 AM","6:15 AM","7:14 AM","12:03 PM","1:00 PM","3:10 PM","6:15 PM","4:52 PM","6:15 PM","9:00 PM","1:00 PM","2:15 PM"
"17","5:52 AM","6:15 AM","7:16 AM","12:04 PM","1:00 PM","3:09 PM","6:15 PM","4:51 PM","6:14 PM","9:00 PM","1:00 PM","2:15 PM"
"18","5:54 AM","6:15 AM","7:17 AM","12:04 PM","1:00 PM","3:08 PM","6:15 PM","4:50 PM","6:14 PM","9:00 PM","1:00 PM","2:15 PM"
"19","5:55 AM","6:15 AM","7:18 AM","12:04 PM","1:00 PM","3:07 PM","6:15 PM","4:49 PM","6:13 PM","9:00 PM","1:00 PM","2:15 PM"
"20","5:56 AM","6:15 AM","7:19 AM","12:04 PM","1:00 PM","3:06 PM","6:15 PM","4:49 PM","6:12 PM","9:00 PM","1:00 PM","2:15 PM"
"21","5:57 AM","6:15 AM","7:21 AM","12:05 PM","1:00 PM","3:06 PM","6:15 PM","4:48 PM","6:12 PM","9:00 PM","1:00 PM","2:15 PM"
"22","5:58 AM","6:15 AM","7:22 AM","12:05 PM","1:00 PM","3:05 PM","6:15 PM","4:47 PM","6:11 PM","9:00 PM","1:00 PM","2:15 PM"
"23","5:59 AM","6:15 AM","7:23 AM","12:05 PM","1:00 PM","3:04 PM","6:15 PM","4:47 PM","6:11 PM","9:00 PM","1:00 PM","2:15 PM"
"24","6:00 AM","6:15 AM","7:24 AM","12:05 PM","1:00 PM","3:04 PM","6:15 PM","4:46 PM","6:10 PM","9:00 PM","1:00 PM","2:15 PM"
"25","6:01 AM","6:15 AM","7:26 AM","12:06 PM","1:00 PM","3:03 PM","6:15 PM","4:45 PM","6:10 PM","9:00 PM","1:00 PM","2:15 PM"
"26","6:02 AM","6:15 AM","7:27 AM","12:06 PM","1:00 PM","3:03 PM","6:15 PM","4:45 PM","6:09 PM","9:00 PM","1:00 PM","2:15 PM"
"27","6:03 AM","6:15 AM","7:28 AM","12:06 PM","1:00 PM","3:02 PM","6:15 PM","4:44 PM","6:09 PM","9:00 PM","1:00 PM","2:15 PM"
"28","6:04 AM","6:15 AM","7:29 AM","12:07 PM","1:00 PM","3:02 PM","6:15 PM","4:44 PM","6:09 PM","9:00 PM","1:00 PM","2:15 PM"
"29","6:05 AM","6:15 AM","7:30 AM","12:07 PM","1:00 PM","3:01 PM","6:15 PM","4:43 PM","6:09 PM","9:00 PM","1:00 PM","2:15 PM"
"30","6:06 AM","6:15 AM","7:31 AM","12:07 PM","1:00 PM","3:01 PM","6:15 PM","4:43 PM","6:08 PM","9:00 PM","1:00 PM","2:15 PM"
