"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:42 AM","6:10 AM","7:03 AM","1:25 PM","1:40 PM","5:54 PM","6:30 PM","7:48 PM","9:09 PM","9:40 PM","1:40 PM","3:10 PM"
"2","5:40 AM","6:10 AM","7:01 AM","1:25 PM","1:40 PM","5:55 PM","6:30 PM","7:49 PM","9:10 PM","9:40 PM","1:40 PM","3:10 PM"
"3","5:38 AM","6:10 AM","6:59 AM","1:24 PM","1:40 PM","5:56 PM","6:30 PM","7:50 PM","9:12 PM","9:40 PM","1:40 PM","3:10 PM"
"4","5:36 AM","6:10 AM","6:57 AM","1:24 PM","1:40 PM","5:57 PM","6:30 PM","7:52 PM","9:13 PM","9:40 PM","1:40 PM","3:10 PM"
"5","5:34 AM","6:10 AM","6:55 AM","1:24 PM","1:40 PM","5:58 PM","6:30 PM","7:53 PM","9:15 PM","9:40 PM","1:40 PM","3:10 PM"
"6","5:32 AM","6:10 AM","6:54 AM","1:24 PM","1:40 PM","5:58 PM","6:30 PM","7:54 PM","9:16 PM","9:40 PM","1:40 PM","3:10 PM"
"7","5:30 AM","6:10 AM","6:52 AM","1:23 PM","1:40 PM","5:59 PM","6:30 PM","7:55 PM","9:17 PM","9:40 PM","1:40 PM","3:10 PM"
"8","5:28 AM","6:10 AM","6:50 AM","1:23 PM","1:40 PM","6:00 PM","6:30 PM","7:56 PM","9:19 PM","9:40 PM","1:40 PM","3:10 PM"
"9","5:26 AM","6:10 AM","6:49 AM","1:23 PM","1:40 PM","6:01 PM","6:30 PM","7:58 PM","9:20 PM","9:40 PM","1:40 PM","3:10 PM"
"10","5:24 AM","6:00 AM","6:47 AM","1:22 PM","1:40 PM","6:02 PM","6:30 PM","7:59 PM","9:22 PM","9:55 PM","1:40 PM","3:10 PM"
"11","5:22 AM","6:00 AM","6:45 AM","1:22 PM","1:40 PM","6:02 PM","6:30 PM","8:00 PM","9:23 PM","9:55 PM","1:40 PM","3:10 PM"
"12","5:20 AM","6:00 AM","6:43 AM","1:22 PM","1:40 PM","6:03 PM","6:30 PM","8:01 PM","9:25 PM","9:55 PM","1:40 PM","3:10 PM"
"13","5:18 AM","6:00 AM","6:42 AM","1:22 PM","1:40 PM","6:04 PM","6:30 PM","8:02 PM","9:26 PM","9:55 PM","1:40 PM","3:10 PM"
"14","5:16 AM","6:00 AM","6:40 AM","1:21 PM","1:40 PM","6:05 PM","6:30 PM","8:03 PM","9:28 PM","9:55 PM","1:40 PM","3:10 PM"
"15","5:14 AM","6:00 AM","6:38 AM","1:21 PM","1:40 PM","6:05 PM","6:30 PM","8:05 PM","9:29 PM","9:55 PM","1:40 PM","3:10 PM"
"16","5:12 AM","6:00 AM","6:37 AM","1:21 PM","1:40 PM","6:06 PM","6:30 PM","8:06 PM","9:31 PM","9:55 PM","1:40 PM","3:10 PM"
"17","5:10 AM","6:00 AM","6:35 AM","1:21 PM","1:40 PM","6:07 PM","6:30 PM","8:07 PM","9:32 PM","9:55 PM","1:40 PM","3:10 PM"
"18","5:08 AM","6:00 AM","6:34 AM","1:20 PM","1:40 PM","6:08 PM","6:30 PM","8:08 PM","9:34 PM","9:55 PM","1:40 PM","3:10 PM"
"19","5:06 AM","6:00 AM","6:32 AM","1:20 PM","1:40 PM","6:08 PM","6:30 PM","8:09 PM","9:35 PM","9:55 PM","1:40 PM","3:10 PM"
"20","5:04 AM","5:40 AM","6:30 AM","1:20 PM","1:40 PM","6:09 PM","6:40 PM","8:10 PM","9:37 PM","10:10 PM","1:40 PM","3:10 PM"
"21","5:02 AM","5:40 AM","6:29 AM","1:20 PM","1:40 PM","6:10 PM","6:40 PM","8:12 PM","9:38 PM","10:10 PM","1:40 PM","3:10 PM"
"22","5:00 AM","5:40 AM","6:27 AM","1:20 PM","1:40 PM","6:10 PM","6:40 PM","8:13 PM","9:40 PM","10:10 PM","1:40 PM","3:10 PM"
"23","4:58 AM","5:40 AM","6:26 AM","1:19 PM","1:40 PM","6:11 PM","6:40 PM","8:14 PM","9:41 PM","10:10 PM","1:40 PM","3:10 PM"
"24","4:57 AM","5:40 AM","6:24 AM","1:19 PM","1:40 PM","6:12 PM","6:40 PM","8:15 PM","9:43 PM","10:10 PM","1:40 PM","3:10 PM"
"25","4:55 AM","5:40 AM","6:23 AM","1:19 PM","1:40 PM","6:13 PM","6:40 PM","8:16 PM","9:45 PM","10:10 PM","1:40 PM","3:10 PM"
"26","4:53 AM","5:40 AM","6:21 AM","1:19 PM","1:40 PM","6:13 PM","6:40 PM","8:18 PM","9:46 PM","10:10 PM","1:40 PM","3:10 PM"
"27","4:51 AM","5:40 AM","6:20 AM","1:19 PM","1:40 PM","6:14 PM","6:40 PM","8:19 PM","9:48 PM","10:10 PM","1:40 PM","3:10 PM"
"28","4:49 AM","5:40 AM","6:18 AM","1:19 PM","1:40 PM","6:15 PM","6:40 PM","8:20 PM","9:49 PM","10:10 PM","1:40 PM","3:10 PM"
"29","4:47 AM","5:40 AM","6:17 AM","1:19 PM","1:40 PM","6:15 PM","6:40 PM","8:21 PM","9:51 PM","10:10 PM","1:40 PM","3:10 PM"
"30","4:45 AM","5:40 AM","6:15 AM","1:18 PM","1:40 PM","6:16 PM","6:40 PM","8:22 PM","9:52 PM","10:10 PM","1:40 PM","3:10 PM"
