"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:36 AM","5:35 AM","6:11 AM","1:28 PM","1:45 PM","6:33 PM","7:00 PM","8:43 PM","10:18 PM","10:35 PM","1:40 PM","3:10 PM"
"2","4:38 AM","5:35 AM","6:12 AM","1:27 PM","1:45 PM","6:32 PM","7:00 PM","8:42 PM","10:16 PM","10:35 PM","1:45 PM","3:10 PM"
"3","4:39 AM","5:35 AM","6:14 AM","1:27 PM","1:45 PM","6:31 PM","7:00 PM","8:41 PM","10:14 PM","10:35 PM","1:45 PM","3:10 PM"
"4","4:41 AM","5:35 AM","6:15 AM","1:27 PM","1:45 PM","6:30 PM","7:00 PM","8:39 PM","10:13 PM","10:35 PM","1:45 PM","3:10 PM"
"5","4:43 AM","5:35 AM","6:16 AM","1:27 PM","1:45 PM","6:30 PM","7:00 PM","8:38 PM","10:11 PM","10:35 PM","1:45 PM","3:10 PM"
"6","4:44 AM","5:35 AM","6:17 AM","1:27 PM","1:45 PM","6:29 PM","7:00 PM","8:37 PM","10:09 PM","10:35 PM","1:45 PM","3:10 PM"
"7","4:46 AM","5:35 AM","6:18 AM","1:27 PM","1:45 PM","6:28 PM","7:00 PM","8:35 PM","10:07 PM","10:35 PM","1:45 PM","3:10 PM"
"8","4:47 AM","5:35 AM","6:19 AM","1:27 PM","1:45 PM","6:27 PM","7:00 PM","8:34 PM","10:06 PM","10:35 PM","1:45 PM","3:10 PM"
"9","4:49 AM","5:35 AM","6:20 AM","1:27 PM","1:45 PM","6:26 PM","7:00 PM","8:33 PM","10:04 PM","10:35 PM","1:45 PM","3:10 PM"
"10","4:50 AM","5:45 AM","6:21 AM","1:27 PM","1:45 PM","6:25 PM","6:50 PM","8:31 PM","10:02 PM","10:20 PM","1:45 PM","3:10 PM"
"11","4:52 AM","5:45 AM","6:22 AM","1:26 PM","1:45 PM","6:24 PM","6:50 PM","8:30 PM","10:00 PM","10:20 PM","1:45 PM","3:10 PM"
"12","4:53 AM","5:45 AM","6:23 AM","1:26 PM","1:45 PM","6:23 PM","6:50 PM","8:28 PM","9:58 PM","10:20 PM","1:45 PM","3:10 PM"
"13","4:55 AM","5:45 AM","6:24 AM","1:26 PM","1:45 PM","6:22 PM","6:50 PM","8:27 PM","9:56 PM","10:20 PM","1:45 PM","3:10 PM"
"14","4:56 AM","5:45 AM","6:26 AM","1:26 PM","1:45 PM","6:21 PM","6:50 PM","8:25 PM","9:54 PM","10:20 PM","1:45 PM","3:10 PM"
"15","4:58 AM","5:45 AM","6:27 AM","1:26 PM","1:45 PM","6:20 PM","6:50 PM","8:24 PM","9:52 PM","10:20 PM","1:45 PM","3:10 PM"
"16","4:59 AM","5:45 AM","6:28 AM","1:25 PM","1:45 PM","6:19 PM","6:50 PM","8:22 PM","9:50 PM","10:20 PM","1:45 PM","3:10 PM"
"17","5:01 AM","5:45 AM","6:29 AM","1:25 PM","1:45 PM","6:18 PM","6:50 PM","8:21 PM","9:49 PM","10:20 PM","1:45 PM","3:10 PM"
"18","5:02 AM","5:45 AM","6:30 AM","1:25 PM","1:45 PM","6:17 PM","6:50 PM","8:19 PM","9:47 PM","10:20 PM","1:45 PM","3:10 PM"
"19","5:04 AM","5:45 AM","6:31 AM","1:25 PM","1:45 PM","6:16 PM","6:50 PM","8:18 PM","9:45 PM","10:20 PM","1:45 PM","3:10 PM"
"20","5:05 AM","5:55 AM","6:32 AM","1:24 PM","1:45 PM","6:15 PM","6:40 PM","8:16 PM","9:43 PM","10:00 PM","1:45 PM","3:10 PM"
"21","5:07 AM","5:55 AM","6:33 AM","1:24 PM","1:45 PM","6:13 PM","6:40 PM","8:14 PM","9:41 PM","10:00 PM","1:45 PM","3:10 PM"
"22","5:08 AM","5:55 AM","6:34 AM","1:24 PM","1:45 PM","6:12 PM","6:40 PM","8:13 PM","9:39 PM","10:00 PM","1:45 PM","3:10 PM"
