"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:39 AM","6:10 AM","6:57 AM","12:33 PM","12:50 PM","4:25 PM","5:10 PM","6:11 PM","7:29 PM","7:55 PM","12:50 PM","2:40 PM"
"2","5:37 AM","6:10 AM","6:55 AM","12:33 PM","12:50 PM","4:26 PM","5:10 PM","6:12 PM","7:30 PM","7:55 PM","12:50 PM","2:40 PM"
"3","5:36 AM","6:10 AM","6:54 AM","12:33 PM","12:50 PM","4:27 PM","5:10 PM","6:13 PM","7:31 PM","7:55 PM","12:50 PM","2:40 PM"
"4","5:34 AM","6:10 AM","6:52 AM","12:33 PM","12:50 PM","4:28 PM","5:10 PM","6:14 PM","7:32 PM","7:55 PM","12:50 PM","2:40 PM"
"5","5:32 AM","6:10 AM","6:50 AM","12:33 PM","12:50 PM","4:29 PM","5:10 PM","6:16 PM","7:34 PM","7:55 PM","12:50 PM","2:40 PM"
"6","5:31 AM","6:10 AM","6:49 AM","12:32 PM","12:50 PM","4:30 PM","5:10 PM","6:17 PM","7:35 PM","7:55 PM","12:50 PM","2:40 PM"
"7","5:29 AM","6:10 AM","6:47 AM","12:32 PM","12:50 PM","4:31 PM","5:10 PM","6:18 PM","7:36 PM","7:55 PM","12:50 PM","2:40 PM"
"8","6:27 AM","7:10 AM","7:45 AM","1:32 PM","1:50 PM","5:32 PM","6:10 PM","7:19 PM","8:37 PM","8:55 PM","1:50 PM","3:10 PM"
"9","6:25 AM","7:10 AM","7:43 AM","1:32 PM","1:50 PM","5:33 PM","6:10 PM","7:21 PM","8:39 PM","8:55 PM","1:50 PM","3:10 PM"
"10","6:24 AM","6:50 AM","7:42 AM","1:31 PM","1:50 PM","4:34 PM","6:10 PM","7:22 PM","8:40 PM","9:10 PM","1:50 PM","3:10 PM"
"11","6:22 AM","6:50 AM","7:40 AM","1:31 PM","1:50 PM","5:35 PM","6:10 PM","7:23 PM","8:41 PM","9:10 PM","1:50 PM","3:10 PM"
"12","6:20 AM","6:50 AM","7:38 AM","1:31 PM","1:50 PM","5:36 PM","6:10 PM","7:24 PM","8:43 PM","9:10 PM","1:50 PM","3:10 PM"
"13","6:18 AM","6:50 AM","7:36 AM","1:31 PM","1:50 PM","5:37 PM","6:10 PM","7:25 PM","8:44 PM","9:10 PM","1:50 PM","3:10 PM"
