"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","4:43 AM","5:30 AM","6:14 AM","1:18 PM","1:40 PM","6:17 PM","6:50 PM","8:23 PM","9:54 PM","10:15 PM","1:40 PM","3:10 PM"
"2","4:42 AM","5:30 AM","6:12 AM","1:18 PM","1:40 PM","6:17 PM","6:50 PM","8:25 PM","9:56 PM","10:15 PM","1:40 PM","3:10 PM"
"3","4:40 AM","5:30 AM","6:11 AM","1:18 PM","1:40 PM","6:18 PM","6:50 PM","8:26 PM","9:57 PM","10:15 PM","1:40 PM","3:10 PM"
"4","4:38 AM","5:30 AM","6:10 AM","1:18 PM","1:40 PM","6:19 PM","6:50 PM","8:27 PM","9:59 PM","10:15 PM","1:40 PM","3:10 PM"
"5","4:36 AM","5:30 AM","6:08 AM","1:18 PM","1:40 PM","6:19 PM","6:50 PM","8:28 PM","10:01 PM","10:15 PM","1:40 PM","3:10 PM"
"6","4:34 AM","4:50 AM","6:07 AM","1:18 PM","1:40 PM","6:20 PM","6:50 PM","8:29 PM","10:02 PM","10:15 PM","1:40 PM","3:10 PM"
"7","4:33 AM","4:49 AM","6:06 AM","1:18 PM","1:40 PM","6:21 PM","6:50 PM","8:30 PM","10:04 PM","10:15 PM","1:40 PM","3:10 PM"
"8","4:31 AM","4:47 AM","6:05 AM","1:18 PM","1:40 PM","6:21 PM","6:50 PM","8:31 PM","10:05 PM","10:15 PM","1:40 PM","3:10 PM"
"9","4:29 AM","4:45 AM","6:03 AM","1:18 PM","1:40 PM","6:22 PM","6:50 PM","8:32 PM","10:07 PM","10:15 PM","1:40 PM","3:10 PM"
"10","4:28 AM","4:43 AM","6:02 AM","1:18 PM","1:40 PM","6:23 PM","6:50 PM","8:34 PM","10:09 PM","10:15 PM","1:40 PM","3:10 PM"
"11","4:26 AM","4:42 AM","6:01 AM","1:18 PM","1:40 PM","6:23 PM","6:50 PM","8:35 PM","10:10 PM","10:15 PM","1:40 PM","3:10 PM"
"12","4:24 AM","4:40 AM","6:00 AM","1:18 PM","1:40 PM","6:24 PM","6:50 PM","8:36 PM","10:12 PM","10:15 PM","1:40 PM","3:10 PM"
"13","4:23 AM","4:38 AM","5:59 AM","1:18 PM","1:40 PM","6:25 PM","6:50 PM","8:37 PM","10:13 PM","10:15 PM","1:40 PM","3:10 PM"
"14","4:21 AM","4:37 AM","5:58 AM","1:18 PM","1:40 PM","6:25 PM","6:50 PM","8:38 PM","10:15 PM","10:15 PM","1:40 PM","3:10 PM"
"15","4:19 AM","4:35 AM","5:57 AM","1:18 PM","1:40 PM","6:26 PM","6:50 PM","8:39 PM","10:16 PM","10:30 PM","1:40 PM","3:10 PM"
"16","4:18 AM","4:34 AM","5:56 AM","1:18 PM","1:40 PM","6:27 PM","6:50 PM","8:40 PM","10:18 PM","10:30 PM","1:40 PM","3:10 PM"
"17","4:16 AM","4:32 AM","5:55 AM","1:18 PM","1:40 PM","6:27 PM","6:50 PM","8:41 PM","10:20 PM","10:30 PM","1:40 PM","3:10 PM"
"18","4:15 AM","4:31 AM","5:54 AM","1:18 PM","1:40 PM","6:28 PM","6:50 PM","8:42 PM","10:21 PM","10:30 PM","1:40 PM","3:10 PM"
"19","4:14 AM","4:29 AM","5:53 AM","1:18 PM","1:40 PM","6:28 PM","6:50 PM","8:43 PM","10:23 PM","10:30 PM","1:40 PM","3:10 PM"
"20","4:12 AM","4:28 AM","5:52 AM","1:18 PM","1:40 PM","6:29 PM","7:15 PM","8:44 PM","10:24 PM","10:30 PM","1:40 PM","3:10 PM"
"21","4:11 AM","4:26 AM","5:51 AM","1:18 PM","1:40 PM","6:30 PM","7:15 PM","8:45 PM","10:26 PM","10:30 PM","1:40 PM","3:10 PM"
"22","4:09 AM","4:25 AM","5:50 AM","1:18 PM","1:40 PM","6:30 PM","7:15 PM","8:46 PM","10:27 PM","10:30 PM","1:40 PM","3:10 PM"
"23","4:08 AM","4:23 AM","5:49 AM","1:18 PM","1:40 PM","6:31 PM","7:15 PM","8:47 PM","10:29 PM","10:30 PM","1:40 PM","3:10 PM"
"24","4:07 AM","4:22 AM","5:48 AM","1:18 PM","1:40 PM","6:31 PM","7:15 PM","8:48 PM","10:30 PM","10:30 PM","1:40 PM","3:10 PM"
"25","4:06 AM","4:21 AM","5:48 AM","1:18 PM","1:40 PM","6:32 PM","7:15 PM","8:49 PM","10:31 PM","10:30 PM","1:40 PM","3:10 PM"
"26","4:05 AM","4:20 AM","5:47 AM","1:18 PM","1:40 PM","6:32 PM","7:15 PM","8:50 PM","10:33 PM","10:30 PM","1:40 PM","3:10 PM"
"27","4:03 AM","4:18 AM","5:46 AM","1:18 PM","1:40 PM","6:33 PM","7:15 PM","8:51 PM","10:34 PM","10:30 PM","1:40 PM","3:10 PM"
"28","4:02 AM","4:17 AM","5:46 AM","1:19 PM","1:40 PM","6:33 PM","7:15 PM","8:52 PM","10:35 PM","10:30 PM","1:40 PM","3:10 PM"
"29","4:01 AM","4:16 AM","5:45 AM","1:19 PM","1:40 PM","6:34 PM","7:15 PM","8:53 PM","10:37 PM","10:30 PM","1:40 PM","3:10 PM"
"30","4:00 AM","4:15 AM","5:44 AM","1:19 PM","1:40 PM","6:35 PM","7:15 PM","8:54 PM","10:38 PM","10:30 PM","1:40 PM","3:10 PM"
"31","3:59 AM","4:14 AM","5:44 AM","1:19 PM","1:40 PM","6:35 PM","7:15 PM","8:54 PM","10:39 PM","10:30 PM","1:40 PM","3:10 PM"
