"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:35 AM","6:30 am","6:54 AM","12:30 PM","12:40 AM","4:22 PM","4:20 PM","6:08 PM","7:26 PM","7:30 PM","1:30 PM"
"2","5:34 AM","6:30 am","6:52 AM","12:30 PM","12:40 AM","4:23 PM","4:20 PM","6:09 PM","7:27 PM","7:30 PM","1:30 PM"
"3","5:32 AM","6:30 am","6:51 AM","12:30 PM","12:40 AM","4:24 PM","4:20 PM","6:10 PM","7:29 PM","7:30 PM","1:30 PM"
"4","5:30 AM","6:30 am","6:49 AM","12:30 PM","12:40 AM","4:25 PM","4:20 PM","6:11 PM","7:30 PM","7:30 PM","1:30 PM"
"5","5:29 AM","6:30 am","6:47 AM","12:30 PM","12:40 AM","4:26 PM","4:20 PM","6:13 PM","7:31 PM","7:30 PM","1:30 PM"
"6","5:27 AM","6:30 am","6:45 AM","12:29 PM","12:40 AM","4:27 PM","4:20 PM","6:14 PM","7:33 PM","7:30 PM","1:30 PM"
"7","5:25 AM","6:30 am","6:44 AM","12:29 PM","12:40 AM","4:28 PM","4:20 PM","6:15 PM","7:34 PM","7:30 PM","1:30 PM"
"8","5:23 AM","6:30 am","6:42 AM","12:29 PM","12:40 AM","4:29 PM","4:20 PM","6:16 PM","7:35 PM","7:30 PM","1:30 PM"
"9","5:22 AM","6:30 am","6:40 AM","12:29 PM","12:40 AM","4:30 PM","4:20 PM","6:18 PM","7:36 PM","7:30 PM","1:30 PM"
"10","5:20 AM","6:30 am","6:38 AM","12:28 PM","12:40 AM","4:31 PM","4:20 PM","6:19 PM","7:38 PM","7:30 PM","1:30 PM"
"11","5:18 AM","6:30 am","6:37 AM","12:28 PM","12:40 AM","4:32 PM","4:20 PM","6:20 PM","7:39 PM","7:30 PM","1:30 PM"
"12","5:16 AM","6:30 am","6:35 AM","12:28 PM","1:40 PM","4:33 PM","5:20 PM","7:21 PM","7:40 PM","8:50 Pm","2:00 PM"
"13","6:14 AM","6:30 am","7:33 AM","1:28 PM","1:40 PM","5:34 PM","5:20 PM","7:23 PM","8:41 PM","8:50 Pm","2:00 PM"
"14","6:13 AM","6:30 am","7:31 AM","1:27 PM","1:40 PM","5:35 PM","5:20 PM","7:24 PM","8:43 PM","8:50 Pm","2:00 PM"
"15","6:11 AM","6:30 am","7:30 AM","1:27 PM","1:40 PM","5:36 PM","5:20 PM","7:25 PM","8:44 PM","8:50 Pm","2:00 PM"
"16","6:09 AM","6:30 am","7:28 AM","1:27 PM","1:40 PM","5:37 PM","5:20 PM","7:26 PM","8:45 PM","8:50 Pm","2:00 PM"
"17","6:07 AM","6:30 am","7:26 AM","1:26 PM","1:40 PM","5:38 PM","5:20 PM","7:28 PM","8:47 PM","8:50 Pm","2:00 PM"
"18","6:05 AM","6:30 am","7:24 AM","1:26 PM","1:40 PM","5:39 PM","5:20 PM","7:29 PM","8:48 PM","8:50 Pm","2:00 PM"
"19","6:03 AM","6:30 am","7:22 AM","1:26 PM","1:40 PM","5:40 PM","5:20 PM","7:30 PM","8:49 PM","8:50 Pm","2:00 PM"
"20","6:01 AM","6:30 am","7:21 AM","1:26 PM","1:40 PM","5:41 PM","5:20 PM","7:31 PM","8:51 PM","8:50 Pm","2:00 PM"
"21","5:59 AM","6:30 am","7:19 AM","1:25 PM","1:40 PM","5:42 PM","5:20 PM","7:32 PM","8:52 PM","8:50 Pm","2:00 PM"
"22","5:57 AM","6:30 am","7:17 AM","1:25 PM","1:40 PM","5:43 PM","5:20 PM","7:34 PM","8:53 PM","8:50 Pm","2:00 PM"
"23","5:55 AM","6:30 am","7:15 AM","1:25 PM","1:40 PM","5:44 PM","5:20 PM","7:35 PM","8:55 PM","8:50 Pm","2:00 PM"
"24","5:54 AM","6:30 am","7:13 AM","1:24 PM","1:40 PM","5:45 PM","5:20 PM","7:36 PM","8:56 PM","8:50 Pm","2:00 PM"
"25","5:52 AM","6:30 am","7:12 AM","1:24 PM","1:40 PM","5:45 PM","5:20 PM","7:37 PM","8:57 PM","8:50 Pm","2:00 PM"
"26","5:50 AM","6:30 am","7:10 AM","1:24 PM","1:40 PM","5:46 PM","5:20 PM","7:38 PM","8:59 PM","8:50 Pm","2:00 PM"
"27","5:48 AM","6:30 am","7:08 AM","1:23 PM","1:40 PM","5:47 PM","5:20 PM","7:40 PM","9:00 PM","8:50 Pm","2:00 PM"
"28","5:46 AM","6:30 am","7:06 AM","1:23 PM","1:40 PM","5:48 PM","5:20 PM","7:41 PM","9:01 PM","8:50 Pm","2:00 PM"
"29","5:44 AM","6:30 am","7:04 AM","1:23 PM","1:40 PM","5:49 PM","5:20 PM","7:42 PM","9:03 PM","8:50 Pm","2:00 PM"
"30","5:42 AM","6:30 am","7:02 AM","1:23 PM","1:40 PM","5:50 PM","5:20 PM","7:43 PM","9:04 PM","8:50 Pm","2:00 PM"
"31","5:40 AM","6:30 am","7:01 AM","1:22 PM","1:40 PM","5:51 PM","5:20 PM","7:44 PM","9:06 PM","8:50 Pm","2:00 PM"
