"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah 1 Iqama"
"1","5:19 AM","5:30 am","6:42 AM","1:18 PM","1:40 PM","5:56 PM","6:00 PM","7:53 PM","9:16 PM","9:40 Pm","2:00 PM"
"2","5:20 AM","5:30 am","6:44 AM","1:18 PM","1:40 PM","5:55 PM","6:00 PM","7:51 PM","9:14 PM","9:40 Pm","2:00 PM"
"3","5:22 AM","5:30 am","6:45 AM","1:17 PM","1:40 PM","5:54 PM","6:00 PM","7:49 PM","9:12 PM","9:40 Pm","2:00 PM"
"4","5:23 AM","5:30 am","6:46 AM","1:17 PM","1:40 PM","5:52 PM","6:00 PM","7:48 PM","9:10 PM","9:40 Pm","2:00 PM"
"5","5:25 AM","5:30 am","6:47 AM","1:17 PM","1:40 PM","5:51 PM","6:00 PM","7:46 PM","9:08 PM","9:40 Pm","2:00 PM"
"6","5:26 AM","5:30 am","6:48 AM","1:16 PM","1:40 PM","5:49 PM","6:00 PM","7:44 PM","9:06 PM","9:40 Pm","2:00 PM"
"7","5:27 AM","5:30 am","6:49 AM","1:16 PM","1:40 PM","5:48 PM","6:00 PM","7:42 PM","9:04 PM","9:40 Pm","2:00 PM"
"8","5:29 AM","5:30 am","6:50 AM","1:16 PM","1:40 PM","5:46 PM","6:00 PM","7:40 PM","9:02 PM","9:40 Pm","2:00 PM"
"9","5:30 AM","5:30 am","6:51 AM","1:15 PM","1:40 PM","5:45 PM","6:00 PM","7:39 PM","9:00 PM","9:40 Pm","2:00 PM"
"10","5:31 AM","5:30 am","6:52 AM","1:15 PM","1:40 PM","5:44 PM","6:00 PM","7:37 PM","8:58 PM","9:40 Pm","2:00 PM"
"11","5:33 AM","5:30 am","6:54 AM","1:15 PM","1:40 PM","5:42 PM","6:00 PM","7:35 PM","8:56 PM","9:40 Pm","2:00 PM"
"12","5:34 AM","5:30 am","6:55 AM","1:14 PM","1:40 PM","5:41 PM","6:00 PM","7:33 PM","8:54 PM","9:40 Pm","2:00 PM"
"13","5:35 AM","5:30 am","6:56 AM","1:14 PM","1:40 PM","5:39 PM","6:00 PM","7:31 PM","8:52 PM","9:40 Pm","2:00 PM"
"14","5:36 AM","5:30 am","6:57 AM","1:14 PM","1:40 PM","5:38 PM","6:00 PM","7:29 PM","8:50 PM","9:40 Pm","2:00 PM"
"15","5:38 AM","5:30 am","6:58 AM","1:13 PM","1:40 PM","5:36 PM","6:00 PM","7:28 PM","8:48 PM","9:40 Pm","2:00 PM"
"16","5:39 AM","5:30 am","6:59 AM","1:13 PM","1:40 PM","5:35 PM","6:00 PM","7:26 PM","8:46 PM","9:40 Pm","2:00 PM"
"17","5:40 AM","6:00 am","7:00 AM","1:12 PM","1:40 PM","5:33 PM","6:00 PM","7:24 PM","8:44 PM","9:10 Pm","2:00 PM"
"18","5:42 AM","6:00 am","7:01 AM","1:12 PM","1:40 PM","5:31 PM","6:00 PM","7:22 PM","8:42 PM","9:10 Pm","2:00 PM"
"19","5:43 AM","6:00 am","7:03 AM","1:12 PM","1:40 PM","5:30 PM","6:00 PM","7:20 PM","8:40 PM","9:10 Pm","2:00 PM"
"20","5:44 AM","6:00 am","7:04 AM","1:11 PM","1:40 PM","5:28 PM","6:00 PM","7:18 PM","8:38 PM","9:10 Pm","2:00 PM"
"21","5:45 AM","6:00 am","7:05 AM","1:11 PM","1:40 PM","5:27 PM","6:00 PM","7:17 PM","8:36 PM","9:10 Pm","2:00 PM"
"22","5:47 AM","6:00 am","7:06 AM","1:11 PM","1:40 PM","5:25 PM","6:00 PM","7:15 PM","8:34 PM","9:10 Pm","2:00 PM"
"23","5:48 AM","6:00 am","7:07 AM","1:10 PM","1:40 PM","5:24 PM","6:00 PM","7:13 PM","8:32 PM","9:10 Pm","2:00 PM"
"24","5:49 AM","6:00 am","7:08 AM","1:10 PM","1:40 PM","5:22 PM","6:00 PM","7:11 PM","8:30 PM","9:10 Pm","2:00 PM"
"25","5:50 AM","6:15 am","7:09 AM","1:10 PM","1:40 PM","5:21 PM","5:30 PM","7:09 PM","8:28 PM","8:50 Pm","2:00 PM"
"26","5:52 AM","6:15 am","7:11 AM","1:09 PM","1:40 PM","5:19 PM","5:30 PM","7:07 PM","8:26 PM","8:50 Pm","2:00 PM"
"27","5:53 AM","6:15 am","7:12 AM","1:09 PM","1:40 PM","5:17 PM","5:30 PM","7:06 PM","8:24 PM","8:50 Pm","2:00 PM"
"28","5:54 AM","6:15 am","7:13 AM","1:09 PM","1:40 PM","5:16 PM","5:30 PM","7:04 PM","8:22 PM","8:50 Pm","2:00 PM"
"29","5:55 AM","6:15 am","7:14 AM","1:08 PM","1:40 PM","5:14 PM","5:30 PM","7:02 PM","8:21 PM","8:50 Pm","2:00 PM"
"30","5:56 AM","6:15 am","7:15 AM","1:08 PM","1:40 PM","5:13 PM","5:30 PM","7:00 PM","8:19 PM","8:50 Pm","2:00 PM"
