"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:49 AM","6:30 am","7:31 AM","12:07 PM","1:00 pm","3:00 PM","3:45 PM","4:42 PM","6:07 PM","8:00 PM","1:30 pm"
"2","5:50 AM","6:30 am","7:33 AM","12:07 PM","1:00 pm","2:59 PM","3:45 PM","4:42 PM","6:07 PM","8:00 PM","1:30 pm"
"3","5:50 AM","6:30 am","7:34 AM","12:07 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"4","5:51 AM","6:30 am","7:35 AM","12:08 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"5","5:52 AM","6:30 am","7:36 AM","12:08 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"6","5:53 AM","6:30 am","7:37 AM","12:09 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"7","5:54 AM","6:30 am","7:38 AM","12:09 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"8","5:55 AM","6:30 am","7:39 AM","12:10 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"9","5:56 AM","6:30 am","7:39 AM","12:10 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"10","5:56 AM","6:30 am","7:40 AM","12:10 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"11","5:57 AM","6:40 am","7:41 AM","12:11 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"12","5:58 AM","6:40 am","7:42 AM","12:11 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"13","5:59 AM","6:40 am","7:43 AM","12:12 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:07 PM","8:00 PM","1:30 pm"
"14","5:59 AM","6:40 am","7:44 AM","12:12 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:08 PM","8:00 PM","1:30 pm"
"15","6:00 AM","6:40 am","7:44 AM","12:13 PM","1:00 pm","2:59 PM","3:45 PM","4:41 PM","6:08 PM","8:00 PM","1:30 pm"
"16","6:01 AM","6:40 am","7:45 AM","12:13 PM","1:00 pm","2:59 PM","3:45 PM","4:42 PM","6:08 PM","8:00 PM","1:30 pm"
"17","6:01 AM","6:40 am","7:46 AM","12:14 PM","1:00 pm","3:00 PM","3:45 PM","4:42 PM","6:09 PM","8:00 PM","1:30 pm"
"18","6:02 AM","6:40 am","7:46 AM","12:14 PM","1:00 pm","3:00 PM","3:45 PM","4:42 PM","6:09 PM","8:00 PM","1:30 pm"
"19","6:03 AM","6:50 am","7:47 AM","12:15 PM","1:00 pm","3:01 PM","3:45 PM","4:43 PM","6:09 PM","8:00 PM","1:30 pm"
"20","6:03 AM","6:50 am","7:47 AM","12:15 PM","1:00 pm","3:01 PM","3:45 PM","4:43 PM","6:10 PM","8:00 PM","1:30 pm"
"21","6:04 AM","6:50 am","7:48 AM","12:16 PM","1:00 pm","3:01 PM","3:45 PM","4:44 PM","6:10 PM","8:00 PM","1:30 pm"
"22","6:04 AM","6:50 am","7:48 AM","12:16 PM","1:00 pm","3:02 PM","3:45 PM","4:44 PM","6:11 PM","8:00 PM","1:30 pm"
"23","6:05 AM","6:50 am","7:49 AM","12:17 PM","1:00 pm","3:03 PM","3:45 PM","4:45 PM","6:11 PM","8:00 PM","1:30 pm"
"24","6:05 AM","6:50 am","7:49 AM","12:17 PM","1:00 pm","3:03 PM","3:45 PM","4:45 PM","6:12 PM","8:00 PM","1:30 pm"
"25","6:05 AM","6:50 am","7:50 AM","12:18 PM","1:00 pm","3:04 PM","3:45 PM","4:46 PM","6:13 PM","8:00 PM","1:30 pm"
"26","6:06 AM","6:50 am","7:50 AM","12:18 PM","1:00 pm","3:04 PM","3:45 PM","4:46 PM","6:13 PM","8:00 PM","1:30 pm"
"27","6:06 AM","6:50 am","7:50 AM","12:19 PM","1:00 pm","3:05 PM","3:45 PM","4:47 PM","6:14 PM","8:00 PM","1:30 pm"
"28","6:07 AM","6:50 am","7:51 AM","12:19 PM","1:00 pm","3:06 PM","3:45 PM","4:48 PM","6:15 PM","8:00 PM","1:30 pm"
"29","6:07 AM","6:50 am","7:51 AM","12:20 PM","1:00 pm","3:07 PM","3:45 PM","4:49 PM","6:15 PM","8:00 PM","1:30 pm"
"30","6:07 AM","6:50 am","7:51 AM","12:20 PM","1:00 pm","3:07 PM","3:45 PM","4:49 PM","6:16 PM","8:00 PM","1:30 pm"
"31","6:07 AM","6:50 am","7:51 AM","12:21 PM","1:00 pm","3:08 PM","3:45 PM","4:50 PM","6:17 PM","8:00 PM","1:30 pm"
