"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:56 AM","6:25 AM","7:34 AM","12:31 PM","1:00 PM","3:46 PM","4:15 PM","5:29 PM","6:50 PM","8:00 PM","1:30 PM"
"2","5:55 AM","6:25 AM","7:33 AM","12:31 PM","1:00 PM","3:47 PM","4:15 PM","5:30 PM","6:52 PM","8:00 PM","1:30 PM"
"3","5:54 AM","6:25 AM","7:32 AM","12:31 PM","1:00 PM","3:48 PM","4:15 PM","5:31 PM","6:53 PM","8:00 PM","1:30 PM"
"4","5:53 AM","6:25 AM","7:31 AM","12:31 PM","1:00 PM","3:50 PM","4:15 PM","5:33 PM","6:54 PM","8:00 PM","1:30 PM"
"5","5:52 AM","6:25 AM","7:30 AM","12:32 PM","1:00 PM","3:51 PM","4:15 PM","5:34 PM","6:55 PM","8:00 PM","1:30 PM"
"6","5:51 AM","6:25 AM","7:29 AM","12:32 PM","1:00 PM","3:52 PM","4:15 PM","5:35 PM","6:56 PM","8:00 PM","1:30 PM"
"7","5:50 AM","6:25 AM","7:27 AM","12:32 PM","1:00 PM","3:54 PM","4:15 PM","5:37 PM","6:58 PM","8:00 PM","1:30 PM"
"8","5:49 AM","6:25 AM","7:26 AM","12:32 PM","1:00 PM","3:55 PM","4:15 PM","5:38 PM","6:59 PM","8:00 PM","1:30 PM"
"9","5:47 AM","6:25 AM","7:25 AM","12:32 PM","1:00 PM","3:56 PM","4:15 PM","5:40 PM","7:00 PM","8:00 PM","1:30 Pm"
"10","5:46 AM","6:25 AM","7:24 AM","12:32 PM","1:00 PM","3:58 PM","4:15 PM","5:41 PM","7:01 PM","8:00 PM","1:30 Pm"
"11","5:45 AM","6:25 AM","7:22 AM","12:32 PM","1:00 PM","3:59 PM","4:30 PM","5:42 PM","7:03 PM","8:00 PM","1:30 Pm"
"12","5:44 AM","6:25 AM","7:21 AM","12:32 PM","1:00 PM","4:00 PM","4:30 PM","5:44 PM","7:04 PM","8:00 PM","1:30 Pm"
"13","5:43 AM","6:25 AM","7:19 AM","12:32 PM","1:00 PM","4:01 PM","4:30 PM","5:45 PM","7:05 PM","8:00 PM","1:30 Pm"
"14","5:41 AM","6:25 AM","7:18 AM","12:32 PM","1:00 PM","4:03 PM","4:30 PM","5:46 PM","7:06 PM","8:00 PM","1:30 Pm"
"15","5:40 AM","6:25 AM","7:17 AM","12:32 PM","1:00 PM","4:04 PM","4:30 PM","5:48 PM","7:07 PM","8:00 PM","1:30 Pm"
"16","5:39 AM","6:25 AM","7:15 AM","12:32 PM","1:00 PM","4:05 PM","4:30 PM","5:49 PM","7:09 PM","8:00 PM","1:30 Pm"
"17","5:37 AM","6:25 AM","7:14 AM","12:32 PM","1:00 PM","4:06 PM","4:30 PM","5:50 PM","7:10 PM","8:00 PM","1:30 Pm"
"18","5:36 AM","6:25 AM","7:12 AM","12:32 PM","1:00 PM","4:08 PM","4:30 PM","5:52 PM","7:11 PM","8:00 PM","1:30 Pm"
"19","5:35 AM","6:25 AM","7:11 AM","12:31 PM","1:00 PM","4:09 PM","4:30 PM","5:53 PM","7:12 PM","8:00 PM","1:30 Pm"
"20","5:33 AM","6:25 AM","7:09 AM","12:31 PM","1:00 PM","4:10 PM","4:30 PM","5:54 PM","7:14 PM","8:00 PM","1:30 Pm"
"21","5:32 AM","6:15 AM","7:08 AM","12:31 PM","1:00 PM","4:11 PM","4:45 PM","5:56 PM","7:15 PM","8:00 PM","1:30 Pm"
"22","5:30 AM","6:15 AM","7:06 AM","12:31 PM","1:00 PM","4:12 PM","4:45 PM","5:57 PM","7:16 PM","8:00 PM","1:30 Pm"
"23","5:29 AM","6:15 AM","7:04 AM","12:31 PM","1:00 PM","4:14 PM","4:45 PM","5:58 PM","7:17 PM","8:00 PM","1:30 Pm"
"24","5:27 AM","6:15 AM","7:03 AM","12:31 PM","1:00 PM","4:15 PM","4:45 PM","6:00 PM","7:19 PM","8:00 PM","1:30 Pm"
"25","5:26 AM","6:15 AM","7:01 AM","12:31 PM","1:00 PM","4:16 PM","4:45 PM","6:01 PM","7:20 PM","8:00 PM","1:30 Pm"
"26","5:24 AM","6:15 AM","7:00 AM","12:30 PM","1:00 PM","4:17 PM","4:45 PM","6:02 PM","7:21 PM","8:00 PM","1:30 Pm"
"27","5:22 AM","6:15 AM","6:58 AM","12:30 PM","1:00 PM","4:18 PM","4:45 PM","6:04 PM","7:22 PM","8:00 PM","1:30 Pm"
"28","5:21 AM","6:15 AM","6:56 AM","12:30 PM","1:00 PM","4:19 PM","4:45 PM","6:05 PM","7:24 PM","8:00 PM","1:30 Pm"
"29","5:19 AM","6:15 AM","6:55 AM","12:30 PM","1:00 PM","4:21 PM","4:45 PM","6:06 PM","7:25 PM","8:00 PM","1:30 Pm"
